standard,gaap_tag,statement
Retained Earnings,RetainedEarningsAccumulatedDeficit,balance
Retained Earnings,RetainedEarningsUnappropriated,balance
Retained Earnings,RetainedEarningsAccumulatedDeficitPercent,balance
,,
,,
Retained Earnings,CommonStockValue,balance
Retained Earnings,AccumulatedOtherComprehensiveIncomeLossNetOfTax,balance
Retained Earnings,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,balance
Retained Earnings,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,balance
Retained Earnings,AccumulatedOtherComprehensiveIncomeLoss,balance
Retained Earnings,AccumulatedDistributionsInExcessOfNetIncome,balance
Retained Earnings,StockholdersEquity,balance
Retained Earnings,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,balance
