standard,gaap_tag,statement
Accounts Receivable,AccountsReceivableNetCurrent,balance
Accounts Receivable,AccountsNotesAndLoansReceivableNetCurrent,balance
Accounts Receivable,AllowanceForDoubtfulAccountsReceivableCurrent,balance
Accounts Receivable,UnbilledContractsReceivable,balance
Accounts Receivable,AccountsAndOtherReceivablesNetCurrent,balance
Accounts Receivable,ReceivablesLongTermContractsOrPrograms,balance
Accounts Receivable,AccountsReceivableNet,balance
Accounts Receivable,ReceivablesNetCurrent,balance
Accounts Receivable,AccountsReceivable,balance
Accounts Receivable,AccountsReceivableNetOfAllowanceAndSalesReturnsCurrent,balance
Accounts Receivable,OtherAccountsReceivable,balance
Accounts Receivable,AccountsReceivableGrossCurrent,balance
Accounts Receivable,TradeReceivablesNetCurrent,balance
Accounts Receivable,Tradeaccountsreceivablenet,balance
Accounts Receivable,OilAndGasSalesReceivable,balance
Accounts Receivable,AccountsPayableTradeCurrent,balance
Accounts Receivable,AccountsAndNotesReceivableNet,balance
Accounts Receivable,PremiumsAndOtherReceivablesNet,balance
Accounts Receivable,Receivables,balance
Accounts Receivable,AccountsReceivableOilAndNaturalGasSalesCurrent,balance
Accounts Receivable,AccountsReceivableFromSecuritization,balance
Accounts Receivable,ContractWithCustomerAssetNetCurrent,balance
Accounts Receivable,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,balance
Accounts Receivable,LongTermAccountsNotesAndLoansReceivableNetNoncurrent,balance
Accounts Receivable,OtherAccountsNotesAndLoansReceivable,balance
Accounts Receivable,AccountsAndNotesReceivableNetOfAllowance,balance
Accounts Receivable,ValuationAllowancesAndReservesBalance,balance
Accounts Receivable,UnbilledReceivablesCurrent,balance
Accounts Receivable,UnbilledRevenuesCurrent,balance
Accounts Receivable,CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedWithinOneYear,balance
Accounts Receivable,UnbilledRevenue,balance
Accounts Receivable,ReceivablesFromCustomers,balance
Accounts Receivable,ContractWithCustomerAssetNet,balance
Accounts Receivable,ContractWithCustomerAssetGross,balance
Accounts Receivable,ContractWithCustomerAssetNetNoncurrent,balance
