standard,gaap_tag,statement
Other Intangibles,FiniteLivedIntangibleAssetsNet,balance
Other Intangibles,IntangibleAssetsNetExcludingGoodwill,balance
Other Intangibles,IntangibleAssetsNetIncludingGoodwill,balance
Other Intangibles,PropertyPlantAndEquipmentNet,balance
Other Intangibles,OtherIntangibleAssetsNet,balance
Other Intangibles,FiniteAndIndefiniteLivedIntangibleAssetsExcludingGoodwillAndCustomerContractsNet,balance
Other Intangibles,IntangiblesNet,balance
Other Intangibles,OtherFiniteLivedIntangibleAssetsNet,balance
Other Intangibles,OtherIndefiniteLivedIntangibleAssets,balance
Other Intangibles,GoodwillAndIntangibleAssetsNet,balance
Other Intangibles,IndefiniteLivedIntangibleAssets,balance
Other Intangibles,IntangibleAssetsNoncurrent,balance
Other Intangibles,OtherIntangiblesNet,balance
Other Intangibles,AcquiredLeaseIntangibleAssetsNet,balance
Other Intangibles,OtherAssetsNoncurrent,balance
Other Intangibles,OtherAssets,balance
Other Intangibles,PrepaidExpenseAndOtherAssetsNoncurrent,balance
Other Intangibles,OtherAssetsNet,balance
Other Intangibles,OtherAssetsCurrent,balance
Other Intangibles,IntangibleAndOtherAssetsNet,balance
Other Intangibles,OtherIndefiniteLivedAndFiniteLivedIntangibleAssets,balance
Other Intangibles,OtherIntangibleAssets,balance
Other Intangibles,IntangibleAssetsNetExcludingGoodwillAndMortgageServicingRightsMSRs,balance
Other Intangibles,IndefiniteLivedIntangibleAssetsExcludingGoodwill,balance
Other Intangibles,DefiniteAndFiniteLivedIntangibles,balance
Other Intangibles,AcquiredIntangibleAssetsNetCarryingAmount,balance
Other Intangibles,FiniteLivedIntangibleAssetsManagementAndFranchiseAgreementsNet,balance
Other Intangibles,IntangibleAssetsCurrent,balance
Other Intangibles,ServiceContractsFiniteLivedIntangibleAssetsNet,balance
Other Intangibles,CapitalizedComputerSoftwareNet,balance
Other Intangibles,CustomerRelationshipsAndAcquisitionCosts,balance
Other Intangibles,CustomerRelationshipsNet,balance
Other Intangibles,FiniteLivedCustomerRelationshipsNet,balance
Other Intangibles,CustomerRelationshipIntangibleAssetsNet,balance
Other Intangibles,FiniteLivedCustomerRelationships,balance
Other Intangibles,CustomerRelationshipsAssetsNet,balance
Other Intangibles,CustomerRelationshipsFiniteLivedIntangibleAssetsNet,balance
Other Intangibles,IndefiniteLivedSlotsAndRoutes,balance
Other Intangibles,IntangibleAssetsExcludingMortgageServicingRights,balance
Other Intangibles,IndefiniteLivedTradeNames,balance
Other Intangibles,IndefiniteLivedTrademarks,balance
Other Intangibles,IntangibleAndOtherAssets,balance
Other Intangibles,IntangibleAssetsAndOtherAssetsNoncurrent,balance
Other Intangibles,AcquiredFiniteLivedAndIndefiniteLivedIntangibleAssetsNet,balance
Other Intangibles,LongTermInvestments,balance
Other Intangibles,OtherLongTermInvestments,balance
Other Intangibles,Investments,balance
Other Intangibles,ShortTermInvestments,balance
Other Intangibles,MarketableSecurities,balance
Other Intangibles,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,balance
Other Intangibles,MarketableSecuritiesCurrent,balance
Other Intangibles,EquityMethodInvestments,balance
Other Intangibles,AvailableForSaleSecuritiesCurrent,balance
Other Intangibles,LongTermInvestmentsAndReceivablesNet,balance
Other Intangibles,AvailableForSaleSecuritiesDebtSecuritiesCurrent,balance
Other Intangibles,MarketableSecuritiesNoncurrent,balance
Other Intangibles,HeldToMaturitySecuritiesCurrent,balance
Other Intangibles,Investmentsbs,balance
Other Intangibles,AvailableForSaleSecuritiesEquitySecuritiesAndEquityAndCostMethodInvestments,balance
Other Intangibles,EquityInvestments,balance
Other Intangibles,InvestmentsExcludingTradingSecurities,balance
Other Intangibles,OtherShortTermInvestments,balance
Other Intangibles,EquitySecuritiesFvNiAndWithoutReadilyDeterminableFairValue,balance
Other Intangibles,TradingSecurities,balance
Other Intangibles,EquitySecuritiesWithoutReadilyDeterminableFairValueAmount,balance
