standard,gaap_tag,statement
Total Common Equity,StockholdersEquity,balance
Total Common Equity,PublicUtilitiesPropertyPlantAndEquipmentPlantInService,balance
Total Common Equity,Assets,balance
Total Common Equity,RealEstateInvestmentPropertyAtCost,balance
Total Common Equity,AssetsCurrent,balance
Total Common Equity,LiabilitiesCurrent,balance
Total Common Equity,LongTermInvestments,balance
Total Common Equity,AssetsNoncurrent,balance
Total Common Equity,LiabilitiesNoncurrent,balance
Total Common Equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,balance
Total Common Equity,InventoryNet,balance
Total Common Equity,LiabilitiesAndStockholdersEquity,balance
Total Common Equity,PublicUtilitiesPropertyPlantAndEquipmentGross,balance
Total Common Equity,CashCashEquivalentsAndFederalFundsSold,balance
Total Common Equity,RealEstateInvestmentPropertyNet,balance
Total Common Equity,PropertyPlantAndEquipmentGross,balance
Total Common Equity,StockholdersEquityPercent,balance
Total Common Equity,TreasuryStockValue,balance
Total Common Equity,TotalStockholdersEquity,balance
Total Common Equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAdjustedBalance1,balance
Total Common Equity,MinorityInterest,balance
Total Common Equity,CommonShareholdersEquity,balance
Total Common Equity,TotalCommonShareholdersEquity,balance
Total Common Equity,CommonStockholdersEquity,balance
Total Common Equity,RetainedEarningsAccumulatedDeficit,balance
Total Common Equity,MembersEquityIncludingPortionAttributableToNoncontrollingInterest,balance
Total Common Equity,PartnersCapitalIncludingPortionAttributableToNoncontrollingInterest,balance
Total Common Equity,TotalCommonStockholdersEquity,balance
Total Common Equity,CommonStockEquity,balance
