standard,gaap_tag,statement
Total Equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,balance
Total Equity,StockholdersEquity,balance
Total Equity,TotalStockholdersEquity,balance
Total Equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAdjustedBalance1,balance
Total Equity,StockholdersEquityPercent,balance
Total Equity,TreasuryStockValue,balance
Total Equity,MinorityInterest,balance
Total Equity,MembersEquityIncludingPortionAttributableToNoncontrollingInterest,balance
Total Equity,PartnersCapitalIncludingPortionAttributableToNoncontrollingInterest,balance
Total Equity,Assets,balance
Total Equity,PublicUtilitiesPropertyPlantAndEquipmentPlantInService,balance
Total Equity,AssetsCurrent,balance
Total Equity,RealEstateInvestmentPropertyAtCost,balance
Total Equity,LiabilitiesCurrent,balance
Total Equity,LongTermInvestments,balance
Total Equity,AssetsNoncurrent,balance
Total Equity,LiabilitiesNoncurrent,balance
Total Equity,InventoryNet,balance
Total Equity,LiabilitiesAndStockholdersEquity,balance
Total Equity,PublicUtilitiesPropertyPlantAndEquipmentGross,balance
Total Equity,CashCashEquivalentsAndFederalFundsSold,balance
Total Equity,RealEstateInvestmentPropertyNet,balance
Total Equity,PropertyPlantAndEquipmentGross,balance
Total Equity,AccumulatedOtherComprehensiveIncomeLossNetOfTax,balance
Total Equity,TotalCommonStockholdersEquity,balance
Total Equity,CommonStockholdersEquity,balance
Total Equity,NonredeemableNoncontrollingInterest,balance
Total Equity,RedeemableNoncontrollingInterestEquityCommonCarryingAmount,balance
Total Equity,PartnersCapitalAttributableToNoncontrollingInterest,balance
Total Equity,RedeemableNoncontrollingInterestEquityCarryingAmount,balance
Total Equity,RetainedEarningsAccumulatedDeficit,balance
Total Equity,CommonShareholdersEquity,balance
Total Equity,TotalCommonShareholdersEquity,balance
Total Equity,LiabilitiesAndMembersEquity,balance
Total Equity,LiabilitiesStockholdersEquityAndRedeemableInterest,balance
Total Equity,CommonStockEquity,balance
