standard,gaap_tag,statement
"Unearned Revenue, Current",DeferredRevenueCurrent,balance
"Unearned Revenue, Current",ContractWithCustomerLiabilityCurrent,balance
"Unearned Revenue, Current",DeferredRevenueNoncurrent,balance
"Unearned Revenue, Current",DeferredRevenue,balance
"Unearned Revenue, Current",DeferredRevenueAndCreditsCurrent,balance
"Unearned Revenue, Current",DeferredRevenueAndCredits,balance
"Unearned Revenue, Current",DeferredRevenueCurrentPercent,balance
"Unearned Revenue, Current",DeferredAirTrafficRevenueNoncurrent,balance
"Unearned Revenue, Current",ContractWithCustomerLiability,balance
"Unearned Revenue, Current",ContractWithCustomerLiabilityNoncurrent,balance
"Unearned Revenue, Current",DeferredIncomeCurrent,balance
"Unearned Revenue, Current",Deferredincomeonshipmentstodistributors,balance
"Unearned Revenue, Current",DeferredIncomeOnShipmentsToDistributors,balance
"Unearned Revenue, Current",DEFERREDINCOMEONSHIPMENTSTODISTRIBUTORS,balance
"Unearned Revenue, Current",DeferredRevenueAndCreditsNoncurrent,balance
"Unearned Revenue, Current",UnearnedPremiums,balance
"Unearned Revenue, Current",LinesOfCreditCurrent,balance
"Unearned Revenue, Current",DeferredIncomeNonCurrent,balance
"Unearned Revenue, Current",CurrentDeferredIncome,balance
"Unearned Revenue, Current",DeferredIncomeNoncurrent,balance
"Unearned Revenue, Current",OtherDeferredCreditsCurrent,balance
"Unearned Revenue, Current",AccruedLiabilitiesCurrent,balance
"Unearned Revenue, Current",Deferrednetrevenueonlineenabledgamescurrent,balance
"Unearned Revenue, Current",DeferredNetRevenuePackagedGoodsAndDigitalContentCurrent,balance
"Unearned Revenue, Current",AccountsPayableOtherCurrent,balance
"Unearned Revenue, Current",DeferredRevenueAndRoyaltiesPayableCurrent,balance
"Unearned Revenue, Current",OilAndGasSalesPayableCurrent,balance
"Unearned Revenue, Current",DeferredRevenueOtherCurrent,balance
"Unearned Revenue, Current",DeferredRevenueExcludingAmountsFromRelatedPartyCurrent,balance
"Unearned Revenue, Current",DeferredTaxLiabilitiesCurrent,balance
"Unearned Revenue, Current",TaxesPayableCurrent,balance
"Unearned Revenue, Current",OtherLiabilitiesCurrent,balance
"Unearned Revenue, Current",BillingsInExcessOfCostCurrent,balance
"Unearned Revenue, Current",CustomerAdvancesAndDeposits,balance
"Unearned Revenue, Current",CustomerDepositsCurrent,balance
"Unearned Revenue, Current",Deposits,balance
"Unearned Revenue, Current",CustomerAdvancesAndDepositsCurrent,balance
"Unearned Revenue, Current",DepositsfromCustomersCurrent,balance
"Unearned Revenue, Current",ContractWithCustomerRefundLiabilityCurrent,balance
"Unearned Revenue, Current",CustomerDepositsCurrent1,balance
"Unearned Revenue, Current",CurrentCustomerDeposits,balance
"Unearned Revenue, Current",ContractWithCustomerLiabilityProgressBillingsAndDeferredRevenue,balance
"Unearned Revenue, Current",CustomerAdvancesCurrent,balance
"Unearned Revenue, Current",DeferredProfitCurrent,balance
"Unearned Revenue, Current",AirTrafficLiabilityCurrent,balance
