standard,gaap_tag,statement
"Unearned Revenue, Non-Current",DeferredRevenueNoncurrent,balance
"Unearned Revenue, Non-Current",ContractWithCustomerLiabilityNoncurrent,balance
"Unearned Revenue, Non-Current",DisposalGroupIncludingDiscontinuedOperationDeferredRevenueNoncurrent,balance
"Unearned Revenue, Non-Current",DeferredRevenueCurrent,balance
"Unearned Revenue, Non-Current",ContractWithCustomerLiabilityCurrent,balance
"Unearned Revenue, Non-Current",DeferredRevenue,balance
"Unearned Revenue, Non-Current",DeferredRevenueAndCreditsCurrent,balance
"Unearned Revenue, Non-Current",DeferredRevenueAndCredits,balance
"Unearned Revenue, Non-Current",DeferredRevenueCurrentPercent,balance
"Unearned Revenue, Non-Current",DeferredAirTrafficRevenueNoncurrent,balance
"Unearned Revenue, Non-Current",ContractWithCustomerLiability,balance
"Unearned Revenue, Non-Current",DeferredIncomeCurrent,balance
"Unearned Revenue, Non-Current",DeferredRevenueAndCreditsNoncurrent,balance
"Unearned Revenue, Non-Current",DeferredIncomeNonCurrent,balance
"Unearned Revenue, Non-Current",DeferredIncomeNoncurrent,balance
"Unearned Revenue, Non-Current",CurrentDeferredIncome,balance
"Unearned Revenue, Non-Current",OtherDeferredCreditsCurrent,balance
"Unearned Revenue, Non-Current",DeferredRevenueExcludingAmountsFromRelatedPartyNonCurrent,balance
"Unearned Revenue, Non-Current",DeferredRevenueOtherNoncurrent,balance
"Unearned Revenue, Non-Current",SaleLeasebackTransactionDeferredGainNet,balance
"Unearned Revenue, Non-Current",DEFERREDGAIN,balance
"Unearned Revenue, Non-Current",DeferredCollaborativeAgreementsRevenueCurrent,balance
"Unearned Revenue, Non-Current",DeferredCollaborativeAgreementsRevenueNoncurrent,balance
"Unearned Revenue, Non-Current",Deferredrevenuesinitialfranchisefees,balance
"Unearned Revenue, Non-Current",BillingsInExcessOfCostCurrent,balance
"Unearned Revenue, Non-Current",FrequentFlierLiabilityCurrent,balance
"Unearned Revenue, Non-Current",FrequentFlierLiabilityNoncurrent,balance
"Unearned Revenue, Non-Current",ContractWithCustomerLiabilityCurrentServiceRevenue,balance
"Unearned Revenue, Non-Current",CustomerAdvancesCurrent,balance
"Unearned Revenue, Non-Current",CustomerAdvancesAndDepositsCurrent,balance
"Unearned Revenue, Non-Current",CustomerAdvancesForConstruction,balance
"Unearned Revenue, Non-Current",OtherDeferredCreditsNoncurrent,balance
