standard,gaap_tag,statement
Cash Taxes Paid,IncomeTaxesPaidNet,cash_flow
Cash Taxes Paid,IncomeTaxesPaid,cash_flow
Cash Taxes Paid,ProceedsFromIncomeTaxRefunds,cash_flow
Cash Taxes Paid,InterestPaid,cash_flow
Cash Taxes Paid,IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,cash_flow
Cash Taxes Paid,IncreaseDecreaseInAccruedIncomeTaxesPayable,cash_flow
Cash Taxes Paid,IncreaseDecreaseInIncomeTaxes,cash_flow
Cash Taxes Paid,NetIncreaseDecreaseInIncomeTaxes,cash_flow
Cash Taxes Paid,NoncashIncomeTaxExpense,cash_flow
Cash Taxes Paid,IncreaseDecreaseInIncomeTaxesNet,cash_flow
Cash Taxes Paid,IncreaseDecreaseInDeferredIncomeTaxes,cash_flow
Cash Taxes Paid,DeferredIncomeTaxesAndTaxCredits,cash_flow
Cash Taxes Paid,IncreaseDecreaseInIncomeTaxReceivablesPayablesNet,cash_flow
Cash Taxes Paid,InreaseDecreaseInAccruedIncomeTaxesReceivablePayable,cash_flow
Cash Taxes Paid,IncomeTaxes,cash_flow
Cash Taxes Paid,IncreaseDecreaseInIncomeTaxesReceivable,cash_flow
Cash Taxes Paid,IncreaseDecreaseInAccruedTaxesPayable,cash_flow
Cash Taxes Paid,CashPaidReceivedForIncomeTaxesNetOfDiscontinuedOperations,cash_flow
Cash Taxes Paid,InterestPaidNet,cash_flow
Cash Taxes Paid,ChangeInTaxes,cash_flow
Cash Taxes Paid,CashAndCashEquivalentsAtCarryingValue,cash_flow
Cash Taxes Paid,RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability,cash_flow
Cash Taxes Paid,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,cash_flow
Cash Taxes Paid,DepositTransfers,cash_flow
Cash Taxes Paid,InterestPaidInterestRateHedges,cash_flow
Cash Taxes Paid,NoncashOrPartNoncashAcquisitionNoncashFinancialorEquityInstrumentConsideration,cash_flow
Cash Taxes Paid,EquityAwardsAssumedForAcquisition,cash_flow
Cash Taxes Paid,RestrictedCashAndRestrictedCashEquivalentsIncludedInFundsHeldForClients,cash_flow
Cash Taxes Paid,TransferOfPortfolioLoansAndLeasesToHeldForSale1,cash_flow
Cash Taxes Paid,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,cash_flow
Cash Taxes Paid,TaxBenefitFromStockOptionsExercised,cash_flow
Cash Taxes Paid,TaxBenefitFromStockOptionsExercised1,cash_flow
Cash Taxes Paid,DeferredTaxExpenseFromStockOptionsExercised,cash_flow
