standard,gaap_tag,statement
Change in Acc. Receivable,IncreaseDecreaseInAccountsReceivable,cash_flow
Change in Acc. Receivable,IncreaseDecreaseInReceivables,cash_flow
Change in Acc. Receivable,IncreaseDecreaseInAccountsAndOtherReceivables,cash_flow
Change in Acc. Receivable,IncreaseDecreaseInAccountsAndNotesReceivable,cash_flow
Change in Acc. Receivable,AccountsReceivable,cash_flow
Change in Acc. Receivable,SupplementalAccountsReceivable,cash_flow
Change in Acc. Receivable,IncreaseDecreaseinAccountsReceivableContractAssetsAndContractLiabilities,cash_flow
Change in Acc. Receivable,IncreaseDecreaseInInventories,cash_flow
Change in Acc. Receivable,CustomerAndOtherReceivables,cash_flow
Change in Acc. Receivable,Receivable,cash_flow
Change in Acc. Receivable,Receivables,cash_flow
Change in Acc. Receivable,IncreaseDecreaseInInsuranceReceivablesReinsuranceReceivablesAndOtherReceivables,cash_flow
Change in Acc. Receivable,IncreaseDecreaseInOtherReceivables,cash_flow
Change in Acc. Receivable,NoncashConsolidationDeconsolidationReceivables,cash_flow
Change in Acc. Receivable,IncreaseDecreaseInOtherOperatingCapitalNet,cash_flow
Change in Acc. Receivable,IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,cash_flow
Change in Acc. Receivable,ChangeInCurrentAndNoncurrentReceivablesNet,cash_flow
