standard,gaap_tag,statement
"Depreciation & Amort., Total",DepreciationDepletionAndAmortization,cash_flow
"Depreciation & Amort., Total",DepreciationandAmortizationExcludingFinancingCostsandDiscounts,cash_flow
"Depreciation & Amort., Total",DepreciationAmortizationAndAccretionNet,cash_flow
"Depreciation & Amort., Total",DepreciationAndAmortization,cash_flow
"Depreciation & Amort., Total",DepreciationAndAmortizationCashFlowImpact,cash_flow
"Depreciation & Amort., Total",DepreciationandAmortizationExcludingAmortizationofFinancingCosts,cash_flow
"Depreciation & Amort., Total",DepreciationDepletionAndAmortizationExcludingTransformationCharges,cash_flow
"Depreciation & Amort., Total",DepreciationAndAmortizationIncludingDiscontinuedOperations,cash_flow
"Depreciation & Amort., Total",DepreciationAndAmortizationExcludingDeferredPolicyAcquisitionCostAmortizationExpense,cash_flow
"Depreciation & Amort., Total",DepreciationDepletionAndAmortizationIncludingDiscontinuedOperations,cash_flow
"Depreciation & Amort., Total",OtherDepreciationAndAmortization,cash_flow
"Depreciation & Amort., Total",UtilitiesOperatingExpenseDepreciationAndAmortization,cash_flow
"Depreciation & Amort., Total",AdjustmentDepreciationAndAmortizationIncludingDiscontinuedOperations,cash_flow
"Depreciation & Amort., Total",MainlineAndExpressDepreciationAndAmortization,cash_flow
"Depreciation & Amort., Total",DepreciationAndAmortizationCashFlows,cash_flow
"Depreciation & Amort., Total",CashFlowDepreciationExpense,cash_flow
"Depreciation & Amort., Total",AdjustmentDepreciationAndAmortization,cash_flow
"Depreciation & Amort., Total",DepreciationAndAmortizationIncludingAmountsInDiscontinuedOperations,cash_flow
"Depreciation & Amort., Total",DepreciationDepletionAndAmortizationIncludingDiscontinuedOperationDepreciationandAmortization,cash_flow
"Depreciation & Amort., Total",DepreciationNonproduction,cash_flow
"Depreciation & Amort., Total",DepreciationDepletionandAmortizationIncludingDiscontinuedOperations,cash_flow
"Depreciation & Amort., Total",DepreciationDepletionAndAmortizationAssociatedWithPropertyPlantAndEquipmentAndIntangibleAssets,cash_flow
"Depreciation & Amort., Total",DepreciationAndAmortizationExpense,cash_flow
"Depreciation & Amort., Total",DepreciationAndAmortizationDiscontinuedOperations,cash_flow
"Depreciation & Amort., Total",DepreciationAndAmortizations,cash_flow
"Depreciation & Amort., Total",DepreciationAmortizationAndAccretionNetCashFlowImpact,cash_flow
"Depreciation & Amort., Total",DepreciationDepletionAndAmortizationCashFlowImpact,cash_flow
"Depreciation & Amort., Total",DepreciationAndAmortizationCF,cash_flow
"Depreciation & Amort., Total",DepreciationAndAmortizationLessAmountsCapitalized,cash_flow
"Depreciation & Amort., Total",Depreciation,cash_flow
"Depreciation & Amort., Total",DepreciationAndAmortizationCashFlow,cash_flow
"Depreciation & Amort., Total",DepreciationAndAmortizationIncludingAmountsReportedAsDiscontinuedOperations,cash_flow
"Depreciation & Amort., Total",DepreciationDepletionAndAmortizationincludingdiscontinuedoperations,cash_flow
"Depreciation & Amort., Total",DepreciationDecommissioningAmortizationandOther,cash_flow
"Depreciation & Amort., Total",DepreciationAndAmortizationExcludingFinancingCostsAndDiscounts,cash_flow
"Depreciation & Amort., Total",CostOfGoodsAndServicesSoldDepreciationAndAmortization,cash_flow
"Depreciation & Amort., Total",DepreciationDepletionandAmortizationExcludingDebtDiscountAndIssuanceCosts,cash_flow
"Depreciation & Amort., Total",DepreciationDepletionAndAmortizationCashFlow,cash_flow
"Depreciation & Amort., Total",CostOfGoodsSoldDepreciationDepletionAndAmortization,cash_flow
"Depreciation & Amort., Total",DepreciationDepletionAndAmortizationAsReportedInStatementOfCashFlows,cash_flow
"Depreciation & Amort., Total",DepletionOfOilAndGasProperties,cash_flow
"Depreciation & Amort., Total",DepreciationDepletionAndAmortizationIncludingDiscOps,cash_flow
