standard,gaap_tag,statement
Divestitures,ProceedsFromDivestitureOfBusinesses,cash_flow
Divestitures,PaymentsForPreviousAcquisition,cash_flow
Divestitures,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,cash_flow
Divestitures,ProceedsFromDivestitureOfBusinessesNetOfCosts,cash_flow
Divestitures,ProceedsFromDivestitureOfBusinessesAndInterestsInAffiliates,cash_flow
Divestitures,ProceedsFromSaleOfOtherInvestments,cash_flow
Divestitures,ProceedsFromSalesOfBusinessAffiliateAndProductiveAssets,cash_flow
Divestitures,ReturnOfProceedsFromSaleOfBusiness,cash_flow
Divestitures,ProceedsFromSaleOfBusiness,cash_flow
Divestitures,ProceedsFromDivestitureOfCommercialHealthcareSolutionsOperation,cash_flow
Divestitures,PaymentsForProceedsFromBusinessesAndInterestInAffiliates,cash_flow
Divestitures,ProceedsfromDivestitureofBusinessandPropertyPlantandEquipmentNet,cash_flow
Divestitures,ProceedsFromDivestitureOfInterestInConsolidatedSubsidiaries,cash_flow
Divestitures,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,cash_flow
Divestitures,NoncashOrPartNoncashDivestitureAmountOfConsiderationReceived1,cash_flow
Divestitures,ProceedsFromSaleOfOtherAssets,cash_flow
Divestitures,ProceedsFromSaleOfProductiveAssets,cash_flow
Divestitures,ProceedsFromSaleOfPartnershipInterestsOtherAssetsAndDiscontinuedOperationsNet,cash_flow
Divestitures,ProceedsFromSaleOfPropertyHeldForSale,cash_flow
Divestitures,ProceedsFromSaleOfPropertyPlantAndEquipment,cash_flow
Divestitures,ProceedsFromDivestitureOfInterestInSubsidiariesAndAffiliates,cash_flow
Divestitures,ProceedsFromSaleAndMaturityOfOtherInvestments,cash_flow
Divestitures,ProceedsFromSaleOfLongtermInvestments,cash_flow
Divestitures,ProceedsFromSaleOfOilAndGasPropertyAndEquipment,cash_flow
Divestitures,ShareBasedCompensation,cash_flow
Divestitures,ProceedsFromDivestituresSaleOfInvestmentAndRefundableEscrowedPurchasePrice,cash_flow
Divestitures,ProceedsFromSaleOfIntangibleAssets,cash_flow
Divestitures,PaymentsForProceedsFromProductiveAssets,cash_flow
Divestitures,ProceedsFromSalesOfAssetsInvestingActivities,cash_flow
Divestitures,ProceedsFromSaleOfOtherProductiveAssets,cash_flow
Divestitures,ProceedsFromSaleOfOilAndGasPropertyAndEquipmentAndOtherLongTermAssets,cash_flow
Divestitures,ProceedsFromSaleOfAssets,cash_flow
Divestitures,ProceedsFromSaleOfAssetsAndOperations,cash_flow
Divestitures,ProceedsFromSaleOfPropertyPlantAndEquipmentAndOtherInvestments,cash_flow
Divestitures,ProceedsFromSaleOfOtherPropertyPlantAndEquipment,cash_flow
Divestitures,ProceedsfromtheSaleofOtherAssets,cash_flow
Divestitures,ProceedsFromSaleOfOtherAssetsInvestingActivities,cash_flow
Divestitures,ProceedsFromSaleOfBuildings,cash_flow
Divestitures,ProceedsFromSaleOfEquityMethodInvestments,cash_flow
Divestitures,ProceedsFromSaleOfDiscontinuedOperations,cash_flow
Divestitures,Proceedsfromsaleofdiscontinuedoperationsnetofcashsold,cash_flow
Divestitures,ProceedsFromInvestmentSalesAndFromDivestitureOfBusiness,cash_flow
Divestitures,PaymentsForProceedsFromOtherInvestingActivities,cash_flow
Divestitures,PaymentForProceedsFromDivestitureOfBusinessNetOfCashDivested,cash_flow
Divestitures,PaymentsToSettleWorkingCapitalAdjustment,cash_flow
Divestitures,ProceedsFromSpinOffBusiness,cash_flow
Divestitures,ContributionReceivedFromShipbuildingSpinOff,cash_flow
Divestitures,ProceedsFromDivestitureOfBusinessAndProductiveAssets,cash_flow
Divestitures,CashDivestedFromDeconsolidation,cash_flow
Divestitures,ProceedsFromSaleOfProductLine,cash_flow
Divestitures,ProceedsFromSaleOfDasNetworks,cash_flow
Divestitures,ProceedsFromSaleOfBusinessesIncludedInDiscountinuedOperationsNetOfCashDivested,cash_flow
Divestitures,ProceedsFromSaleOfBusinessesIncludedInDiscontinuedOperations,cash_flow
Divestitures,PaymentsToAcquireShortTermInvestments,cash_flow
Divestitures,ProceedsFromSaleOfProductLines,cash_flow
Divestitures,CashReceivedForSaleofChapsSportswearAssets,cash_flow
Divestitures,ProceedsFromSaleOfLandHeldForUse,cash_flow
Divestitures,NetProceedsfromDivestitureofDiscontinuedOperations,cash_flow
Divestitures,PaymentsToAcquireBusinessesNetOfCashAcquired,cash_flow
Divestitures,PaymentsToAcquireBusinessesGross,cash_flow
Divestitures,ProceedsFromSaleOfOilAndNaturalGasPropertiesAndOtherAssets,cash_flow
Divestitures,ProceedsFromSaleOfPpeAndDispositions,cash_flow
Divestitures,Dispositions,cash_flow
Divestitures,SaleLeasebackTransactionNetProceedsInvestingActivities,cash_flow
Divestitures,ProceedsfromDivestitureofBusinessesandInvestments,cash_flow
Divestitures,ProceedsFromSaleOfPropertyBusinessAndInvestments,cash_flow
Divestitures,PaymentsForProceedsFromInvestments,cash_flow
Divestitures,ProceedsFromSalesOfBusinessesAndInvestments,cash_flow
Divestitures,ProceedsFromSaleMaturityAndCollectionsOfInvestments,cash_flow
