standard,gaap_tag,statement
Foreign Exchange Rate Adj.,EffectOfExchangeRateOnCashAndCashEquivalents,cash_flow
Foreign Exchange Rate Adj.,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,cash_flow
Foreign Exchange Rate Adj.,EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,cash_flow
Foreign Exchange Rate Adj.,EffectofExchangeRateonCashandCashEquivalentsExcludingOperatingActivities,cash_flow
Foreign Exchange Rate Adj.,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,cash_flow
Foreign Exchange Rate Adj.,EffectOfExchangeRateOnCashContinuingOperations,cash_flow
Foreign Exchange Rate Adj.,EffectOfExchangeRateOnCashAndCashEquivalentsDiscontinuedOperations,cash_flow
Foreign Exchange Rate Adj.,EffectOfExchangeRateOnCash,cash_flow
Foreign Exchange Rate Adj.,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsDisposalGroupIncludingDiscontinuedOperations,cash_flow
Foreign Exchange Rate Adj.,EffectofExchangeRateonCashandCashEquivalentsfromOperatingActivities,cash_flow
Foreign Exchange Rate Adj.,EffectExchangeRateOperatingCashFlows,cash_flow
Foreign Exchange Rate Adj.,ForeignCurrencyTransactionGainLossUnrealized,cash_flow
Foreign Exchange Rate Adj.,EffectofExchangeRateonCashCashEquivalentsRestrictedCashandRestrictedCashEquivalents,cash_flow
Foreign Exchange Rate Adj.,EffectofExchangeRateonCashCashEquivalentsandRestrictedCash,cash_flow
Foreign Exchange Rate Adj.,EffectOfExchangeRateOnCashCashEquivalentsAndRestrictedCash,cash_flow
Foreign Exchange Rate Adj.,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,cash_flow
