standard,gaap_tag,statement
Long-Term Debt Issued,ProceedsFromIssuanceOfLongTermDebt,cash_flow
Long-Term Debt Issued,ProceedsFromDebtMaturingInMoreThanThreeMonths,cash_flow
Long-Term Debt Issued,ProceedsFromIssuanceOfDebt,cash_flow
Long-Term Debt Issued,ProceedsFromIssuanceOfPrivatePlacement,cash_flow
Long-Term Debt Issued,ProceedsFromIssuanceOfOtherLongTermDebt,cash_flow
Long-Term Debt Issued,ProceedsFromIssuanceOfSeniorLongTermDebt,cash_flow
Long-Term Debt Issued,ProceedsFromIssuanceOfUnsecuredDebt,cash_flow
Long-Term Debt Issued,ProceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,cash_flow
Long-Term Debt Issued,ProceedsFromRevolvingLineOfCreditAndLongTermDebt,cash_flow
Long-Term Debt Issued,ProceedsFromNotesPayable,cash_flow
Long-Term Debt Issued,ProceedsFromDebtNetOfIssuanceCosts,cash_flow
Long-Term Debt Issued,RepaymentsOfLongTermDebt,cash_flow
Long-Term Debt Issued,ProceedsFromOtherDebt,cash_flow
Long-Term Debt Issued,ProceedsFromLinesOfCredit,cash_flow
Long-Term Debt Issued,ProceedsFromIssuanceOfSecuredDebt,cash_flow
Long-Term Debt Issued,ProceedsFromConvertibleDebt,cash_flow
Long-Term Debt Issued,ProceedsfromIssuanceofTermLoan,cash_flow
Long-Term Debt Issued,ProceedsFromShortTermDebt,cash_flow
Long-Term Debt Issued,ProceedsFromRepaymentsOfDebt,cash_flow
Long-Term Debt Issued,ProceedsFromTermLoan,cash_flow
Long-Term Debt Issued,ProceedsFromRepaymentsOfShortTermDebtMaturingInMoreThanThreeMonths,cash_flow
Long-Term Debt Issued,ProceedsFromIssuanceOfMediumTermNotes,cash_flow
Long-Term Debt Issued,ProceedsFromBorrowings,cash_flow
Long-Term Debt Issued,ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,cash_flow
Long-Term Debt Issued,ProceedsFromIssuanceOfSecuredDebtAndTermLoan,cash_flow
Long-Term Debt Issued,ProceedsFromRepaymentsOfLongTermDebtAndCapitalSecurities,cash_flow
Long-Term Debt Issued,ProceedsFromIssuanceOfLongtermDebtExcludingAssetbackedDebt,cash_flow
Long-Term Debt Issued,IssuanceOfDebt,cash_flow
Long-Term Debt Issued,ProceedsFromRepaymentsOfOtherLongTermDebt,cash_flow
Long-Term Debt Issued,ProceedsFromLongTermLinesOfCredit,cash_flow
Long-Term Debt Issued,ProceedsFromIssuanceOfLongTermDebtNet,cash_flow
Long-Term Debt Issued,RepaymentsOfLongTermDebtAndCapitalSecurities,cash_flow
Long-Term Debt Issued,RepaymentsOfOtherLongTermDebt,cash_flow
Long-Term Debt Issued,NotesIssued1,cash_flow
