standard,gaap_tag,statement
Net Change in Cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,cash_flow
Net Change in Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,cash_flow
Net Change in Cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,cash_flow
Net Change in Cash,CashAndCashEquivalentsAndRestrictedCashPeriodIncreaseDecrease,cash_flow
Net Change in Cash,CashCashEquivalentsandRestrictedCashPeriodIncreaseDecrease,cash_flow
Net Change in Cash,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,cash_flow
Net Change in Cash,NetCashProvidedByUsedInContinuingOperations,cash_flow
Net Change in Cash,CashAndCashEquivalentsAtCarryingValue,cash_flow
Net Change in Cash,CashPeriodIncreaseDecreaseExcludingExchangeRateEffect,cash_flow
Net Change in Cash,Cashcashequivalentsandrestrictedcashperiodincreasedecrease,cash_flow
Net Change in Cash,Netincreasedecreaseincashandcashequivalents,cash_flow
Net Change in Cash,CashCashEquivalentsRestrictedCashandRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingDiscontinuedOperations,cash_flow
Net Change in Cash,CashCashEquivalentsRestrictedCashandRestrictedCashEquivalentsPeriodIncreaseDecrease,cash_flow
Net Change in Cash,ChangeInCashAndCashEquivalentsOfConsolidatedVariableInterestEntities,cash_flow
Net Change in Cash,CashAndCashEquivalents,cash_flow
Net Change in Cash,CashAndCashEquivalentsPeriodIncreaseDecreaseIncludingDiscOps,cash_flow
Net Change in Cash,CashCashEquivalentsRestrictedCashandRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingCashHeldforSale,cash_flow
Net Change in Cash,CashCashEquivalentsRestrictedCashandRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffectTotal,cash_flow
Net Change in Cash,ChangeInCashAndCashEquivalentsFromContinuingOperations,cash_flow
Net Change in Cash,CashAndCashEquivalentPeriodIncreaseDecrease,cash_flow
Net Change in Cash,CashcashequivalentsrestrictedcashandrestrictedcashequivalentsPeriodincreasedecrease,cash_flow
Net Change in Cash,CashandCashEquivalentsPeriodIncreaseDecreaseIncludingDiscontinuedOperations,cash_flow
Net Change in Cash,CashAndCashEquivalentsPeriodIncreaseDecrease1,cash_flow
Net Change in Cash,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,cash_flow
Net Change in Cash,CashPeriodIncreaseDecrease,cash_flow
Net Change in Cash,NetIncreaseDecreaseInCash,cash_flow
Net Change in Cash,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,cash_flow
Net Change in Cash,CashAndDueFromBanksPeriodIncreaseDecrease,cash_flow
Net Change in Cash,CashCashEquivalentsRestrictedCashandRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,cash_flow
Net Change in Cash,PeriodIncreaseDecreaseInCashAndCashEquivalents,cash_flow
Net Change in Cash,NetCashProvidedByUsedInDiscontinuedOperations,cash_flow
Net Change in Cash,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,cash_flow
Net Change in Cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffectContiuningOperations,cash_flow
Net Change in Cash,CashandCashEquivalentsIncludingCashHeldforsalePeriodIncreaseDecrease,cash_flow
