standard,gaap_tag,statement
Other Financing Activities,ProceedsFromPaymentsForOtherFinancingActivities,cash_flow
Other Financing Activities,OtherNoncashIncomeExpense,cash_flow
Other Financing Activities,IncreaseDecreaseInOtherOperatingCapitalNet,cash_flow
Other Financing Activities,PaymentsForProceedsFromOtherInvestingActivities,cash_flow
Other Financing Activities,OtherOperatingActivitiesCashFlowStatement,cash_flow
Other Financing Activities,OtherNoncashExpense,cash_flow
Other Financing Activities,IncreaseDecreaseInOtherOperatingAssets,cash_flow
Other Financing Activities,PaymentsOfDividendsCommonStock,cash_flow
Other Financing Activities,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,cash_flow
Other Financing Activities,IncreaseDecreaseInOtherOperatingLiabilities,cash_flow
Other Financing Activities,PaymentsToAcquireOtherProductiveAssets,cash_flow
Other Financing Activities,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,cash_flow
Other Financing Activities,IncreaseDecreaseInOtherNoncurrentAssets,cash_flow
Other Financing Activities,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,cash_flow
Other Financing Activities,OtherNoncashIncome,cash_flow
Other Financing Activities,GainLossOnDispositionOfAssets,cash_flow
Other Financing Activities,PaymentsForProceedsFromFinanceReceivables,cash_flow
Other Financing Activities,OtherOperatingActivities,cash_flow
Other Financing Activities,Other,cash_flow
Other Financing Activities,CashFlowsFromInvestingActivitiesOther,cash_flow
Other Financing Activities,IncreaseDecreaseInOtherOperatingActivitiesFinancialServices,cash_flow
Other Financing Activities,PaymentsForExerciseOfStockBasedAwards,cash_flow
Other Financing Activities,OtherPaymentsProceedsFromToAcquireBusinesses,cash_flow
Other Financing Activities,ChangesInNoncontrollingInterestNet,cash_flow
Other Financing Activities,IncreaseDecreaseInAccumulatedOtherComprehensiveIncomeNet,cash_flow
Other Financing Activities,OtherFinancingActivities,cash_flow
Other Financing Activities,AllOtherFinancingActivitiesNet,cash_flow
Other Financing Activities,IncreaseDecreaseInOtherOperatingLiabilitiesAndLongTermRoyaltyAdvances,cash_flow
Other Financing Activities,PaymentForProceedFromOtherInvestingActivities,cash_flow
