standard,gaap_tag,statement
As Reported Total Revenue,RevenueFromContractWithCustomerExcludingAssessedTax,income
As Reported Total Revenue,Revenues,income
As Reported Total Revenue,SalesRevenueServicesNet,income
As Reported Total Revenue,SalesRevenueNet,income
As Reported Total Revenue,RegulatedAndUnregulatedOperatingRevenue,income
As Reported Total Revenue,ElectricalGenerationRevenue,income
As Reported Total Revenue,RevenueFromContractWithCustomerIncludingAssessedTax,income
As Reported Total Revenue,SalesRevenueGoodsNet,income
As Reported Total Revenue,InsuranceServicesRevenue,income
As Reported Total Revenue,OperatingRevenue,income
As Reported Total Revenue,InterestExpense,income
As Reported Total Revenue,InterestAndDebtExpense,income
As Reported Total Revenue,InterestExpenseAggregateExpenses,income
As Reported Total Revenue,InterestIncomeExpenseNet,income
As Reported Total Revenue,InterestExpenseDebt,income
As Reported Total Revenue,InterestIncomeExpenseNonoperatingNet,income
As Reported Total Revenue,InterestExpenseExcludingRelatedParty,income
As Reported Total Revenue,InvestmentIncomeInvestmentExpense,income
As Reported Total Revenue,InterestExpenseIS,income
As Reported Total Revenue,InterestExpenseOperating,income
As Reported Total Revenue,InterestIncomeExpensesNet,income
As Reported Total Revenue,InterestExpenseBorrowings,income
As Reported Total Revenue,InterestExpenses,income
As Reported Total Revenue,InterestRevenueExpenseNet,income
As Reported Total Revenue,InterestExpenseReversal,income
As Reported Total Revenue,CashInterestExpense,income
As Reported Total Revenue,FeesAndCommissionsMortgageBanking,income
As Reported Total Revenue,FeesAndCommissionsMortgageBankingAndServicing,income
As Reported Total Revenue,SalesRevenueGoodsNetExcludingExciseAndSalesTaxes,income
As Reported Total Revenue,SalesRevenueNetOfExciseTaxes,income
As Reported Total Revenue,SalesRevenueNetPercent,income
As Reported Total Revenue,FoodAndBeverageRevenue,income
As Reported Total Revenue,RevenuesNetOfInterestExpense,income
As Reported Total Revenue,InvestmentAdvisoryManagementAndAdministrativeFees,income
As Reported Total Revenue,GrossProfit,income
As Reported Total Revenue,NetRevenues,income
As Reported Total Revenue,RevenuesNet,income
As Reported Total Revenue,HealthCareOrganizationRevenue,income
As Reported Total Revenue,OilAndGasRevenue,income
As Reported Total Revenue,RevenueFromContractWithCustomerAndOtherOperatingRevenuesExcludingAssessedTax,income
As Reported Total Revenue,RefiningAndMarketingRevenue,income
As Reported Total Revenue,SalesRevenueServicesGross,income
As Reported Total Revenue,FinancialServicesRevenue,income
As Reported Total Revenue,HealthCareOrganizationPatientServiceRevenueLessProvisionForBadDebts,income
As Reported Total Revenue,NetRevenue,income
As Reported Total Revenue,RevenueMineralSales,income
As Reported Total Revenue,HomeBuildingRevenue,income
As Reported Total Revenue,HealthCareOrganizationPatientServiceRevenue,income
As Reported Total Revenue,OperatingLeasesIncomeStatementLeaseRevenue,income
As Reported Total Revenue,CostOfGoodsSold,income
As Reported Total Revenue,SegmentReportingInformationRevenue,income
As Reported Total Revenue,SalesRevenueGoodsGross,income
As Reported Total Revenue,RealEstateRevenueNet,income
As Reported Total Revenue,ElectricUtilityRevenue,income
As Reported Total Revenue,RevenuesExcludingInterestAndDividends,income
As Reported Total Revenue,TotalRevenuesIncludingRevenueGeneratedByVariableInterestEntities,income
As Reported Total Revenue,RevenuesExcludingCorporate,income
As Reported Total Revenue,PremiumAndServiceRevenues,income
As Reported Total Revenue,ElectricalTransmissionAndDistributionRevenue,income
As Reported Total Revenue,UtilityRevenue,income
As Reported Total Revenue,SalesRevenueEnergyServices,income
As Reported Total Revenue,CargoAndFreightRevenueAndRegulatedAndUnregulatedOperatingRevenue,income
As Reported Total Revenue,ElectricDomesticRegulatedRevenue,income
As Reported Total Revenue,TotalOperatingRevenue,income
As Reported Total Revenue,RegulatedOperatingRevenue,income
As Reported Total Revenue,AssetManagementFees1,income
As Reported Total Revenue,InsuranceAgencyManagementFee,income
As Reported Total Revenue,RevenueOtherFinancialServices,income
As Reported Total Revenue,OtherSalesRevenueNet,income
As Reported Total Revenue,OtherIncome,income
As Reported Total Revenue,NoninterestIncomeOtherOperatingIncome,income
As Reported Total Revenue,HealthCareOrganizationOtherRevenue,income
As Reported Total Revenue,OtherHotelOperatingRevenue,income
As Reported Total Revenue,RegulatedOperatingRevenueOther,income
As Reported Total Revenue,NonInsuranceServiceRevenues,income
As Reported Total Revenue,ServiceFees,income
As Reported Total Revenue,JointVentureManagmentAndOtherFees,income
As Reported Total Revenue,ManagementFeesRevenue,income
As Reported Total Revenue,ServicesAndOther,income
As Reported Total Revenue,ServicesandOtherGrossProfit,income
As Reported Total Revenue,SalesRevenueServicesandOtherNet,income
As Reported Total Revenue,CostofServicesandOther,income
As Reported Total Revenue,CostOfServices,income
