standard,gaap_tag,statement
Asset Writedown,ImpairmentOfIntangibleAssetsExcludingGoodwill,income
Asset Writedown,ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,income
Asset Writedown,CostOfGoodsSoldImpairmentOfIntangibleAssets,income
Asset Writedown,ImpairmentOfIntangibleAssetsFinitelived,income
Asset Writedown,IndefiniteLivedIntangibleAssetsImpairmentLosses,income
Asset Writedown,GoodwillAndIntangibleAssetImpairment,income
Asset Writedown,ImpairmentOfIntangibleAndLongLivedAssetsExcludingGoodwill,income
Asset Writedown,OtherAssetImpairmentCharges,income
Asset Writedown,ImpairmentOfGoodwillAndIntangibleAssets,income
Asset Writedown,ImpairmentOfLongLivedAssetsToBeDisposedOf,income
Asset Writedown,AssetImpairmentCharges,income
Asset Writedown,ImpairmentCharge,income
Asset Writedown,ProductionRelatedImpairmentsOrCharges,income
Asset Writedown,ImpairmentOfLongLivedAssetsHeldForUse,income
Asset Writedown,ContinuingOperationsAssetImpairmentCharges,income
Asset Writedown,DiscontinuedAssetImpairmentCharges,income
Asset Writedown,GoodwillImpairmentLoss,income
Asset Writedown,AssetImpairmentAndOtherCharges,income
Asset Writedown,IntangibleAssetsImpairment,income
Asset Writedown,ImpairmentOfRealEstate,income
Asset Writedown,ImpairmentOfIntangibles,income
