standard,gaap_tag,statement
Diluted EPS,EarningsPerShareDiluted,income
Diluted EPS,IncomeLossFromContinuingOperationsPerDilutedShare,income
Diluted EPS,EarningsPerShareBasic,income
Diluted EPS,WeightedAverageNumberOfDilutedSharesOutstanding,income
Diluted EPS,ProFormaWeightedAverageSharesOutstandingDiluted,income
Diluted EPS,NetIncomeLossAvailableToCommonStockholdersDiluted,income
Diluted EPS,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,income
Diluted EPS,WeightedAverageCommonUnitsOutstandingDiluted,income
Diluted EPS,IncomeLossFromExtraordinaryItemsNetOfTaxPerDilutedShare,income
Diluted EPS,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerDilutedShare,income
Diluted EPS,DilutedWeightedAverageNumberOfSharesForPeriodUsedInPerShareCalculation,income
Diluted EPS,CommonStockDividendsPerShareCashPaid,income
Diluted EPS,NetIncomeLoss,income
Diluted EPS,ProfitLoss,income
Diluted EPS,NetIncomeLossAvailableToCommonStockholdersBasic,income
Diluted EPS,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,income
Diluted EPS,EarningsPerShareBasicAndDiluted,income
Diluted EPS,IncomeLossFromContinuingOperations,income
Diluted EPS,IncomeLossFromContinuingOperationsPerBasicShare,income
Diluted EPS,NetIncomeLossRelatingToComprehensiveIncome,income
Diluted EPS,NetIncomeLossConsolidatedProfit,income
Diluted EPS,NetIncome,income
Diluted EPS,ProfitLossExcludingNoncontrollingInterestsAssociatedWithDiscontinuedOperations,income
Diluted EPS,IncomeLossIncludingPortionAttributableToNoncontrollingInterest,income
Diluted EPS,EarningsPerShareBasicincludingPortionattributabletononcontrolinginterest,income
Diluted EPS,EarningsPerShareDilutedincludingportionattributabletononcontrollinginterest,income
Diluted EPS,IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges,income
Diluted EPS,Diluted,income
Diluted EPS,DilutedEarningsPerShareProForma,income
Diluted EPS,SalesRevenueNet,income
Diluted EPS,CostOfGoodsAndServicesSold,income
Diluted EPS,OperatingExpenses,income
Diluted EPS,InterestExpense,income
Diluted EPS,NoninterestExpense,income
Diluted EPS,Revenues,income
Diluted EPS,BenefitsLossesAndExpenses,income
Diluted EPS,CostsAndExpenses,income
Diluted EPS,NonoperatingIncomeExpense,income
Diluted EPS,UtilityRevenue,income
Diluted EPS,OperatingIncomeLoss,income
Diluted EPS,CostOfRevenue,income
Diluted EPS,CostsAndExpensesIncludingInterest,income
Diluted EPS,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,income
Diluted EPS,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,income
Diluted EPS,IncomeTaxExpenseBenefit,income
Diluted EPS,OperatingExpensesWithWriteOffOfInProcessResearchAndDevelopment,income
Diluted EPS,RealizedInvestmentGainsLosses,income
Diluted EPS,NetIncomeLossAttributabletoParentPercent,income
Diluted EPS,ProfitLossPercent,income
Diluted EPS,ProfitLossAdjusted,income
Diluted EPS,NetIncomeLossAttributableToCommonStockholders,income
Diluted EPS,NetIncomeLossAvailableToCommonStockholders,income
Diluted EPS,NetIncomeLossAvailableToCommonStockholdersBasicAndVestedOptionsDeemedParticipatingSecurities,income
Diluted EPS,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,income
Diluted EPS,WeightedAverageNumberOfSharesOutstandingBasic,income
Diluted EPS,WeightedAverageBasicSharesOutstandingProForma,income
Diluted EPS,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,income
Diluted EPS,WeightedAverageCommonUnitsOutstandingBasic,income
Diluted EPS,BasicWeightedAverageNumberOfSharesOutstanding,income
Diluted EPS,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerBasicShare,income
Diluted EPS,IncomeLossFromExtraordinaryItemsNetOfTaxPerBasicShare,income
Diluted EPS,WeightedAverageNumberOfSharesIssuedBasic,income
Diluted EPS,WeightedAverageNumberDilutedSharesOutstandingAdjustment,income
Diluted EPS,RevenueFromRelatedParties,income
Diluted EPS,ComprehensiveIncomeNetOfTax,income
Diluted EPS,GainsLossesOnExtinguishmentOfDebt,income
Diluted EPS,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,income
Diluted EPS,EffectiveIncomeTaxRateContinuingOperations,income
Diluted EPS,RetainedEarningsAccumulatedDeficit,income
Diluted EPS,NoninterestIncome,income
Diluted EPS,CommonStockDividendsPerShareDeclaredAndPaid,income
Diluted EPS,CommonStockDividendsPerShareDeclared,income
