standard,gaap_tag,statement
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerDilutedShare,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperations,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerBasicShare,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,income
Diluted EPS Excl. Extra Items,OperatingIncomeLoss,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeDiscontinuedOperations,income
Diluted EPS Excl. Extra Items,IncomeFromContinuingOperations,income
Diluted EPS Excl. Extra Items,IncomeLossBeforeDiscontinuedOperations,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,income
Diluted EPS Excl. Extra Items,NetIncomeLoss,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitDiluted,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnit,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitBasicNetOfTax,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperationsNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerOutstandingUnitBasic,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperationsPerOutstandingUnitDiluted,income
Diluted EPS Excl. Extra Items,DilutedEarningsPerShareFromContinuingOperationsProForma,income
Diluted EPS Excl. Extra Items,EarningsPerShareContinuingOperationsBasicAndDiluted,income
Diluted EPS Excl. Extra Items,EarningsPerShareDiluted,income
Diluted EPS Excl. Extra Items,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,income
Diluted EPS Excl. Extra Items,Diluted,income
Diluted EPS Excl. Extra Items,WeightedAverageNumberOfDilutedSharesOutstanding,income
Diluted EPS Excl. Extra Items,DilutedEarningsPerShareProForma,income
Diluted EPS Excl. Extra Items,ProfitLoss,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperationsAfterIncomeTaxes,income
Diluted EPS Excl. Extra Items,IncomeLossFromContinuingOperation,income
