standard,gaap_tag,statement
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,income
EBT Incl. Unusual Items,EarningsBeforeIncomeTaxes,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsBeforeIncomeTaxesAndMinorityInterest,income
EBT Incl. Unusual Items,IncomeLossfromContinuingOperationsBeforeIncomeTaxesandNoncontrollingInterest,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsBeforeIncomeTaxes,income
EBT Incl. Unusual Items,EarningsLossBeforeIncomeTaxes,income
EBT Incl. Unusual Items,EarningsFromContinuingOperationsBeforeIncomeTaxes,income
EBT Incl. Unusual Items,IncomeLossBeforeIncomeTaxes,income
EBT Incl. Unusual Items,NetIncomeLossFromContinuingOperationsIncludingMinorityInterestBeforeIncomeTaxes,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsBeforeEquityMethodInvestmentsIncomeTaxesExtraordinaryItems,income
EBT Incl. Unusual Items,IncomeLossBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,income
EBT Incl. Unusual Items,TotalIncomeBeforeProvisionForIncomeTaxes,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,income
EBT Incl. Unusual Items,IncomeBeforeIncomeTaxes,income
EBT Incl. Unusual Items,IncomeLossIncludingPortionAttributableToNoncontrollingInterest,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsCumulativeEffectsOfChangesInAccountingPrinciplesAndNoncontrollingInterest,income
EBT Incl. Unusual Items,IncomeBeforeIncomeTaxesAndNoncontrollingInterests,income
EBT Incl. Unusual Items,IncomeIncludingEquityAffiliateEarningsBeforeIncomeTaxes,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsCumulativeEffectOfAccountingPrinciplesAndNoncontrollingInterest,income
EBT Incl. Unusual Items,NetIncomeBeforeIncomeTaxes,income
EBT Incl. Unusual Items,IncomeIncludingEquityAffilateEarningsBeforeIncomeTaxes,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsBeforeIncomeTaxesAndNoncontrollingInterest,income
EBT Incl. Unusual Items,IncomeBeforeIncomeTaxesAfterEquityInEarningsOfAffiliates,income
EBT Incl. Unusual Items,IncomeBeforeIncomeTaxesIncludingLossesAttributableToNoncontrollingInterests,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndAfterIncomeLossFromEquityMethodInvestments,income
EBT Incl. Unusual Items,IncomeFromContinuingOperationsBeforeIncomeTaxes,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsAfterLossFromEquityMethodInvestment,income
EBT Incl. Unusual Items,IncomeFromOperationsBeforeIncomeTaxes,income
EBT Incl. Unusual Items,IncomeLossBeforeIncomeTaxesAfterEquityInEarningsOfAffiliates,income
EBT Incl. Unusual Items,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperations,income
EBT Incl. Unusual Items,IncomeLossAttributableToParent,income
EBT Incl. Unusual Items,IncomeFromContinuingOperationsBeforeTaxes,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsBeforeTaxes,income
EBT Incl. Unusual Items,IncomeFromContinuingOperationsBeforeIncomeTaxesAndNoncontrollingInterest,income
EBT Incl. Unusual Items,IncomeLossBeforeIncomeTax,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsAll,income
EBT Incl. Unusual Items,OperatingIncomeLoss,income
EBT Incl. Unusual Items,EarningsLossesFromContinuingOperationsBeforeIncomeTaxes,income
EBT Incl. Unusual Items,IncomeLossBeforeTaxes,income
EBT Incl. Unusual Items,IncomeBeforeTaxes,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterests,income
EBT Incl. Unusual Items,ResultsOfOperationsIncomeBeforeIncomeTaxes,income
EBT Incl. Unusual Items,EarningsLossFromContinuingOperationsBeforeTax,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationBeforeIncomeTaxesIncludingPortionAttributableToNoncontrollingInterests,income
EBT Incl. Unusual Items,IncomeLossfromContinuingOperationsbeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterestPercent,income
EBT Incl. Unusual Items,PreTaxEarnings,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsBeforeProvisionForIncomeTax,income
EBT Incl. Unusual Items,IncomeFromContinuingOperationsBeforeProvisionForIncomeTaxes,income
EBT Incl. Unusual Items,IncomeTaxExpenseBenefit,income
EBT Incl. Unusual Items,IncomeTaxExpenseBenefitContinuingOperations,income
EBT Incl. Unusual Items,OtherComprehensiveIncomeLossTax,income
EBT Incl. Unusual Items,IncomeLossBeforeProvisionBenefitForIncomeTaxes,income
EBT Incl. Unusual Items,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsMinorityInterestAndGainLossOnDispositionOfRealEstate,income
EBT Incl. Unusual Items,NetIncomeBeforeTax,income
EBT Incl. Unusual Items,IncomeLossBeforeIncomeTaxesAndDiscontinuedOperations,income
EBT Incl. Unusual Items,IncomeLossBeforeIncomeTaxesAndNoncontrollingInterest,income
EBT Incl. Unusual Items,SalesRevenueNet,income
EBT Incl. Unusual Items,CostOfGoodsAndServicesSold,income
EBT Incl. Unusual Items,OperatingExpenses,income
EBT Incl. Unusual Items,EarningsPerShareBasic,income
EBT Incl. Unusual Items,EarningsPerShareDiluted,income
EBT Incl. Unusual Items,NoninterestExpense,income
EBT Incl. Unusual Items,Revenues,income
EBT Incl. Unusual Items,BenefitsLossesAndExpenses,income
EBT Incl. Unusual Items,CostsAndExpenses,income
EBT Incl. Unusual Items,NonoperatingIncomeExpense,income
EBT Incl. Unusual Items,InterestExpense,income
EBT Incl. Unusual Items,UtilityRevenue,income
EBT Incl. Unusual Items,CostOfRevenue,income
