standard,gaap_tag,statement
Income Tax Expense,IncomeTaxExpenseBenefit,income
Income Tax Expense,CurrentIncomeTaxExpenseBenefit,income
Income Tax Expense,OperatingIncomeTaxExpenseBenefit,income
Income Tax Expense,NonoperatingIncomeTaxExpenseBenefit,income
Income Tax Expense,IncomeTaxExpenseBenefitExcludingTaxfromEquityMethodInvestments,income
Income Tax Expense,IncomeTaxExpenseBenefitContinuingOperations,income
Income Tax Expense,DiscontinuedOperationTaxEffectOfDiscontinuedOperation,income
Income Tax Expense,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesTax,income
Income Tax Expense,IncomeLossFromEquityMethodInvestments,income
Income Tax Expense,OtherTaxExpenseBenefit,income
Income Tax Expense,OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,income
Income Tax Expense,IncomeTaxExpenseBenefitPercent,income
Income Tax Expense,IncomeTaxProvision,income
Income Tax Expense,OtherComprehensiveIncomeLossTax,income
Income Tax Expense,OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesTax,income
Income Tax Expense,OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationTax,income
Income Tax Expense,OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationTax,income
Income Tax Expense,Othercomprehensiveincomelossonavailableforsalesecuritiesandderivativesqualifyingashedgestax,income
Income Tax Expense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,income
Income Tax Expense,IncomeTaxExpenseBenefitAndOther,income
Income Tax Expense,SalesRevenueNet,income
Income Tax Expense,CostOfGoodsAndServicesSold,income
Income Tax Expense,OperatingExpenses,income
Income Tax Expense,EarningsPerShareBasic,income
Income Tax Expense,EarningsPerShareDiluted,income
Income Tax Expense,Revenues,income
Income Tax Expense,NoninterestExpense,income
Income Tax Expense,BenefitsLossesAndExpenses,income
Income Tax Expense,CostsAndExpenses,income
Income Tax Expense,InterestExpense,income
Income Tax Expense,NonoperatingIncomeExpense,income
Income Tax Expense,UtilityRevenue,income
Income Tax Expense,OperatingIncomeLoss,income
Income Tax Expense,CostOfRevenue,income
Income Tax Expense,CostsAndExpensesIncludingInterest,income
Income Tax Expense,ProfitLoss,income
Income Tax Expense,NetIncomeLoss,income
Income Tax Expense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,income
Income Tax Expense,OperatingExpensesWithWriteOffOfInProcessResearchAndDevelopment,income
Income Tax Expense,RealizedInvestmentGainsLosses,income
