standard,gaap_tag,statement
Interest on Long Term Debt,InterestCostsIncurred,income
Interest on Long Term Debt,FinanceLeaseInterestExpense,income
Interest on Long Term Debt,InterestExpense,income
Interest on Long Term Debt,InterestExpenseLongTermDebt,income
Interest on Long Term Debt,InterestAndDebtExpense,income
Interest on Long Term Debt,AmortizationOfFinancingCosts,income
Interest on Long Term Debt,FinancingCostsNet,income
Interest on Long Term Debt,InterestIncomeExpenseAfterProvisionForLoanLoss,income
Interest on Long Term Debt,InterestIncomeExpenseNonoperatingNet,income
Interest on Long Term Debt,InterestExpenseAggregateExpenses,income
Interest on Long Term Debt,InterestExpenseDebt,income
Interest on Long Term Debt,InterestIncomeExpenseNet,income
Interest on Long Term Debt,InterestExpenseExcludingRelatedParty,income
Interest on Long Term Debt,InvestmentIncomeInvestmentExpense,income
Interest on Long Term Debt,InterestExpenseIS,income
Interest on Long Term Debt,InterestExpenseOperating,income
Interest on Long Term Debt,InterestIncomeExpensesNet,income
Interest on Long Term Debt,InterestExpenses,income
Interest on Long Term Debt,InterestExpenseBorrowings,income
Interest on Long Term Debt,InterestRevenueExpenseNet,income
Interest on Long Term Debt,InterestExpenseReversal,income
Interest on Long Term Debt,CashInterestExpense,income
Interest on Long Term Debt,Revenues,income
Interest on Long Term Debt,InterestIncomeOperating,income
Interest on Long Term Debt,InvestmentIncomeInterestAndDividend,income
Interest on Long Term Debt,InterestExpenseIncludingAccretion,income
Interest on Long Term Debt,InterestExpenseNet,income
Interest on Long Term Debt,InterestIncomeNet,income
Interest on Long Term Debt,InterestExpenseIncomeNet,income
Interest on Long Term Debt,NetInterestIncomeExpense,income
Interest on Long Term Debt,InterestExpenseOther,income
Interest on Long Term Debt,InterestAndDividendIncomeOperating,income
Interest on Long Term Debt,InterestExpenseNetOfCapitalizedInterest,income
Interest on Long Term Debt,AutomotiveInterestExpense,income
Interest on Long Term Debt,SalesRevenueNet,income
Interest on Long Term Debt,CostOfGoodsAndServicesSold,income
Interest on Long Term Debt,OperatingExpenses,income
Interest on Long Term Debt,EarningsPerShareBasic,income
Interest on Long Term Debt,EarningsPerShareDiluted,income
Interest on Long Term Debt,NoninterestExpense,income
Interest on Long Term Debt,BenefitsLossesAndExpenses,income
Interest on Long Term Debt,CostsAndExpenses,income
Interest on Long Term Debt,NonoperatingIncomeExpense,income
Interest on Long Term Debt,UtilityRevenue,income
Interest on Long Term Debt,OperatingIncomeLoss,income
Interest on Long Term Debt,CostOfRevenue,income
Interest on Long Term Debt,CostsAndExpensesIncludingInterest,income
Interest on Long Term Debt,ProfitLoss,income
Interest on Long Term Debt,NetIncomeLoss,income
Interest on Long Term Debt,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,income
Interest on Long Term Debt,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,income
Interest on Long Term Debt,IncomeTaxExpenseBenefit,income
Interest on Long Term Debt,OperatingExpensesWithWriteOffOfInProcessResearchAndDevelopment,income
Interest on Long Term Debt,RealizedInvestmentGainsLosses,income
Interest on Long Term Debt,NetInterestExpense,income
Interest on Long Term Debt,InterestNet,income
Interest on Long Term Debt,InterestAndOtherBorrowingExpense,income
Interest on Long Term Debt,InterestExpensePercent,income
Interest on Long Term Debt,TotalNonoperatingInterestAndOtherIncomeExpense,income
Interest on Long Term Debt,InterestIncomeInterestExpenseNet,income
Interest on Long Term Debt,ExternalInterestExpenseIncome,income
Interest on Long Term Debt,OtherNonoperatingExpense,income
