standard,gaap_tag,statement
Minority Int. in Earnings,NetIncomeLossAttributableToNoncontrollingInterest,income
Minority Int. in Earnings,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,income
Minority Int. in Earnings,NetIncomeLossAttributableToNonredeemableNoncontrollingInterest,income
Minority Int. in Earnings,NoncontrollingInterestInNetIncomeLossOtherNoncontrollingInterestsRedeemable,income
Minority Int. in Earnings,IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,income
Minority Int. in Earnings,NetIncomeLossAttributableToRedeemableNoncontrollingInterest,income
Minority Int. in Earnings,MinorityInterestInNetIncomeLossJointVenturePartners,income
Minority Int. in Earnings,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest,income
Minority Int. in Earnings,NetincomeattributabletoNoncontrollingInterestPerShareBasic,income
Minority Int. in Earnings,NetincomeattributabletoNoncontrollingInterestPerShareDiluted,income
Minority Int. in Earnings,NetIncomeLoss,income
Minority Int. in Earnings,NetIncomeLossAttributableToNoncontrollingInterestAndPreferredStockDividendsAndOtherAdjustments,income
Minority Int. in Earnings,MinorityInterestInNetIncomeLossOperatingPartnerships,income
Minority Int. in Earnings,NoncontrollingInterestInNetIncomeLossOperatingPartnershipsRedeemable,income
Minority Int. in Earnings,NoncontrollingInterestInNetIncomeLossOperatingPartnershipsNonredeemable,income
Minority Int. in Earnings,NetlossattributabletoNoncontrollingInterestPerShareBasic,income
Minority Int. in Earnings,NetlossattributabletoNoncontrollingInterestPerShareDiluted,income
Minority Int. in Earnings,NetIncomeLossAttributableToRedeemableAndNoncontrollingInterest,income
Minority Int. in Earnings,MinorityInterestInNetIncomeLossOtherMinorityInterests,income
Minority Int. in Earnings,PreferredStockDividendsIncomeStatementImpact,income
Minority Int. in Earnings,NetIncomeAttributableToRedeemableNonControllingInterestAndNonControllingInterest,income
Minority Int. in Earnings,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,income
Minority Int. in Earnings,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,income
Minority Int. in Earnings,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,income
Minority Int. in Earnings,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,income
Minority Int. in Earnings,IncomeLossFromDiscontinuedOperationsNetOfTax,income
Minority Int. in Earnings,DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,income
Minority Int. in Earnings,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,income
Minority Int. in Earnings,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,income
Minority Int. in Earnings,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,income
Minority Int. in Earnings,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,income
Minority Int. in Earnings,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,income
Minority Int. in Earnings,IncomeLossAttributableToNoncontrollingInterest,income
Minority Int. in Earnings,NoncontrollingInterestInNetIncomeLossOtherNoncontrollingInterestsNonredeemable,income
Minority Int. in Earnings,NetIncomeLossAvailableToCommonStockholdersBasic,income
Minority Int. in Earnings,NetIncomeAttributableToCommonShares,income
