standard,gaap_tag,statement
Net Income to Company,NetIncomeLoss,income
Net Income to Company,ProfitLoss,income
Net Income to Company,EarningsPerShareBasic,income
Net Income to Company,EarningsPerShareDiluted,income
Net Income to Company,NetIncomeLossAvailableToCommonStockholdersBasic,income
Net Income to Company,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,income
Net Income to Company,EarningsPerShareBasicAndDiluted,income
Net Income to Company,IncomeLossFromContinuingOperations,income
Net Income to Company,IncomeLossFromContinuingOperationsPerBasicShare,income
Net Income to Company,IncomeLossFromContinuingOperationsPerDilutedShare,income
Net Income to Company,NetIncomeLossRelatingToComprehensiveIncome,income
Net Income to Company,NetIncomeLossConsolidatedProfit,income
Net Income to Company,NetIncome,income
Net Income to Company,ProfitLossExcludingNoncontrollingInterestsAssociatedWithDiscontinuedOperations,income
Net Income to Company,IncomeLossIncludingPortionAttributableToNoncontrollingInterest,income
Net Income to Company,EarningsPerShareBasicincludingPortionattributabletononcontrolinginterest,income
Net Income to Company,EarningsPerShareDilutedincludingportionattributabletononcontrollinginterest,income
Net Income to Company,IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges,income
Net Income to Company,NetIncomeLossAvailableToCommonStockholdersDiluted,income
Net Income to Company,NetIncomeLossAttributabletoParentPercent,income
Net Income to Company,ProfitLossPercent,income
Net Income to Company,ProfitLossAdjusted,income
Net Income to Company,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,income
Net Income to Company,NetIncomeLossAvailableToCommonStockholders,income
Net Income to Company,NetIncomeLossAttributableToCommonStockholders,income
Net Income to Company,NetIncomeAvailabletoCompanyShareholders,income
Net Income to Company,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,income
Net Income to Company,NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic,income
Net Income to Company,NetIncomeLossApplicableToControllingInterest,income
Net Income to Company,SalesRevenueNet,income
Net Income to Company,CostOfGoodsAndServicesSold,income
Net Income to Company,OperatingExpenses,income
Net Income to Company,Revenues,income
Net Income to Company,NoninterestExpense,income
Net Income to Company,BenefitsLossesAndExpenses,income
Net Income to Company,CostsAndExpenses,income
Net Income to Company,NonoperatingIncomeExpense,income
Net Income to Company,InterestExpense,income
Net Income to Company,UtilityRevenue,income
Net Income to Company,OperatingIncomeLoss,income
Net Income to Company,CostOfRevenue,income
Net Income to Company,CostsAndExpensesIncludingInterest,income
Net Income to Company,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,income
Net Income to Company,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,income
Net Income to Company,IncomeTaxExpenseBenefit,income
Net Income to Company,OperatingExpensesWithWriteOffOfInProcessResearchAndDevelopment,income
Net Income to Company,RealizedInvestmentGainsLosses,income
Net Income to Company,NetIncomeAttributableToCommonShares,income
Net Income to Company,NetIncomeLossAttributableToNoncontrollingInterest,income
Net Income to Company,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,income
Net Income to Company,IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeDiscontinuedOperations,income
Net Income to Company,IncomeFromContinuingOperations,income
Net Income to Company,IncomeLossBeforeDiscontinuedOperations,income
Net Income to Company,NetIncomeLossAvailableToCommonStockholdersBeforeParticipatingSecurities,income
Net Income to Company,IncomeLossFromContinuingOperationsAfterIncomeTaxes,income
Net Income to Company,IncomeLossFromContinuingOperation,income
Net Income to Company,NetIncomeLossIncludingRedeemableAndNoncontrollingInterest,income
Net Income to Company,ProfitLossIncludingRedeemableAndNoncontrollingInterests,income
Net Income to Company,Netincomelossincludingredeemableandnoncontrollinginterest,income
Net Income to Company,NetIncomeFromConsolidatedOperations,income
Net Income to Company,IncomeLossFromContinuingOperationsBeforeMinorityInterest,income
