standard,gaap_tag,statement
Accrued Exp.,AccruedLiabilitiesCurrent,balance
Accrued Exp.,AccruedLiabilitiesCurrentAndNoncurrent,balance
Accrued Exp.,AccruedLiabilities,balance
Accrued Exp.,AccruedLiabilitiesAndOtherLiabilities,balance
Accrued Exp.,AccruedLiabilitiesAndOtherLiabilitiesCurrent,balance
Accrued Exp.,AccruedExpensesAndOtherLiabilities,balance
Accrued Exp.,AccruedandOtherLiabilitiesCurrent,balance
Accrued Exp.,AccruedExpensesAndOtherLiabilitiesCurrent,balance
Accrued Exp.,AccruedExpensesAndOtherCurrentLiabilities,balance
Accrued Exp.,AccruedLiabilitiesOtherCurrent,balance
Accrued Exp.,AccruedLiabilitiesAndOtherCurrent,balance
Accrued Exp.,AccruedAndOtherLiabilitiesCurrent,balance
Accrued Exp.,AccruedProgramming,balance
Accrued Exp.,AccruedProgrammingCurrent,balance
Accrued Exp.,AccruedAndOtherCurrentLiabilities,balance
Accrued Exp.,AccountsPayableAndOtherAccruedLiabilities,balance
Accrued Exp.,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrentOtherThanInterestAndDividendPayable,balance
Accrued Exp.,AccountsPayableandAccruedLiabilitiesCurrentandDebtCurrent,balance
Accrued Exp.,AccountsPayableandAccruedLiabilitiesIncludingRestructuringReserveCurrent,balance
Accrued Exp.,AccruedRoyaltiesCurrent,balance
Accrued Exp.,AccruedRoyalties,balance
Accrued Exp.,AccruedSalariesCurrent,balance
Accrued Exp.,AccruedCompensationCurrent,balance
Accrued Exp.,AccruedCompensation,balance
Accrued Exp.,AccruedSalariesCurrentAndNoncurrent,balance
,,
,,
,,
Accrued Exp.,ContractWithCustomerLiabilityCurrent,balance
Accrued Exp.,OtherAccruedLiabilitiesCurrent,balance
Accrued Exp.,DeferredRevenueCurrent,balance
Accrued Exp.,DeferredCompensationLiabilityCurrent,balance
Accrued Exp.,DeferredCompensationCashBasedArrangementsLiabilityCurrent,balance
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Accrued Exp.,OtherAccruedLiabilitiesNoncurrent,balance
Accrued Exp.,OtherAccruedLiabilitiesCurrentAndNoncurrent,balance
Accrued Exp.,AccountsPayableAndOtherAccruedLiabilitiesCurrent,balance
Accrued Exp.,AccountsPayableAndAccruedLiabilitiesCurrent,balance
Accrued Exp.,RestructuringReserveCurrent,balance
Accrued Exp.,OtherLiabilitiesCurrent,balance
Accrued Exp.,OtherLiabilities,balance
Accrued Exp.,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,balance
Accrued Exp.,AccountsPayableAndAccruedLiabilitiesNoncurrent,balance
Accrued Exp.,AccountsPayableCurrent,balance
Accrued Exp.,AccountsPayableTradeCurrent,balance
Accrued Exp.,AccountsPayableCurrentAndNoncurrent,balance
Accrued Exp.,AccountsPayableCurrentPercent,balance
Accrued Exp.,AccountsPayableAndAccruedInventoryCosts,balance
Accrued Exp.,AccountsPayable,balance
Accrued Exp.,AccountsPayableExcludingRelatedParties,balance
Accrued Exp.,AccountsPayableAndAccountsPayableRelatedPartiesCurrent,balance
Accrued Exp.,OtherLiabilitiesCurrentPercent,balance
Accrued Exp.,CurrentDeferredTaxLiabilitiesAndOtherCurrentLiabilities,balance
Accrued Exp.,OtherLiabilitiesandCapitalLeaseObligationsCurrent,balance
Accrued Exp.,AccruedRateRefunds,balance
Accrued Exp.,CustomerRefundLiabilityCurrent,balance
Accrued Exp.,InterestPayableCurrent,balance
Accrued Exp.,InterestAndDividendsPayableCurrent,balance
Accrued Exp.,InterestPayableCurrentAndNoncurrent,balance
Accrued Exp.,InterestsPayableCurrent,balance
Accrued Exp.,OtherAccruedInterestNoncurrent,balance
Accrued Exp.,EmployeeRelatedLiabilitiesCurrent,balance
