standard,gaap_tag,statement
Accumulated Depreciation,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,balance
Accumulated Depreciation,RealEstateInvestmentPropertyAccumulatedDepreciation,balance
Accumulated Depreciation,PublicUtilitiesPropertyPlantAndEquipmentAccumulatedDepreciation,balance
Accumulated Depreciation,RealEstateInvestmentPropertyAccumulatedDepreciationandAmortization,balance
Accumulated Depreciation,AccumulatedDepreciationAndAmortization,balance
Accumulated Depreciation,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,balance
Accumulated Depreciation,RealEstateInvestmentPropertyAccumulatedDepreciationAndAmortization,balance
Accumulated Depreciation,Accumulateddepreciationandamortization,balance
Accumulated Depreciation,AccumulatedDepreciationOnFlightEquipment,balance
Accumulated Depreciation,AccumulatedDepreciationOnEquipmentAndPropertyOther,balance
Accumulated Depreciation,FlightEquipmentOwnedAccumulatedDepreciation,balance
Accumulated Depreciation,PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,balance
Accumulated Depreciation,AccumulatedDepreciationPropertyPlantAndEquipmentOwned,balance
,,
,,
,,
,,
,,
,,
,,
,,
Accumulated Depreciation,PropertyPlantAndEquipmentNet,balance
Accumulated Depreciation,PropertyPlantAndEquipmentGross,balance
Accumulated Depreciation,OilAndGasPropertySuccessfulEffortMethodNet,balance
Accumulated Depreciation,PublicUtilitiesPropertyPlantAndEquipmentNet,balance
Accumulated Depreciation,PublicUtilitiesPropertyPlantAndEquipmentPlantInService,balance
