standard,gaap_tag,statement
Comprehensive Inc. and Other,AccumulatedOtherComprehensiveIncomeLossNetOfTax,balance
Comprehensive Inc. and Other,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,balance
Comprehensive Inc. and Other,AccumulatedOtherComprehensiveIncomeLossNetOfTaxPercent,balance
Comprehensive Inc. and Other,AccumulatedOtherComprehensiveLoss,balance
Comprehensive Inc. and Other,AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,balance
Comprehensive Inc. and Other,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,balance
Comprehensive Inc. and Other,AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,balance
Comprehensive Inc. and Other,AccumulatedOtherComprehensiveIncomeLoss,balance
,,
,,
,,
,,
,,
,,
,,
Comprehensive Inc. and Other,RetainedEarningsAccumulatedDeficit,balance
Comprehensive Inc. and Other,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,balance
Comprehensive Inc. and Other,LiabilitiesAndStockholdersEquity,balance
Comprehensive Inc. and Other,LiabilitiesAndStockholdersEquityPercent,balance
Comprehensive Inc. and Other,LiabilitiesAndStockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,balance
