standard,gaap_tag,statement
"Def. Tax Liability, Non-Curr.",DeferredTaxLiabilitiesNoncurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssetsLiabilitiesNetNoncurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredIncomeTaxLiabilitiesNet,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxLiabilitiesGrossNoncurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredIncomeTaxesNoncurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssetsLiabilitiesNet,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssetsLiabilitiesNetLiabilitytPosition,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxLiability,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAndOtherLiabilitiesNoncurrent,balance
"Def. Tax Liability, Non-Curr.",NonCurrentDeferredAndRefundableIncomeTaxes,balance
"Def. Tax Liability, Non-Curr.",AccumulatedDeferredIncomeTaxesNetNoncurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxLiabilityNoncurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxLiabilitiesNoncurrentAndAccumulatedDeferredInvestmentTaxCredit,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxLiabilitiesandInvestmentTaxCreditsNoncurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredIncomeTaxesAndOtherLiabilitiesNoncurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssetsLiabilitiesNetNoncurrentPercent,balance
,,
,,
,,
,,
"Def. Tax Liability, Non-Curr.",DeferredTaxLiabilitiesGrossCurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssetsGrossCurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssetsNet,balance
"Def. Tax Liability, Non-Curr.",DeferredIncomeTaxAssetsNet,balance
"Def. Tax Liability, Non-Curr.",AccruedIncomeTaxesNoncurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssetsGross,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxLiabilitiesAssetsNetCurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssets,balance
"Def. Tax Liability, Non-Curr.",DeferredIncomeTaxesAndOtherAssetsCurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssetsNoncurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredIncomeTaxes,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxLiabilities,balance
"Def. Tax Liability, Non-Curr.",DeferredIncomeTaxLiabilities,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxLiablilitiesNoncurrent1,balance
"Def. Tax Liability, Non-Curr.",NonCurrentIncomeTaxLiabilities,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssetsLiabilitiesNetAssetPosition,balance
"Def. Tax Liability, Non-Curr.",CurrentAndDeferredIncomeTaxes,balance
"Def. Tax Liability, Non-Curr.",Goodwill,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssetsCurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredIncomeTaxesAndOtherAssetsNoncurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxLiabilitiesNetCurrentDomestic,balance
"Def. Tax Liability, Non-Curr.",AccumulatedDeferredIncomeTaxesNetCurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxesNetOfValuationAllowance,balance
"Def. Tax Liability, Non-Curr.",AccruedIncomeTaxesNoncurrentAndLiabilityForUncertainTaxPositionsNoncurrent,balance
"Def. Tax Liability, Non-Curr.",TaxesPayableCurrent,balance
"Def. Tax Liability, Non-Curr.",AccruedIncomeTaxes,balance
"Def. Tax Liability, Non-Curr.",AccruedIncomeTaxesCurrent,balance
"Def. Tax Liability, Non-Curr.",TaxesPayableCurrentAndNoncurrent,balance
"Def. Tax Liability, Non-Curr.",IncomeTaxReceivable,balance
"Def. Tax Liability, Non-Curr.",IncomeTaxLiabilities,balance
"Def. Tax Liability, Non-Curr.",IncomeTax,balance
"Def. Tax Liability, Non-Curr.",IncomeTaxesNetAsset,balance
"Def. Tax Liability, Non-Curr.",IncomeTaxesNetLiability,balance
"Def. Tax Liability, Non-Curr.",IncomeTaxesReceivable,balance
"Def. Tax Liability, Non-Curr.",LiabilityForUncertainTaxPositionsNoncurrent,balance
"Def. Tax Liability, Non-Curr.",OtherLiabilitiesNoncurrent,balance
"Def. Tax Liability, Non-Curr.",LiabilitiesOtherThanLongtermDebtNoncurrent,balance
"Def. Tax Liability, Non-Curr.",LiabilitiesNoncurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssetsLiabilitiesNetCurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssetsNetCurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssetsNetNoncurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxLiabilitiesCurrent,balance
"Def. Tax Liability, Non-Curr.",DeferredTaxAssetsGrossNoncurrent,balance
