standard,gaap_tag,statement
"Deferred Tax Assets, Curr.",DeferredTaxAssetsLiabilitiesNetCurrent,balance
"Deferred Tax Assets, Curr.",PostconfirmationDeferredIncomeTaxAssetsCurrent,balance
"Deferred Tax Assets, Curr.",DeferredIncomeTaxesAndOtherTaxReceivableCurrent,balance
"Deferred Tax Assets, Curr.",DeferredTaxLiabilitiesCurrent,balance
"Deferred Tax Assets, Curr.",DeferredTaxLiabilitiesGrossCurrent,balance
"Deferred Tax Assets, Curr.",DeferredIncomeTaxesAndOtherAssetsCurrent,balance
"Deferred Tax Assets, Curr.",DeferredTaxLiabilitiesAssetsNetCurrent,balance
"Deferred Tax Assets, Curr.",DeferredTaxAssetsGrossCurrent,balance
"Deferred Tax Assets, Curr.",DeferredTaxAssetsNetCurrent,balance
"Deferred Tax Assets, Curr.",CurrentAndDeferredIncomeTaxes,balance
"Deferred Tax Assets, Curr.",DeferredTaxAssetsCurrent,balance
,,
,,
"Deferred Tax Assets, Curr.",DeferredFederalAndForeignIncomeTaxesAssetNet,balance
"Deferred Tax Assets, Curr.",DeferredFederalAndForeignIncomeTaxesLiabilitiesNet,balance
"Deferred Tax Assets, Curr.",DeferredIncomeTaxAssetsNet,balance
"Deferred Tax Assets, Curr.",DeferredTaxAssetsGrossNoncurrent,balance
"Deferred Tax Assets, Curr.",DeferredTaxesNetOfValuationAllowance,balance
"Deferred Tax Assets, Curr.",DeferredIncomeTaxLiabilities,balance
"Deferred Tax Assets, Curr.",DeferredTaxLiabilities,balance
"Deferred Tax Assets, Curr.",DeferredIncomeTaxLiabilitiesNet,balance
"Deferred Tax Assets, Curr.",DeferredTaxLiabilitiesGrossNoncurrent,balance
"Deferred Tax Assets, Curr.",DeferredTaxAssetsGross,balance
"Deferred Tax Assets, Curr.",DeferredTaxAssetsLiabilitiesNet,balance
"Deferred Tax Assets, Curr.",DeferredTaxAssetsNet,balance
"Deferred Tax Assets, Curr.",DeferredTaxLiabilitiesNoncurrent,balance
"Deferred Tax Assets, Curr.",DeferredTaxAssetsNoncurrent,balance
"Deferred Tax Assets, Curr.",DeferredIncomeTaxesAndOtherAssetsNoncurrent,balance
"Deferred Tax Assets, Curr.",DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,balance
"Deferred Tax Assets, Curr.",AccruedIncomeTaxesNoncurrent,balance
"Deferred Tax Assets, Curr.",DeferredIncomeTaxes,balance
"Deferred Tax Assets, Curr.",DeferredTaxAssets,balance
"Deferred Tax Assets, Curr.",DeferredTaxAssetsLiabilitiesNetAssetPosition,balance
"Deferred Tax Assets, Curr.",DeferredTaxAssetsLiabilitiesNetLiabilitytPosition,balance
"Deferred Tax Assets, Curr.",DeferredIncomeTaxesNoncurrent,balance
"Deferred Tax Assets, Curr.",DeferredTaxLiablilitiesNoncurrent1,balance
"Deferred Tax Assets, Curr.",NonCurrentIncomeTaxLiabilities,balance
"Deferred Tax Assets, Curr.",DeferredTaxAssetsLiabilitiesNetNoncurrent,balance
"Deferred Tax Assets, Curr.",DeferredTaxAssetsNetNoncurrent,balance
"Deferred Tax Assets, Curr.",Goodwill,balance
"Deferred Tax Assets, Curr.",Deferredtaxassetsnetcurrentforeign,balance
"Deferred Tax Assets, Curr.",DeferredTaxLiability,balance
"Deferred Tax Assets, Curr.",IncomeTaxesReceivable,balance
"Deferred Tax Assets, Curr.",IncomeTaxReceivable,balance
"Deferred Tax Assets, Curr.",PrepaidTaxes,balance
"Deferred Tax Assets, Curr.",DeferredTaxAssetsLiabilitiesNetNoncurrentPercent,balance
"Deferred Tax Assets, Curr.",NonCurrentDeferredAndRefundableIncomeTaxes,balance
