standard,gaap_tag,statement
Goodwill,Goodwill,balance
Goodwill,IntangibleAssetsNetIncludingGoodwill,balance
Goodwill,GoodwillAndIntangibleAssetsNet,balance
Goodwill,GoodwillAndOtherIntangiblesNet,balance
Goodwill,GoodwillNet,balance
Goodwill,GoodwillGross,balance
Goodwill,GoodwillAndOtherIntangibleAssets,balance
,,
,,
Goodwill,IncomeTaxReceivable,balance
Goodwill,OtherAssetsNoncurrent,balance
Goodwill,OtherAssets,balance
Goodwill,InvestmentsAndOtherNoncurrentAssets,balance
Goodwill,PrepaidExpenseAndOtherAssets,balance
Goodwill,OtherAssetsCurrent,balance
Goodwill,OtherSundryAssetsNoncurrent,balance
Goodwill,AssetsNoncurrent,balance
Goodwill,OtherAssetsNoncurrentPercent,balance
Goodwill,OtherAssetsMiscellaneousNoncurrent,balance
Goodwill,OtherAssetsBS,balance
Goodwill,OtherAssetsFairValueDisclosure,balance
Goodwill,DeferredTaxAssetsAndOtherAssets,balance
Goodwill,DeferredTaxAssetsLiabilitiesNetCurrent,balance
Goodwill,DeferredTaxAssetsLiabilitiesNetNoncurrent,balance
Goodwill,DeferredTaxLiabilitiesNoncurrent,balance
Goodwill,DeferredTaxAssetsNetCurrent,balance
Goodwill,DeferredTaxAssetsNetNoncurrent,balance
Goodwill,DeferredTaxLiabilitiesCurrent,balance
Goodwill,DeferredIncomeTaxLiabilitiesNet,balance
Goodwill,DeferredTaxLiabilitiesGrossNoncurrent,balance
Goodwill,DeferredTaxAssetsGrossCurrent,balance
Goodwill,DeferredTaxAssetsGrossNoncurrent,balance
Goodwill,DeferredTaxLiabilitiesGrossCurrent,balance
Goodwill,DeferredTaxAssetsNet,balance
Goodwill,DeferredIncomeTaxLiabilities,balance
Goodwill,DeferredIncomeTaxAssetsNet,balance
Goodwill,DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,balance
Goodwill,DeferredTaxLiabilities,balance
Goodwill,AccruedIncomeTaxesNoncurrent,balance
Goodwill,DeferredTaxAssetsLiabilitiesNet,balance
Goodwill,DeferredTaxAssetsGross,balance
Goodwill,DeferredTaxLiabilitiesAssetsNetCurrent,balance
Goodwill,DeferredIncomeTaxes,balance
Goodwill,DeferredTaxAssets,balance
Goodwill,DeferredIncomeTaxesAndOtherAssetsCurrent,balance
Goodwill,DeferredIncomeTaxesNoncurrent,balance
Goodwill,DeferredTaxAssetsNoncurrent,balance
Goodwill,DeferredTaxLiablilitiesNoncurrent1,balance
Goodwill,NonCurrentIncomeTaxLiabilities,balance
Goodwill,DeferredTaxAssetsLiabilitiesNetAssetPosition,balance
Goodwill,DeferredTaxAssetsLiabilitiesNetLiabilitytPosition,balance
Goodwill,CurrentAndDeferredIncomeTaxes,balance
Goodwill,DeferredTaxAssetsCurrent,balance
Goodwill,DeferredIncomeTaxesAndOtherAssetsNoncurrent,balance
