standard,gaap_tag,statement
"Gross Property, Plant & Equipment",PropertyPlantAndEquipmentGross,balance
"Gross Property, Plant & Equipment",PropertyPlantAndEquipmentAndCapitalizedSoftwareGross,balance
"Gross Property, Plant & Equipment",PropertyPlantAndEquipmentNet,balance
"Gross Property, Plant & Equipment",PublicUtilitiesPropertyPlantAndEquipmentPlantInService,balance
"Gross Property, Plant & Equipment",PublicUtilitiesPropertyPlantandEquipmentPlantinServiceExcludingConstructionWorkinProgress,balance
"Gross Property, Plant & Equipment",PropertyPlantAndEquipmentExcludingCipGross,balance
"Gross Property, Plant & Equipment",PropertyPlantAndEquipmentOtherNet,balance
"Gross Property, Plant & Equipment",PublicUtilitiesPropertyPlantAndEquipmentNet,balance
"Gross Property, Plant & Equipment",OilAndGasPropertySuccessfulEffortMethodNet,balance
"Gross Property, Plant & Equipment",AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,balance
"Gross Property, Plant & Equipment",PropertyAndEquipmentGrossExcludingConstructionInProgress,balance
"Gross Property, Plant & Equipment",RealEstateInvestmentPropertyNet,balance
"Gross Property, Plant & Equipment",PublicUtilitiesPropertyPlantAndEquipmentGross,balance
"Gross Property, Plant & Equipment",PropertyPlantAndEquipmentExcludingConstructionInProgress,balance
"Gross Property, Plant & Equipment",PropertyPlantAndEquipmentInService,balance
"Gross Property, Plant & Equipment",PropertyPlantAndEquipmentOther,balance
"Gross Property, Plant & Equipment",PropertyAndEquipment,balance
"Gross Property, Plant & Equipment",RealEstateInvestmentPropertyAtCost,balance
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Gross Property, Plant & Equipment",Land,balance
"Gross Property, Plant & Equipment",DepreciableProperty,balance
"Gross Property, Plant & Equipment",Assets,balance
"Gross Property, Plant & Equipment",AssetsCurrent,balance
"Gross Property, Plant & Equipment",StockholdersEquity,balance
"Gross Property, Plant & Equipment",CashCashEquivalentsAndFederalFundsSold,balance
"Gross Property, Plant & Equipment",LiabilitiesCurrent,balance
"Gross Property, Plant & Equipment",LongTermInvestments,balance
"Gross Property, Plant & Equipment",AssetsNoncurrent,balance
"Gross Property, Plant & Equipment",LiabilitiesNoncurrent,balance
"Gross Property, Plant & Equipment",StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,balance
"Gross Property, Plant & Equipment",InventoryNet,balance
"Gross Property, Plant & Equipment",LiabilitiesAndStockholdersEquity,balance
