standard,gaap_tag,statement
Inventory,InventoryNet,balance
Inventory,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,balance
Inventory,InventoryFinishedGoodsNetOfReserves,balance
Inventory,InventoryFinishedGoods,balance
Inventory,RetailRelatedInventoryMerchandise,balance
Inventory,InventoryRawMaterialsAndSupplies,balance
Inventory,OtherInventorySupplies,balance
Inventory,EnergyRelatedInventory,balance
Inventory,InventoryGross,balance
Inventory,Inventories,balance
Inventory,InventoryNet1,balance
Inventory,Inventory,balance
Inventory,PublicUtilitiesInventory,balance
Inventory,InventoryRealEstate,balance
Inventory,InventoryNoncurrent,balance
Inventory,TotalInventory,balance
Inventory,AirlineRelatedInventory,balance
Inventory,AirlineRelatedInventories,balance
Inventory,AirlineRelatedInventoryNet,balance
Inventory,MaterialsSuppliesAndFossilFuelInventory,balance
Inventory,InventoryOperativeBuilders,balance
Inventory,InventoryRawMaterialsAndSuppliesNetOfReserves,balance
Inventory,MaterialsSuppliesAndOther,balance
Inventory,InventoryPartsAndComponentsNetOfReserves,balance
Inventory,MaterialsAndSupplies,balance
Inventory,MaterialsAndSuppliesBs,balance
Inventory,InventoryRawMaterials,balance
Inventory,InventoryAndRawMaterialsForLongTermContractsOrPrograms,balance
Inventory,InventoryForLongTermContractsOrPrograms,balance
Inventory,InventoryLIFOReserve,balance
Inventory,InventoryNetPercent,balance
Inventory,InventoryNetOfCustomerAdvancesAndProgressBillings,balance
,,
,,
,,
Inventory,Assets,balance
Inventory,PublicUtilitiesPropertyPlantAndEquipmentPlantInService,balance
Inventory,RealEstateInvestmentPropertyAtCost,balance
Inventory,AssetsCurrent,balance
Inventory,LiabilitiesCurrent,balance
Inventory,LongTermInvestments,balance
Inventory,AssetsNoncurrent,balance
Inventory,LiabilitiesNoncurrent,balance
Inventory,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,balance
Inventory,LiabilitiesAndStockholdersEquity,balance
Inventory,StockholdersEquity,balance
Inventory,PublicUtilitiesPropertyPlantAndEquipmentGross,balance
Inventory,CashCashEquivalentsAndFederalFundsSold,balance
Inventory,RealEstateInvestmentPropertyNet,balance
Inventory,PropertyPlantAndEquipmentGross,balance
Inventory,OtherAssetsCurrent,balance
