standard,gaap_tag,statement
Machinery,MachineryAndEquipmentGross,balance
Machinery,RevenueAndServiceEquipment,balance
Machinery,ManufacturingEquipmentGross,balance
Machinery,BuildingsMachineryAndEquipmentGross,balance
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Machinery,BuildingsAndImprovementsGross,balance
Machinery,PrepaidExpenseAndOtherAssetsCurrent,balance
Machinery,PrepaidExpenseCurrent,balance
Machinery,OtherAssetsCurrent,balance
Machinery,PrepaidExpenseAndOtherAssets,balance
Machinery,PrepaidInsurance,balance
Machinery,PrepaidExpensesAndOtherCurrentAssets,balance
Machinery,PrepaidExpensesAndOtherAssetsCurrent,balance
Machinery,PrepaidExpensesAndOther,balance
Machinery,PrepaidExpenseAndOtherCurrent,balance
