standard,gaap_tag,statement
"Net Property, Plant & Equipment",PropertyPlantAndEquipmentNet,balance
"Net Property, Plant & Equipment",PropertyPlantAndEquipmentAndCapitalizedSoftwareNet,balance
"Net Property, Plant & Equipment",PublicUtilitiesPropertyPlantAndEquipmentNet,balance
"Net Property, Plant & Equipment",OilAndGasPropertyFullCostMethodNet,balance
"Net Property, Plant & Equipment",PropertyPlantandEquipmentExcludingLandNet,balance
"Net Property, Plant & Equipment",OilAndGasPropertySuccessfulEffortMethodNet,balance
"Net Property, Plant & Equipment",PropertyPlantAndEquipmentExcludingLandNet,balance
"Net Property, Plant & Equipment",PropertyPlantAndEquipmentGross,balance
"Net Property, Plant & Equipment",PublicUtilitiesPropertyPlantAndEquipmentPlantInService,balance
"Net Property, Plant & Equipment",PublicUtilitiesPropertyPlantandEquipmentPlantinServiceExcludingConstructionWorkinProgress,balance
"Net Property, Plant & Equipment",PropertyPlantAndEquipmentExcludingCipGross,balance
"Net Property, Plant & Equipment",PropertyAndEquipment,balance
"Net Property, Plant & Equipment",NetUtilityPlant,balance
"Net Property, Plant & Equipment",PropertyPlantAndEquipmentExcludingEquipmentOnOperatingLeasesNet,balance
"Net Property, Plant & Equipment",PropertyPlantAndEquipmentOther,balance
"Net Property, Plant & Equipment",PropertyPlantAndEquipmentOtherNet,balance
"Net Property, Plant & Equipment",PlantAndPropertyNet,balance
"Net Property, Plant & Equipment",PropertyPlantAndEquipmentNetPercent,balance
"Net Property, Plant & Equipment",PropertyPlantAndEquipmentNetIncludingCapitalizedComputerSoftwareNet,balance
"Net Property, Plant & Equipment",NetPlantExcludingConstructionWorkInProgress,balance
,,
,,
,,
,,
,,
,,
,,
,,
"Net Property, Plant & Equipment",OtherIntangibleAssetsNet,balance
"Net Property, Plant & Equipment",FiniteLivedIntangibleAssetsNet,balance
"Net Property, Plant & Equipment",IntangibleAssetsNetExcludingGoodwill,balance
"Net Property, Plant & Equipment",IntangibleAssetsNetIncludingGoodwill,balance
"Net Property, Plant & Equipment",AccumulatedDepreciationOnFlightEquipment,balance
"Net Property, Plant & Equipment",AccumulatedDepreciationOnEquipmentAndPropertyOther,balance
"Net Property, Plant & Equipment",FlightEquipmentOwnedAccumulatedDepreciation,balance
"Net Property, Plant & Equipment",PropertyPlantAndEquipmentOtherAccumulatedDepreciation,balance
"Net Property, Plant & Equipment",AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,balance
"Net Property, Plant & Equipment",RealEstateInvestmentPropertyAccumulatedDepreciation,balance
