standard,gaap_tag,statement
Other Current Assets,OtherAssetsCurrent,balance
Other Current Assets,PrepaidExpenseAndOtherAssetsCurrent,balance
Other Current Assets,PrepaidExpensesAndOther,balance
Other Current Assets,PrepaidExpenseAndOtherCurrent,balance
Other Current Assets,OtherAssetsIncludingDeferredTaxAssetsPrepaidExpenseandIncomeTaxesReceivableCurrent,balance
Other Current Assets,OtherAssetsCurrentPercent,balance
Other Current Assets,DeferredIncomeTaxesAndOtherAssetsCurrent,balance
Other Current Assets,PrepaidExpensesAndOtherCurrentAssets,balance
Other Current Assets,OtherReceivablesAndCurrentAssets,balance
Other Current Assets,OtherPrepaidExpenseCurrent,balance
Other Current Assets,PrepaidExpensesOtherAssets,balance
Other Current Assets,PrepaidExpensesAndOtherAssetsCurrent,balance
Other Current Assets,PrepaidExpensesOtherCurrentAssets,balance
Other Current Assets,PrepaidExpenseAndOtherAssets,balance
Other Current Assets,PrepaidExpensesandOtherCurrentsAssets,balance
Other Current Assets,OtherCurrentAssets,balance
Other Current Assets,OtherAssetsFairValueDisclosure,balance
Other Current Assets,DeferredTaxAssetsAndOtherAssets,balance
Other Current Assets,PrepaymentsAndOtherCurrentAssets,balance
Other Current Assets,PrepaidAndOtherCurrentAssets,balance
Other Current Assets,PrepaidOtherCurrentAssets,balance
Other Current Assets,DeferredIncomeTaxesAndOtherCurrentAssets,balance
Other Current Assets,InvestmentsAndOtherCurrentAssets,balance
Other Current Assets,InvestmentAndOtherCurrentAssets,balance
Other Current Assets,DisposalGroupIncludingDiscontinuedOperationOtherCurrentAssets,balance
Other Current Assets,PrepaidExpensesAndOtherAssets,balance
Other Current Assets,PrepaidCostsAndOthers,balance
Other Current Assets,PrepaidAssetsAndOtherCurrent,balance
Other Current Assets,PrepaidExpenseAndOtherCurrentAssets,balance
Other Current Assets,DeferredTaxAssetsAndOtherCurrentAssets,balance
,,
,,
,,
,,
,,
,,
,,
,,
,,
Other Current Assets,AssetsCurrent,balance
Other Current Assets,AssetsHeldForSaleNotPartOfDisposalGroupCurrent,balance
Other Current Assets,PrepaidExpenseCurrent,balance
Other Current Assets,OtherAdditionalCapital,balance
Other Current Assets,OtherReceivables,balance
Other Current Assets,OtherLiabilitiesCurrent,balance
Other Current Assets,OtherAssetsNoncurrent,balance
Other Current Assets,OtherLiabilitiesNoncurrent,balance
Other Current Assets,CurrentRegulatoryAssetsOther,balance
Other Current Assets,NoncurrentRegulatoryAssetOther,balance
Other Current Assets,NoncurrentRegulatoryLiabilityOther,balance
Other Current Assets,OtherAssets,balance
