standard,gaap_tag,statement
Other Current Liabilities,OtherLiabilitiesCurrent,balance
Other Current Liabilities,AccruedAndOtherCurrentLiabilities,balance
Other Current Liabilities,OtherAccruedLiabilitiesCurrent,balance
Other Current Liabilities,OtherLiabilitiesCurrentPercent,balance
Other Current Liabilities,CurrentDeferredTaxLiabilitiesAndOtherCurrentLiabilities,balance
Other Current Liabilities,OtherLiabilitiesandCapitalLeaseObligationsCurrent,balance
Other Current Liabilities,AccountsPayableAndOtherAccruedLiabilitiesCurrent,balance
Other Current Liabilities,AccruedLiabilitiesAndOtherLiabilitiesCurrent,balance
Other Current Liabilities,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,balance
Other Current Liabilities,AccruedLiabilitiesAndOtherLiabilities,balance
Other Current Liabilities,AccruedExpensesAndOtherLiabilities,balance
Other Current Liabilities,AccruedandOtherLiabilitiesCurrent,balance
Other Current Liabilities,AccruedExpensesAndOtherLiabilitiesCurrent,balance
Other Current Liabilities,OtherAccruedLiabilitiesCurrentAndNoncurrent,balance
Other Current Liabilities,AccruedExpensesAndOtherCurrentLiabilities,balance
Other Current Liabilities,AccruedAndOtherLiabilitiesCurrent,balance
Other Current Liabilities,AccruedLiabilitiesAndOtherCurrent,balance
Other Current Liabilities,AccountsPayableAndOtherAccruedLiabilities,balance
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Other Current Liabilities,NoncurrentRegulatoryLiabilityOther,balance
Other Current Liabilities,OtherAssets,balance
Other Current Liabilities,OtherLiabilities,balance
Other Current Liabilities,OtherSundryLiabilitiesNoncurrent,balance
Other Current Liabilities,OtherLongTermInvestments,balance
Other Current Liabilities,OtherDeferredCostsNet,balance
Other Current Liabilities,OtherInvestments,balance
Other Current Liabilities,NontradeReceivablesCurrent,balance
Other Current Liabilities,OtherLongTermInvestmentsAndMarketableSecurities,balance
Other Current Liabilities,OtherReceivablesGrossCurrent,balance
Other Current Liabilities,PrepaidExpenseAndOtherAssetsCurrent,balance
Other Current Liabilities,UnamortizedDebtIssuanceExpense,balance
Other Current Liabilities,DeferredCreditsAndOtherLiabilities,balance
Other Current Liabilities,AccumulatedOtherComprehensiveIncomeLossOtherNetofTax,balance
