standard,gaap_tag,statement
Other Non-Current Liabilities,OtherLiabilitiesNoncurrent,balance
Other Non-Current Liabilities,OtherLiabilities,balance
Other Non-Current Liabilities,OtherLiabilitiesFairValueDisclosure,balance
Other Non-Current Liabilities,OtherLiabilitiesNoncurrentPercent,balance
Other Non-Current Liabilities,OtherNoncurrentLiabilities,balance
Other Non-Current Liabilities,DeferredIncomeTaxesAndOtherLiabilitiesNoncurrent,balance
Other Non-Current Liabilities,OtherLiabilitiesAndDeferredRevenueNoncurrent,balance
Other Non-Current Liabilities,DeferredCreditsAndOtherLiabilitiesNoncurrent,balance
Other Non-Current Liabilities,OtherLiabilitiesOfConsolidatedVariableInterestEntities,balance
Other Non-Current Liabilities,DeferredCreditsAndOtherLiabilities,balance
Other Non-Current Liabilities,OtherSundryLiabilitiesNoncurrent,balance
Other Non-Current Liabilities,OtherLiabilitiesAndDeferredCredits,balance
Other Non-Current Liabilities,OtherLiabilitiesAndDeferredRevenue,balance
Other Non-Current Liabilities,AllOtherLiabilities,balance
Other Non-Current Liabilities,OtherLiabilitiesNoncurrentTotal,balance
Other Non-Current Liabilities,OtherLiabilitiesAndDeferredCreditsNoncurrent,balance
,,
,,
,,
Other Non-Current Liabilities,OtherLiabilitiesCurrent,balance
Other Non-Current Liabilities,LiabilitiesOtherThanLongtermDebtNoncurrent,balance
Other Non-Current Liabilities,DeferredTaxLiabilitiesNoncurrent,balance
Other Non-Current Liabilities,OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,balance
Other Non-Current Liabilities,OtherAdditionalCapital,balance
Other Non-Current Liabilities,OtherReceivables,balance
Other Non-Current Liabilities,OtherAssetsCurrent,balance
Other Non-Current Liabilities,OtherAssetsNoncurrent,balance
Other Non-Current Liabilities,CurrentRegulatoryAssetsOther,balance
Other Non-Current Liabilities,NoncurrentRegulatoryAssetOther,balance
Other Non-Current Liabilities,NoncurrentRegulatoryLiabilityOther,balance
Other Non-Current Liabilities,LiabilitiesNoncurrent,balance
Other Non-Current Liabilities,Liabilities,balance
Other Non-Current Liabilities,AssetRetirementObligationsNoncurrent,balance
Other Non-Current Liabilities,OtherBorrowings,balance
Other Non-Current Liabilities,OtherAssets,balance
Other Non-Current Liabilities,AccountsPayableAndOtherAccruedLiabilitiesCurrent,balance
Other Non-Current Liabilities,OtherLongTermInvestments,balance
Other Non-Current Liabilities,OtherAccruedLiabilitiesCurrent,balance
Other Non-Current Liabilities,OtherInvestments,balance
Other Non-Current Liabilities,OtherDeferredCostsNet,balance
Other Non-Current Liabilities,NontradeReceivablesCurrent,balance
Other Non-Current Liabilities,OtherLongTermInvestmentsAndMarketableSecurities,balance
Other Non-Current Liabilities,OtherReceivablesGrossCurrent,balance
Other Non-Current Liabilities,PrepaidExpenseAndOtherAssetsCurrent,balance
Other Non-Current Liabilities,UnamortizedDebtIssuanceExpense,balance
Other Non-Current Liabilities,AccumulatedOtherComprehensiveIncomeLossOtherNetofTax,balance
Other Non-Current Liabilities,OtherAssetsMiscellaneousNoncurrent,balance
Other Non-Current Liabilities,AccountsAndOtherReceivablesNetCurrent,balance
Other Non-Current Liabilities,OtherShortTermBorrowings,balance
Other Non-Current Liabilities,OtherReceivablesNetCurrent,balance
Other Non-Current Liabilities,PropertyPlantAndEquipmentOther,balance
Other Non-Current Liabilities,ShortTermBorrowings,balance
Other Non-Current Liabilities,LoansAndLeasesReceivableConsumerOther,balance
Other Non-Current Liabilities,AccruedLiabilitiesAndOtherLiabilitiesCurrent,balance
Other Non-Current Liabilities,OtherlRegulatoryAssetsAndDeferredDebits,balance
Other Non-Current Liabilities,OtherReceivable,balance
Other Non-Current Liabilities,InvestmentInAffiliatesOther,balance
Other Non-Current Liabilities,OtherEquity,balance
Other Non-Current Liabilities,ConstructionWorkInProgressOther,balance
Other Non-Current Liabilities,RegulatedEntityOtherAssetsNoncurrent,balance
Other Non-Current Liabilities,CurrentRegulatoryLiabilityOther,balance
Other Non-Current Liabilities,NonCurrentRegulatoryLiabilityOther,balance
Other Non-Current Liabilities,OtherLongTermDebtNoncurrent,balance
Other Non-Current Liabilities,IndefiniteAndFiniteLivedIntangibleAssetsExcludingGoodwill,balance
Other Non-Current Liabilities,AccumulatedOtherComprehensiveIncomeLossOtherNetOfTax,balance
Other Non-Current Liabilities,AccountsPayableCurrent,balance
Other Non-Current Liabilities,OtherRegulatoryAssetsAndDeferredDebits,balance
