standard,gaap_tag,statement
Restricted Cash,RestrictedCashAndCashEquivalentsAtCarryingValue,balance
Restricted Cash,RestrictedCashAndInvestmentsCurrent,balance
Restricted Cash,RestrictedCashAndCashEquivalents,balance
Restricted Cash,RestrictedCashAndCashEquivalentsNoncurrent,balance
Restricted Cash,RestrictedCashAndInvestmentsNoncurrent,balance
Restricted Cash,RestrictedCash,balance
Restricted Cash,RestrictedCashCurrent,balance
Restricted Cash,RestrictedCashNoncurrent,balance
Restricted Cash,RestrictedCashEquivalentsCurrent,balance
Restricted Cash,RestrictedCashFromCollectionsOnAutoLoanReceivables,balance
Restricted Cash,RestrictedCashForSecuritizationInvestors,balance
Restricted Cash,RestrictedCashAndCashEquivalentsU.S.LitigationEscrow,balance
Restricted Cash,RestrictedCashAndInvestmentSecurities,balance
Restricted Cash,RestrictedInvestmentsCurrent,balance
Restricted Cash,RestrictedInvestmentsNoncurrent,balance
Restricted Cash,RestrictedCashNoncurentHeldByConsolidatedVariableInterestEntities,balance
,,
,,
Restricted Cash,OtherRestrictedAssets,balance
Restricted Cash,OtherRestrictedAssetsNoncurrent,balance
Restricted Cash,OtherRestrictedAssetsCurrent,balance
