standard,gaap_tag,statement
Short-term Borrowings,CommercialPaper,balance
Short-term Borrowings,ShortTermBorrowings,balance
Short-term Borrowings,ShortTermBankLoansAndNotesPayable,balance
Short-term Borrowings,ShortTermBankLoansAndCurrentMaturitiesOfLongTermDebt,balance
Short-term Borrowings,ShortTermBorrowingsIncludingLongTermDebtCurrent,balance
Short-term Borrowings,ShortTermBorrowingsPercent,balance
Short-term Borrowings,FederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchaseAndShortTermBorrowings,balance
Short-term Borrowings,ShortTermBorrowingsAndCurrentPortionOfLongTermDebt,balance
Short-term Borrowings,ShortTermBorrowingsAndLongTermDebtCurrent,balance
Short-term Borrowings,ShortTermBorrowingsAndCurrentMaturitiesOfLongTermDebt,balance
Short-term Borrowings,ShortTermNonBankLoansAndNotesPayable,balance
Short-term Borrowings,ShortTermDebt,balance
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Short-term Borrowings,DebtCurrent,balance
Short-term Borrowings,LongTermDebtAndCapitalLeaseObligationsCurrent,balance
Short-term Borrowings,LongTermDebtCurrent,balance
Short-term Borrowings,LongTermDebtAndCapitalLeaseObligationsRepaymentsOfPrincipalInNextTwelveMonths,balance
Short-term Borrowings,LongTermDebtCurrentAndNotesPayable,balance
Short-term Borrowings,SecuredDebt,balance
Short-term Borrowings,OtherLongTermDebtCurrent,balance
Short-term Borrowings,LinesOfCreditCurrent,balance
Short-term Borrowings,SeniorNotesCurrent,balance
Short-term Borrowings,OtherShortTermBorrowings,balance
Short-term Borrowings,ObligationUnderCommercialPaperBorrowing,balance
Short-term Borrowings,NotesPayable,balance
Short-term Borrowings,NotesPayableCurrent,balance
Short-term Borrowings,DebtAndCapitalLeaseObligations,balance
Short-term Borrowings,LongTermNotesPayable,balance
Short-term Borrowings,LongTermDebtComponentsNotesPayable,balance
Short-term Borrowings,LongTermDebt,balance
Short-term Borrowings,FederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchase,balance
Short-term Borrowings,ShortTermBorrowingsOther,balance
Short-term Borrowings,BankOverdrafts,balance
Short-term Borrowings,LineOfCreditFacilityAmountOutstanding,balance
Short-term Borrowings,ObligationsUnderReverseRepurchaseAgreements,balance
Short-term Borrowings,LongTermLineOfCredit,balance
Short-term Borrowings,LineOfCredit,balance
Short-term Borrowings,LineOfCreditFacilityFairValueOfAmountOutstanding,balance
Short-term Borrowings,RevolvingCreditFacilityCurrent,balance
Short-term Borrowings,OtherAdditionalCapital,balance
Short-term Borrowings,OtherReceivables,balance
Short-term Borrowings,OtherLiabilitiesCurrent,balance
Short-term Borrowings,OtherAssetsCurrent,balance
Short-term Borrowings,OtherAssetsNoncurrent,balance
Short-term Borrowings,OtherLiabilitiesNoncurrent,balance
Short-term Borrowings,NoncurrentRegulatoryAssetOther,balance
Short-term Borrowings,CurrentRegulatoryAssetsOther,balance
Short-term Borrowings,NoncurrentRegulatoryLiabilityOther,balance
Short-term Borrowings,OtherAssets,balance
Short-term Borrowings,OtherSundryLiabilitiesNoncurrent,balance
Short-term Borrowings,OtherLiabilities,balance
Short-term Borrowings,AccountsPayableAndOtherAccruedLiabilitiesCurrent,balance
Short-term Borrowings,OtherLongTermInvestments,balance
Short-term Borrowings,OtherAccruedLiabilitiesCurrent,balance
