standard,gaap_tag,statement
Total Liabilities,Liabilities,balance
Total Liabilities,LiabilitiesPercent,balance
Total Liabilities,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,balance
Total Liabilities,LiabilitiesNoncurrent,balance
Total Liabilities,LiabilitiesOtherThanLongtermDebtNoncurrent,balance
,,
,,
,,
Total Liabilities,LongTermDebtAndCapitalLeaseObligations,balance
Total Liabilities,MinorityInterest,balance
Total Liabilities,RedeemableNoncontrollingInterestEquityCommonCarryingAmount,balance
Total Liabilities,NoncontrollingInterestMezzanineEquity,balance
Total Liabilities,NoncontrollingInterestCurrent,balance
Total Liabilities,NoncontrollingInterestNoncurrent,balance
Total Liabilities,RedeemableNoncontrollingInterestEquityCarryingAmount,balance
Total Liabilities,OtherLiabilitiesNoncurrent,balance
Total Liabilities,OtherLiabilities,balance
Total Liabilities,OtherLiabilitiesCurrent,balance
Total Liabilities,OtherLiabilitiesNoncurrentPercent,balance
Total Liabilities,OtherNoncurrentLiabilities,balance
Total Liabilities,AssetRetirementObligationsNoncurrent,balance
Total Liabilities,OtherBorrowings,balance
Total Liabilities,OtherLiabilitiesOfConsolidatedVariableInterestEntities,balance
Total Liabilities,DeferredCreditsAndOtherLiabilities,balance
Total Liabilities,OtherLiabilitiesFairValueDisclosure,balance
