standard,gaap_tag,statement
Trading Asset Securities,TradingSecurities,balance
Trading Asset Securities,FinancialInstrumentsSoldNotYetPurchasedAtFairValue,balance
Trading Asset Securities,TradingAccountAssetsFairValueDisclosure,balance
Trading Asset Securities,TradingAssets,balance
Trading Asset Securities,TradingSecuritiesCurrent,balance
Trading Asset Securities,TradingAccount,balance
Trading Asset Securities,TradingSecuritiesDebt,balance
Trading Asset Securities,AvailableForSaleSecuritiesEquitySecurities,balance
Trading Asset Securities,EquitysecuritiesLongterm,balance
Trading Asset Securities,EquitySecuritiesFvNi,balance
Trading Asset Securities,EquitySecuritiesFVNI,balance
Trading Asset Securities,MarketableSecuritiesEquitySecurities,balance
Trading Asset Securities,EquitySecuritiesFvNiAndWithoutReadilyDeterminableFairValue,balance
Trading Asset Securities,EquitySecuritiesWithoutReadilyDeterminableFairValueAmount,balance
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Trading Asset Securities,RealEstateInvestments,balance
Trading Asset Securities,OtherLongTermInvestments,balance
Trading Asset Securities,LongTermInvestments,balance
Trading Asset Securities,MarketableSecurities,balance
Trading Asset Securities,ShortTermInvestments,balance
Trading Asset Securities,Investments,balance
Trading Asset Securities,MarketableSecuritiesCurrent,balance
Trading Asset Securities,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,balance
Trading Asset Securities,EquityMethodInvestments,balance
Trading Asset Securities,AvailableForSaleSecuritiesCurrent,balance
Trading Asset Securities,LongTermInvestmentsAndReceivablesNet,balance
Trading Asset Securities,AvailableForSaleSecuritiesDebtSecuritiesCurrent,balance
Trading Asset Securities,MarketableSecuritiesNoncurrent,balance
Trading Asset Securities,HeldToMaturitySecuritiesCurrent,balance
Trading Asset Securities,Investmentsbs,balance
Trading Asset Securities,AvailableForSaleSecuritiesEquitySecuritiesAndEquityAndCostMethodInvestments,balance
Trading Asset Securities,EquityInvestments,balance
Trading Asset Securities,IntangibleAssetsNetExcludingGoodwill,balance
Trading Asset Securities,InvestmentsExcludingTradingSecurities,balance
Trading Asset Securities,OtherShortTermInvestments,balance
