standard,gaap_tag,statement
Accounts Payable,AccountsPayableCurrent,balance
Accounts Payable,AccountsPayableTradeCurrent,balance
Accounts Payable,AccountsPayableCurrentAndNoncurrent,balance
Accounts Payable,AccountsPayableCurrentPercent,balance
Accounts Payable,AccountsPayableAndAccruedInventoryCosts,balance
Accounts Payable,AccountsPayable,balance
Accounts Payable,AccountsPayableExcludingRelatedParties,balance
Accounts Payable,AccountsPayableAndAccountsPayableRelatedPartiesCurrent,balance
Accounts Payable,AccruedLiabilitiesCurrent,balance
Accounts Payable,AccountsPayableTradeCurrentAndNoncurrent,balance
Accounts Payable,AccountsPayableOtherCurrent,balance
Accounts Payable,OtherAdditionalCapital,balance
Accounts Payable,OtherReceivables,balance
Accounts Payable,OtherAssetsNoncurrent,balance
Accounts Payable,OtherLiabilitiesCurrent,balance
Accounts Payable,OtherAssetsCurrent,balance
Accounts Payable,CurrentRegulatoryAssetsOther,balance
Accounts Payable,OtherLiabilitiesNoncurrent,balance
Accounts Payable,NoncurrentRegulatoryAssetOther,balance
Accounts Payable,NoncurrentRegulatoryLiabilityOther,balance
Accounts Payable,OtherAssets,balance
Accounts Payable,OtherLiabilities,balance
Accounts Payable,AccountsPayableAndOtherAccruedLiabilitiesCurrent,balance
Accounts Payable,OtherSundryLiabilitiesNoncurrent,balance
Accounts Payable,OtherLongTermInvestments,balance
Accounts Payable,OtherAccruedLiabilitiesCurrent,balance
Accounts Payable,OtherDeferredCostsNet,balance
Accounts Payable,OtherInvestments,balance
Accounts Payable,NontradeReceivablesCurrent,balance
Accounts Payable,OtherLongTermInvestmentsAndMarketableSecurities,balance
Accounts Payable,OtherReceivablesGrossCurrent,balance
Accounts Payable,PrepaidExpenseAndOtherAssetsCurrent,balance
Accounts Payable,UnamortizedDebtIssuanceExpense,balance
Accounts Payable,DeferredCreditsAndOtherLiabilities,balance
Accounts Payable,AccumulatedOtherComprehensiveIncomeLossOtherNetofTax,balance
Accounts Payable,OtherAssetsMiscellaneousNoncurrent,balance
Accounts Payable,AccountsAndOtherReceivablesNetCurrent,balance
Accounts Payable,OtherShortTermBorrowings,balance
Accounts Payable,OtherReceivablesNetCurrent,balance
Accounts Payable,PropertyPlantAndEquipmentOther,balance
Accounts Payable,ShortTermBorrowings,balance
Accounts Payable,LoansAndLeasesReceivableConsumerOther,balance
Accounts Payable,AccruedLiabilitiesAndOtherLiabilitiesCurrent,balance
Accounts Payable,OtherlRegulatoryAssetsAndDeferredDebits,balance
Accounts Payable,OtherReceivable,balance
Accounts Payable,InvestmentInAffiliatesOther,balance
Accounts Payable,OtherEquity,balance
Accounts Payable,ConstructionWorkInProgressOther,balance
Accounts Payable,RegulatedEntityOtherAssetsNoncurrent,balance
Accounts Payable,CurrentRegulatoryLiabilityOther,balance
Accounts Payable,NonCurrentRegulatoryLiabilityOther,balance
Accounts Payable,OtherBorrowings,balance
Accounts Payable,OtherLongTermDebtNoncurrent,balance
Accounts Payable,IndefiniteAndFiniteLivedIntangibleAssetsExcludingGoodwill,balance
Accounts Payable,AccumulatedOtherComprehensiveIncomeLossOtherNetOfTax,balance
Accounts Payable,OtherRegulatoryAssetsAndDeferredDebits,balance
Accounts Payable,OtherDeferredCreditsNoncurrent,balance
Accounts Payable,LoansAndLeasesReceivableOther,balance
Accounts Payable,OtherAssetsNoncurrentOther,balance
Accounts Payable,OtherCurrentAssets,balance
Accounts Payable,AccumulatedOtherComprehensiveIncomeLossOther,balance
Accounts Payable,OtherCapital,balance
Accounts Payable,AccountsAndConstructionPayableCurrent,balance
Accounts Payable,AccountsPayableAndAccruedLiabilitiesCurrent,balance
