standard,gaap_tag,statement
"Deferred Tax Assets, LT",DeferredIncomeTaxAssetsNet,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsNetNoncurrent,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsLiabilitiesNetCurrent,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsLiabilitiesNetNoncurrent,balance
"Deferred Tax Assets, LT",DeferredTaxLiabilitiesNoncurrent,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsNetCurrent,balance
"Deferred Tax Assets, LT",DeferredTaxLiabilitiesCurrent,balance
"Deferred Tax Assets, LT",DeferredIncomeTaxLiabilitiesNet,balance
"Deferred Tax Assets, LT",DeferredTaxLiabilitiesGrossNoncurrent,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsGrossCurrent,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsGrossNoncurrent,balance
"Deferred Tax Assets, LT",DeferredTaxLiabilitiesGrossCurrent,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsNet,balance
"Deferred Tax Assets, LT",DeferredIncomeTaxLiabilities,balance
"Deferred Tax Assets, LT",DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,balance
"Deferred Tax Assets, LT",DeferredTaxLiabilities,balance
"Deferred Tax Assets, LT",AccruedIncomeTaxesNoncurrent,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsLiabilitiesNet,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsGross,balance
"Deferred Tax Assets, LT",DeferredTaxLiabilitiesAssetsNetCurrent,balance
"Deferred Tax Assets, LT",DeferredIncomeTaxes,balance
"Deferred Tax Assets, LT",DeferredTaxAssets,balance
"Deferred Tax Assets, LT",DeferredIncomeTaxesAndOtherAssetsCurrent,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsNoncurrent,balance
"Deferred Tax Assets, LT",DeferredIncomeTaxesNoncurrent,balance
"Deferred Tax Assets, LT",DeferredTaxLiablilitiesNoncurrent1,balance
"Deferred Tax Assets, LT",NonCurrentIncomeTaxLiabilities,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsLiabilitiesNetLiabilitytPosition,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsLiabilitiesNetAssetPosition,balance
"Deferred Tax Assets, LT",CurrentAndDeferredIncomeTaxes,balance
"Deferred Tax Assets, LT",Goodwill,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsCurrent,balance
"Deferred Tax Assets, LT",DeferredIncomeTaxesAndOtherAssetsNoncurrent,balance
"Deferred Tax Assets, LT",DeferredTaxLiability,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsLiabilitiesNetNoncurrentPercent,balance
"Deferred Tax Assets, LT",Deferredtaxassetsnetcurrentforeign,balance
"Deferred Tax Assets, LT",PostconfirmationDeferredIncomeTaxAssetsCurrent,balance
"Deferred Tax Assets, LT",DeferredIncomeTaxesAndOtherTaxReceivableCurrent,balance
"Deferred Tax Assets, LT",DeferredTaxesNetOfValuationAllowance,balance
"Deferred Tax Assets, LT",NonCurrentDeferredAndRefundableIncomeTaxes,balance
"Deferred Tax Assets, LT",DeferredFederalAndForeignIncomeTaxesAssetNet,balance
"Deferred Tax Assets, LT",DeferredFederalAndForeignIncomeTaxesLiabilitiesNet,balance
"Deferred Tax Assets, LT",OtherAssetsMiscellaneousNoncurrent,balance
"Deferred Tax Assets, LT",OtherAssetsNoncurrent,balance
"Deferred Tax Assets, LT",OtherAssets,balance
"Deferred Tax Assets, LT",InvestmentsAndOtherNoncurrentAssets,balance
"Deferred Tax Assets, LT",PrepaidExpenseAndOtherAssets,balance
"Deferred Tax Assets, LT",OtherAssetsCurrent,balance
"Deferred Tax Assets, LT",OtherSundryAssetsNoncurrent,balance
"Deferred Tax Assets, LT",AssetsNoncurrent,balance
"Deferred Tax Assets, LT",OtherAssetsNoncurrentPercent,balance
"Deferred Tax Assets, LT",OtherAssetsBS,balance
"Deferred Tax Assets, LT",OtherAssetsFairValueDisclosure,balance
"Deferred Tax Assets, LT",DeferredTaxAssetsAndOtherAssets,balance
