standard,gaap_tag,statement
Short Term Investments,MarketableSecuritiesCurrent,balance
Short Term Investments,AvailableForSaleSecuritiesDebtSecuritiesCurrent,balance
Short Term Investments,AvailableForSaleSecuritiesCurrent,balance
Short Term Investments,ShortTermInvestments,balance
Short Term Investments,MarketableSecuritiesNoncurrent,balance
Short Term Investments,AvailableForSaleSecuritiesNoncurrent,balance
Short Term Investments,MarketableSecurities,balance
Short Term Investments,AvailableForSaleSecurities,balance
Short Term Investments,AvailableForSaleSecuritiesDebtSecurities,balance
Short Term Investments,HeldToMaturitySecurities,balance
Short Term Investments,AvailableForSaleSecuritiesFairValueDisclosure,balance
Short Term Investments,AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,balance
Short Term Investments,MarketableSecuritiesFixedMaturitiesCurrent,balance
Short Term Investments,OtherShortTermInvestments,balance
Short Term Investments,ShortTermInvestmentsPercent,balance
Short Term Investments,HeldToMaturitySecuritiesCurrent,balance
Short Term Investments,ShortTermInvestment,balance
Short Term Investments,AvailableForSaleSecuritiesEquitySecuritiesCurrent,balance
Short Term Investments,ShortTermInvestmentsExcludingCenovus,balance
Short Term Investments,DebtSecuritiesAvailableForSaleandEquitySecurities,balance
Short Term Investments,DebtSecuritiesAvailableForSaleAndEquitySecurities,balance
Short Term Investments,OtherLongTermInvestments,balance
Short Term Investments,LongTermInvestments,balance
Short Term Investments,Investments,balance
Short Term Investments,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,balance
Short Term Investments,EquityMethodInvestments,balance
Short Term Investments,LongTermInvestmentsAndReceivablesNet,balance
Short Term Investments,Investmentsbs,balance
Short Term Investments,AvailableForSaleSecuritiesEquitySecuritiesAndEquityAndCostMethodInvestments,balance
Short Term Investments,EquityInvestments,balance
Short Term Investments,IntangibleAssetsNetExcludingGoodwill,balance
Short Term Investments,InvestmentsExcludingTradingSecurities,balance
Short Term Investments,EquitySecuritiesFvNiAndWithoutReadilyDeterminableFairValue,balance
Short Term Investments,TradingSecurities,balance
Short Term Investments,EquitySecuritiesWithoutReadilyDeterminableFairValueAmount,balance
Short Term Investments,InvestmentsFairValueDisclosure,balance
Short Term Investments,LongTermInvestmentsExcludingEquityMethodInvestments,balance
Short Term Investments,AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,balance
Short Term Investments,AvailableForSaleSecuritiesAndHeldToMaturitySecurities,balance
Short Term Investments,InvestmentSecurities,balance
Short Term Investments,DebtandEquitySecuritiesAvailableforsale,balance
Short Term Investments,MarketableSecuritiesAndOtherInvestments,balance
Short Term Investments,AvailableforSaleSecuritiesShortTermInvestments,balance
Short Term Investments,CashEquivalentsAtCarryingValue,balance
Short Term Investments,CashAndCashEquivalentsAtCarryingValue,balance
