standard,gaap_tag,statement
Cash from Investing,NetCashProvidedByUsedInInvestingActivities,cash_flow
Cash from Investing,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,cash_flow
Cash from Investing,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,cash_flow
Cash from Investing,NetCashProvidedByUsedInInvestingActivitiesContinuingOperationsGS,cash_flow
Cash from Investing,NetCashProvidedByUsedInInvestingActivitiesContinuingOperationsGs,cash_flow
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Cash from Investing,PaymentsForProceedsFromOtherInvestingActivities,cash_flow
Cash from Investing,CashFlowsFromInvestingActivitiesOther,cash_flow
Cash from Investing,PaymentForProceedFromOtherInvestingActivities,cash_flow
Cash from Investing,ProceedsFromHedgeInvestingActivities,cash_flow
Cash from Investing,ProceedsFromSaleOfOtherAssetsInvestingActivities,cash_flow
Cash from Investing,PaymentsToAcquireEquityMethodInvestments,cash_flow
Cash from Investing,ProceedsFromPaymentsForOtherFinancingActivities,cash_flow
Cash from Investing,OtherOperatingActivitiesCashFlowStatement,cash_flow
Cash from Investing,OtherNoncashExpense,cash_flow
Cash from Investing,IncreaseDecreaseInOtherOperatingAssets,cash_flow
Cash from Investing,PaymentsOfDividendsCommonStock,cash_flow
Cash from Investing,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,cash_flow
Cash from Investing,PaymentsToAcquireOtherProductiveAssets,cash_flow
Cash from Investing,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,cash_flow
Cash from Investing,IncreaseDecreaseInOtherNoncurrentAssets,cash_flow
Cash from Investing,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,cash_flow
Cash from Investing,OtherNoncashIncome,cash_flow
Cash from Investing,GainLossOnDispositionOfAssets,cash_flow
Cash from Investing,PaymentsForProceedsFromFinanceReceivables,cash_flow
Cash from Investing,OtherOperatingActivities,cash_flow
Cash from Investing,Other,cash_flow
Cash from Investing,ProceedsFromOtherShortTermDebt,cash_flow
Cash from Investing,IncreaseDecreaseInOtherCurrentAssetsAndLiabilitiesNet,cash_flow
Cash from Investing,PaymentsToAcquireAvailableForSaleSecuritiesEquity,cash_flow
Cash from Investing,EffectOfExchangeRateOnCashAndCashEquivalentsOther,cash_flow
Cash from Investing,OtherGainLoss,cash_flow
Cash from Investing,PaymentForContingentConsiderationLiabilityFinancingActivities,cash_flow
Cash from Investing,NoncashActivitiesOther,cash_flow
Cash from Investing,ProceedsFromSaleOfProductiveAssets,cash_flow
Cash from Investing,PaymentsToAcquireBusinessesNetOfCashAcquired,cash_flow
Cash from Investing,PaymentsToAcquireBusinessesNetOfCashAcquired1,cash_flow
Cash from Investing,BusinessAcquisitionCostOfAcquiredEntityCashPaid,cash_flow
Cash from Investing,NetCashProvidedByUsedInOperatingActivities,cash_flow
Cash from Investing,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,cash_flow
Cash from Investing,NetCashProvidedByUsedInFinancingActivities,cash_flow
Cash from Investing,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,cash_flow
Cash from Investing,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,cash_flow
Cash from Investing,NetCashProvidedByUsedInContinuingOperations,cash_flow
Cash from Investing,IncreaseDecreaseInOtherOperatingLiabilities,cash_flow
Cash from Investing,OtherNoncashIncomeExpense,cash_flow
Cash from Investing,ProceedsFromOtherOperatingActivities,cash_flow
Cash from Investing,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,cash_flow
Cash from Investing,IncreaseDecreaseInOtherOperatingCapitalNet,cash_flow
Cash from Investing,ProceedsFromSaleOfPropertyPlantAndEquipment,cash_flow
Cash from Investing,ProceedsFromSaleOfOtherPropertyPlantAndEquipment,cash_flow
Cash from Investing,ProceedsfromPaymentsforOtherFinancingActivitiesExcludingTreasuryTaxBenefitsfromNoncashCompCommonStockOptionsNonControllingInterest,cash_flow
Cash from Investing,IncreaseDecreaseInOtherOperatingActivitiesFinancialServices,cash_flow
Cash from Investing,PaymentsForExerciseOfStockBasedAwards,cash_flow
Cash from Investing,OtherPaymentsProceedsFromToAcquireBusinesses,cash_flow
Cash from Investing,ChangesInNoncontrollingInterestNet,cash_flow
Cash from Investing,IncreaseDecreaseInAccumulatedOtherComprehensiveIncomeNet,cash_flow
Cash from Investing,OtherFinancingActivities,cash_flow
Cash from Investing,AllOtherFinancingActivitiesNet,cash_flow
Cash from Investing,IncreaseDecreaseInOtherOperatingLiabilitiesAndLongTermRoyaltyAdvances,cash_flow
