standard,gaap_tag,statement
Common Dividends Paid,PaymentsOfDividends,cash_flow
Common Dividends Paid,DividendsCommonStockCash,cash_flow
Common Dividends Paid,PaymentsOfDividendsCommonStock,cash_flow
Common Dividends Paid,PaymentsOfOrdinaryDividends,cash_flow
Common Dividends Paid,PaymentsOfDividendsPreferredStockAndPreferenceStock,cash_flow
Common Dividends Paid,PaymentsOfDividendsCash,cash_flow
Common Dividends Paid,DividendsPaid,cash_flow
Common Dividends Paid,PaymentsOfCapitalDistribution,cash_flow
Common Dividends Paid,PaymentsOfDividendsMinorityInterest,cash_flow
Common Dividends Paid,DividendsCash,cash_flow
Common Dividends Paid,DividendsPaidCash,cash_flow
Common Dividends Paid,PaymentsOfDistributionsToAffiliates,cash_flow
Common Dividends Paid,Dividends,cash_flow
Common Dividends Paid,PaymentsOfDividendsAndDividendEquivalentsOnCommonStockAndRestrictedStockUnits,cash_flow
Common Dividends Paid,PaymentsOfDividendsToOwners,cash_flow
Common Dividends Paid,DividendsPaidToCommonAndPreferredStockholders,cash_flow
Common Dividends Paid,Dividendsincludingchargestopurchaseofpreferredstock,cash_flow
Common Dividends Paid,DividendsincludingChargestoPurchasePreferredStock,cash_flow
Common Dividends Paid,PaymentsOfDividendsAndEquivalents,cash_flow
Common Dividends Paid,PaymentsOfOrdinaryDividendsCommonStockAndDividendEquivalents,cash_flow
Common Dividends Paid,CashDividendsPaidToParentCompany,cash_flow
Common Dividends Paid,PaymentsOfDividendsGeneralPartner,cash_flow
Common Dividends Paid,PaymentsToMinorityShareholders,cash_flow
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Common Dividends Paid,PaymentsForRepurchaseOfCommonStock,cash_flow
Common Dividends Paid,PaymentsOfDebtExtinguishmentCosts,cash_flow
Common Dividends Paid,PaymentsForProceedsFromHedgeFinancingActivities,cash_flow
Common Dividends Paid,GainLossOnDispositionOfAssets,cash_flow
Common Dividends Paid,PaymentsForProceedsFromFinanceReceivables,cash_flow
Common Dividends Paid,OtherOperatingActivities,cash_flow
Common Dividends Paid,Other,cash_flow
Common Dividends Paid,CashFlowsFromInvestingActivitiesOther,cash_flow
Common Dividends Paid,IncreaseDecreaseInOtherOperatingActivitiesFinancialServices,cash_flow
Common Dividends Paid,PaymentsForExerciseOfStockBasedAwards,cash_flow
Common Dividends Paid,OtherPaymentsProceedsFromToAcquireBusinesses,cash_flow
Common Dividends Paid,ChangesInNoncontrollingInterestNet,cash_flow
Common Dividends Paid,IncreaseDecreaseInAccumulatedOtherComprehensiveIncomeNet,cash_flow
Common Dividends Paid,OtherFinancingActivities,cash_flow
Common Dividends Paid,AllOtherFinancingActivitiesNet,cash_flow
Common Dividends Paid,IncreaseDecreaseInOtherOperatingLiabilitiesAndLongTermRoyaltyAdvances,cash_flow
Common Dividends Paid,PaymentForProceedFromOtherInvestingActivities,cash_flow
Common Dividends Paid,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,cash_flow
Common Dividends Paid,ProceedsFromSaleOfPropertyPlantAndEquipment,cash_flow
Common Dividends Paid,ProceedsFromSaleOfOtherPropertyPlantAndEquipment,cash_flow
Common Dividends Paid,ProceedsfromPaymentsforOtherFinancingActivitiesExcludingTreasuryTaxBenefitsfromNoncashCompCommonStockOptionsNonControllingInterest,cash_flow
Common Dividends Paid,ProceedsFromHedgeInvestingActivities,cash_flow
Common Dividends Paid,ProceedsFromSaleOfOtherAssetsInvestingActivities,cash_flow
Common Dividends Paid,ProceedsFromOtherOperatingActivities,cash_flow
Common Dividends Paid,PaymentsToAcquireEquityMethodInvestments,cash_flow
