standard,gaap_tag,statement,,,,
Other Investing Activities,PaymentsForProceedsFromOtherInvestingActivities,cash_flow,,,,
Other Investing Activities,CashFlowsFromInvestingActivitiesOther,cash_flow,,,,
Other Investing Activities,PaymentForProceedFromOtherInvestingActivities,cash_flow,,,,
Other Investing Activities,ProceedsFromOtherInvestingActivities,cash_flow,,,,
Other Investing Activities,NetChangeOtherInvestingActivities,cash_flow,,,,
Other Investing Activities,PaymentsToAcquireOtherInvestments,cash_flow,,,,
Other Investing Activities,ProceedsFromSaleAndMaturityOfOtherInvestments,cash_flow,,,,
Other Investing Activities,ProceedsFromSaleOfOtherInvestments,cash_flow,,,,
Other Investing Activities,ProceedsFromMaturitiesPrepaymentsAndCallsOfOtherInvestments,cash_flow,,,,
Other Investing Activities,PaymentsToAcquireEquityMethodInvestmentsAndOtherNet,cash_flow,,,,
Other Investing Activities,ChangeInOtherAssets,cash_flow,,,,
Other Investing Activities,OtherInvestingActivities,cash_flow,,,,
Other Investing Activities,ReimbursementsOfOtherInvestments,cash_flow,,,,
,,,,,,
,,,,,,
,,,,,,
Other Investing Activities,OtherNoncashIncomeExpense,cash_flow,,,,
Other Investing Activities,IncreaseDecreaseInOtherOperatingCapitalNet,cash_flow,,,,
Other Investing Activities,ProceedsFromPaymentsForOtherFinancingActivities,cash_flow,,,,
Other Investing Activities,OtherOperatingActivitiesCashFlowStatement,cash_flow,,,,
Other Investing Activities,OtherNoncashExpense,cash_flow,,,,
Other Investing Activities,IncreaseDecreaseInOtherOperatingAssets,cash_flow,,,,
Other Investing Activities,PaymentsOfDividendsCommonStock,cash_flow,,,,
Other Investing Activities,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,cash_flow,,,,
Other Investing Activities,IncreaseDecreaseInOtherOperatingLiabilities,cash_flow,,,,
Other Investing Activities,PaymentsToAcquireOtherProductiveAssets,cash_flow,,,,
Other Investing Activities,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,cash_flow,,,,
Other Investing Activities,IncreaseDecreaseInOtherNoncurrentAssets,cash_flow,,,,
Other Investing Activities,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,cash_flow,,,,
Other Investing Activities,OtherNoncashIncome,cash_flow,,,,
Other Investing Activities,GainLossOnDispositionOfAssets,cash_flow,,,,
Other Investing Activities,PaymentsForProceedsFromFinanceReceivables,cash_flow,,,,
Other Investing Activities,OtherOperatingActivities,cash_flow,,,,
Other Investing Activities,Other,cash_flow,,,,
,,,,,,
Other Investing Activities,IncreaseDecreaseInOtherOperatingActivitiesFinancialServices,cash_flow,,,,
Other Investing Activities,PaymentsForExerciseOfStockBasedAwards,cash_flow,,,,
Other Investing Activities,OtherPaymentsProceedsFromToAcquireBusinesses,cash_flow,,,,
Other Investing Activities,ChangesInNoncontrollingInterestNet,cash_flow,,,,
Other Investing Activities,IncreaseDecreaseInAccumulatedOtherComprehensiveIncomeNet,cash_flow,,,,
Other Investing Activities,OtherFinancingActivities,cash_flow,,,,
Other Investing Activities,AllOtherFinancingActivitiesNet,cash_flow,,,,
Other Investing Activities,IncreaseDecreaseInOtherOperatingLiabilitiesAndLongTermRoyaltyAdvances,cash_flow,,,,
,,,,,,
Other Investing Activities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,cash_flow,,,,
Other Investing Activities,ProceedsFromSaleOfPropertyPlantAndEquipment,cash_flow,,,,
Other Investing Activities,ProceedsFromSaleOfOtherPropertyPlantAndEquipment,cash_flow,,,,
Other Investing Activities,ProceedsfromPaymentsforOtherFinancingActivitiesExcludingTreasuryTaxBenefitsfromNoncashCompCommonStockOptionsNonControllingInterest,cash_flow,,,,
Other Investing Activities,ProceedsFromHedgeInvestingActivities,cash_flow,,,,
Other Investing Activities,ProceedsFromSaleOfOtherAssetsInvestingActivities,cash_flow,,,,
Other Investing Activities,ProceedsFromOtherOperatingActivities,cash_flow,,,,
Other Investing Activities,PaymentsToAcquireEquityMethodInvestments,cash_flow,,,,
Other Investing Activities,ProceedsFromOtherShortTermDebt,cash_flow,,,,
