standard,gaap_tag,statement
Purchase of Marketable Equity Securities,PaymentsToAcquireAvailableForSaleSecuritiesDebt,cash_flow
Purchase of Marketable Equity Securities,PaymentsToAcquireInvestments,cash_flow
Purchase of Marketable Equity Securities,PaymentsToAcquireAvailableForSaleSecurities,cash_flow
Purchase of Marketable Equity Securities,PaymentsToAcquireMarketableSecurities,cash_flow
Purchase of Marketable Equity Securities,PaymentsToAcquireMarketableSecuritiesFixedMaturities,cash_flow
Purchase of Marketable Equity Securities,PaymentsToAcquireHeldToMaturitySecurities,cash_flow
Purchase of Marketable Equity Securities,PaymentsForProceedsFromAvailableforsaleSecuritiesShortterm,cash_flow
Purchase of Marketable Equity Securities,PaymentsToAcquireShortTermInvestments,cash_flow
Purchase of Marketable Equity Securities,PaymentsForProceedsFromShortTermInvestments,cash_flow
Purchase of Marketable Equity Securities,NetPurchasesSalesOfShortTermInvestments,cash_flow
Purchase of Marketable Equity Securities,PurchasesOfShortTermInvestments,cash_flow
Purchase of Marketable Equity Securities,PaymentsForSecuritiesAcquiredAvailableForSaleFixedMaturitiesAtFairValue,cash_flow
Purchase of Marketable Equity Securities,PurchasesofInvestmentsbySpecialPurposeEntities,cash_flow
Purchase of Marketable Equity Securities,PurchasesofInvestments,cash_flow
Purchase of Marketable Equity Securities,PaymentsForProceedsFromBusinessesAndInterestInAffiliates,cash_flow
Purchase of Marketable Equity Securities,PaymentsForDerivativeInstrumentInvestingActivities,cash_flow
Purchase of Marketable Equity Securities,PaymentsForProceedsFromOtherInvestingActivities,cash_flow
Purchase of Marketable Equity Securities,PaymentsOfFixedMaturitySecurities,cash_flow
Purchase of Marketable Equity Securities,PaymentstoAcquireDebtSecuritiesCarriedatFairValue,cash_flow
Purchase of Marketable Equity Securities,InvestmentInDebtSecurity,cash_flow
Purchase of Marketable Equity Securities,PaymentsToAcquireUSTreasuryBillsAndAvailableForSaleSecuritiesDebt,cash_flow
Purchase of Marketable Equity Securities,PaymentsToAcquireAvailableForSaleSecuritiesEquity,cash_flow
Purchase of Marketable Equity Securities,PaymentsToAcquireLoansAndLeasesHeldForInvestment,cash_flow
Purchase of Marketable Equity Securities,PaymentstoAcquireNotHeldForTradingEquitySecurities,cash_flow
Purchase of Marketable Equity Securities,InvestmentsInNuclearDecommissioningTrustFundSecurities,cash_flow
Purchase of Marketable Equity Securities,PaymentstoAcquireCostMethodInvestments,cash_flow
Purchase of Marketable Equity Securities,PaymentsToAcquireEquityMethodInvestments,cash_flow
Purchase of Marketable Equity Securities,PurchasesOfMarketableSecuritiesAndInvestments,cash_flow
Purchase of Marketable Equity Securities,ExpedituresForInvestmentsAndAcquisitionOfBusinessesNetOfCashAcquired,cash_flow
Purchase of Marketable Equity Securities,PaymentsForPurchaseOfSecuritiesOperatingActivities,cash_flow
Purchase of Marketable Equity Securities,PaymentsForPurchaseOfTradingSecurities,cash_flow
Purchase of Marketable Equity Securities,PaymentsToAcquireCostMethodInvestment,cash_flow
Purchase of Marketable Equity Securities,Purchaseofcostmethodinvestment,cash_flow
Purchase of Marketable Equity Securities,PaymentsToAcquireLongtermInvestments,cash_flow
Purchase of Marketable Equity Securities,PaymentsToAcquireLifeInsurancePolicies,cash_flow
Purchase of Marketable Equity Securities,NoncashOrPartNoncashAcquisitionInvestmentsAcquired1,cash_flow
