standard,gaap_tag,statement
Repurchase of Common Stock,PaymentsForRepurchaseOfCommonStock,cash_flow
Repurchase of Common Stock,PaymentsForRepurchaseOfCommonStockForOtherThanShareBasedCompensationPlans,cash_flow
Repurchase of Common Stock,PaymentsToRepurchaseCommonStock,cash_flow
Repurchase of Common Stock,RepurchaseOfCommonStockUnderStockRepurchaseProgram,cash_flow
Repurchase of Common Stock,StockRepurchasedAndRetiredDuringPeriodValue,cash_flow
Repurchase of Common Stock,PaymentsForRepurchaseOfEquity,cash_flow
Repurchase of Common Stock,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,cash_flow
Repurchase of Common Stock,TreasuryStockValueAcquiredCostMethod,cash_flow
Repurchase of Common Stock,TreasuryStockAcquiredValueNetofTreasuryStockReissued,cash_flow
Repurchase of Common Stock,StockRepurchasedDuringPeriodValue,cash_flow
Repurchase of Common Stock,PaymentsForRepurchaseOfCommonStockOtherThanUnderAmountsPublicallyAnnoucedProgram,cash_flow
Repurchase of Common Stock,PaymentsForPurchaseOfTreasuryStockShareRepurchasePlan,cash_flow
Repurchase of Common Stock,Paymentsforpurchaseoftreasurystocksharerepurchaseplan,cash_flow
Repurchase of Common Stock,ProceedsFromRepurchaseOfEquity,cash_flow
Repurchase of Common Stock,PurchaseOfTreasuryShares,cash_flow
Repurchase of Common Stock,PaymentsToAcquireTreasuryStock,cash_flow
Repurchase of Common Stock,PurchaseofTreasurySharesCashPaid,cash_flow
Repurchase of Common Stock,PaymentsForRepurchaseAndRetirementOfCommonStock,cash_flow
Repurchase of Common Stock,PaymentsForRepurchaseOfCommonStockAndWarrants,cash_flow
Repurchase of Common Stock,ProceedsfromPaymentsforRepurchaseofCommonStock,cash_flow
Repurchase of Common Stock,TreasuryStockAcquiredShareRepurchaseAuthorization,cash_flow
Repurchase of Common Stock,TreasuryStockAcquiredShareRepurchaseProgram,cash_flow
Repurchase of Common Stock,PaymentsForRepurchaseOfTreasuryStock,cash_flow
Repurchase of Common Stock,PaymentsForRepurchaseOfCommonStockAndPaymentsRelatedToTaxWithholdingForShareBasedCompensation,cash_flow
Repurchase of Common Stock,TreasuryStockValueAcquired,cash_flow
Repurchase of Common Stock,PaymentsForRepurchaseOfPreferredStockAndPreferenceStock,cash_flow
Repurchase of Common Stock,CashPaymentsForRepurchaseOfCommonStock,cash_flow
Repurchase of Common Stock,PaymentsForRepurchaseOfCommonAndPreferredStock,cash_flow
Repurchase of Common Stock,ProceedsfromRepurchaseofCommonStock,cash_flow
Repurchase of Common Stock,RepurchaseOfCommonSharesBySubsidiaries,cash_flow
Repurchase of Common Stock,TreasuryStockRetiredCostMethodAmount,cash_flow
Repurchase of Common Stock,TreasuryStockRetiredCostMethodAmountNoncashForCashFlow,cash_flow
Repurchase of Common Stock,RepurchasesOfCommonStockForEmployeeTaxWithholding,cash_flow
Repurchase of Common Stock,AcquisitionOfCommonStockForTaxWithholdingObligationUnderOur2005ContingentStockPlan,cash_flow
Repurchase of Common Stock,AcquisitionOfCommonStockForTaxWithholdingObligationUnderTwoThousandFiveContingentStockPlan,cash_flow
Repurchase of Common Stock,CommonStockShareRepurchasesIncludingSharesSurrenderedForTaxWithholding,cash_flow
Repurchase of Common Stock,PaymentsForRepurchaseOfCommonStockAndPreferredStock,cash_flow
Repurchase of Common Stock,PaymentsForProceedsFromRepurchaseSaleofTreasuryStock,cash_flow
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Repurchase of Common Stock,PaymentsForRepurchaseOfOtherEquity,cash_flow
Repurchase of Common Stock,ProceedsFromIssuanceOfCommonStock,cash_flow
Repurchase of Common Stock,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,cash_flow
Repurchase of Common Stock,PaymentsForRepurchaseOfWarrants,cash_flow
Repurchase of Common Stock,ProceedsFromSaleOfTreasuryStock,cash_flow
Repurchase of Common Stock,PaymentsOfDividendsCommonStock,cash_flow
Repurchase of Common Stock,PurchaseOfCommonStockForSettlementOfEquityAwards,cash_flow
Repurchase of Common Stock,PaymentsOfDividends,cash_flow
Repurchase of Common Stock,PaymentsOfOrdinaryDividends,cash_flow
Repurchase of Common Stock,PaymentsOfDividendsPreferredStockAndPreferenceStock,cash_flow
Repurchase of Common Stock,PaymentsOfDividendsCash,cash_flow
Repurchase of Common Stock,DividendsPaid,cash_flow
Repurchase of Common Stock,PaymentsOfCapitalDistribution,cash_flow
Repurchase of Common Stock,PaymentsOfDividendsMinorityInterest,cash_flow
Repurchase of Common Stock,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,cash_flow
Repurchase of Common Stock,ProceedsFromStockOptionsExercised,cash_flow
Repurchase of Common Stock,ProceedsFromIssuanceOrSaleOfEquity,cash_flow
Repurchase of Common Stock,ShareBasedCompensation,cash_flow
