standard,gaap_tag,statement
Sale of Marketable Equity Securities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfShortTermInvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfAvailableForSaleSecurities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfMarketableSecuritiesFixedMaturities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSecuritiesSoldAvailableForSaleFixedMaturitiesAtFairValue,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfEquityMethodInvestments,cash_flow
Sale of Marketable Equity Securities,GainOnSaleOfInvestments,cash_flow
Sale of Marketable Equity Securities,GainLossOnSaleOfInvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsfromSalesofInvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleAndMaturityOfMarketableSecurities,cash_flow
Sale of Marketable Equity Securities,ProceedsfromSaleofDebtSecuritiesFairValue,cash_flow
Sale of Marketable Equity Securities,ProceedsfromSaleofDebtSecuritiesCarriedatFairValue,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfUSTreasuryBillsAndAvailableForSaleSecuritiesDebt,cash_flow
Sale of Marketable Equity Securities,ProceedsFromDivestitureOfInterestInSubsidiariesAndAffiliates,cash_flow
Sale of Marketable Equity Securities,ProceedsfromSaleofInvestmentsandOtherSecurities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromDivestitureOfBusinessesAndInterestsInAffiliates,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfAvailableForSaleSecuritiesEquity,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfLoansAndLeasesHeldForInvestment,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfMarketableSecurities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfMortgageLoansHeldForSale,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleAndMaturityOfHeldToMaturitySecurities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfHeldToMaturitySecurities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfInvestmentProjects,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSalesOfBusinessesAndInvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfInvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSalesOfInvestmentsAndBusinessesNet,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleMaturityAndCollectionOfShorttermInvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleAndMaturityOfAvailableForSaleDebtEquitySecurities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleAndMaturityOfAvailableForSaleSecuritiesAndOtherInvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsFromMaturitiesPrepaymentsAndCallsOfOtherInvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSalesOfAssetsInvestingActivities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromDivestitureOfBusinesses,cash_flow
Sale of Marketable Equity Securities,PaymentsForProceedsFromHedgeInvestingActivities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromDispositionsOfInvestments,cash_flow
Sale of Marketable Equity Securities,Proceedsfromsaleofavailableforsalesecuritiesandotherinvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfRestrictedInvestments,cash_flow
Sale of Marketable Equity Securities,SalePurchasesOfMarketableSecuritiesAndInvestments,cash_flow
,,
,,
,,
,,
,,
,,
,,
Sale of Marketable Equity Securities,ProceedsFromSaleOfOtherInvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleAndMaturityOfOtherInvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfProductiveAssets,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfOtherAssetsInvestingActivities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromSaleOfPropertyPlantAndEquipment,cash_flow
Sale of Marketable Equity Securities,PaymentsForProceedsFromOtherInvestingActivities,cash_flow
Sale of Marketable Equity Securities,PaymentsForProceedsFromInvestments,cash_flow
Sale of Marketable Equity Securities,PaymentsToAcquireAvailableForSaleSecuritiesDebt,cash_flow
Sale of Marketable Equity Securities,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecuritiesFixedMaturitySecurities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecuritiesEquitySecurities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,cash_flow
Sale of Marketable Equity Securities,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecuritiesDebt,cash_flow
Sale of Marketable Equity Securities,FixedMaturitiesAvailableForSaleProceeds,cash_flow
Sale of Marketable Equity Securities,ProceedsFromInvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsFromFixedMaturitySecurities,cash_flow
Sale of Marketable Equity Securities,PaymentsForProceedsFromAvailableforsaleSecuritiesShortterm,cash_flow
Sale of Marketable Equity Securities,PaymentsToAcquireAvailableForSaleSecurities,cash_flow
Sale of Marketable Equity Securities,PaymentsForProceedsFromShortTermInvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsFromMaturitiesPrepaymentsAndCallsOfShorttermInvestments,cash_flow
Sale of Marketable Equity Securities,ProceedsFromMaturitiesOfShortTermInvestments,cash_flow
Sale of Marketable Equity Securities,MaturitiesOfInvestments,cash_flow
