standard,gaap_tag,statement
Stock-Based Compensation,ShareBasedCompensation,cash_flow
Stock-Based Compensation,AllocatedShareBasedCompensationExpense,cash_flow
Stock-Based Compensation,StockOptionPlanExpense,cash_flow
Stock-Based Compensation,ShareBasedCompensationCashFlow,cash_flow
Stock-Based Compensation,ShareBasedCompensationAndPreferredStockReleasedByEmployeeStockOptionPlan,cash_flow
Stock-Based Compensation,StockBasedCompensationExpenseAndOther,cash_flow
Stock-Based Compensation,EmployeeBenefitsAndShareBasedCompensation,cash_flow
Stock-Based Compensation,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,cash_flow
Stock-Based Compensation,ShareBasedCompensationExcludingTransformationCharges,cash_flow
Stock-Based Compensation,StockBasedCompensationExpense,cash_flow
Stock-Based Compensation,ShareBasedCompensationExpense,cash_flow
Stock-Based Compensation,Stockbasedcompensationexpense,cash_flow
Stock-Based Compensation,EmployeeBenefitsAndShareBasedCompensationNoncash,cash_flow
Stock-Based Compensation,SharebasedCompensationExcludingTwoInternationalSegments,cash_flow
Stock-Based Compensation,ShareBasedCompensationExcludingTwoInternationalPlans,cash_flow
Stock-Based Compensation,StockBasedCompensationExpensePensionAndOther,cash_flow
Stock-Based Compensation,ShareBasedIncentiveCompensationAndProfitSharingExpense,cash_flow
Stock-Based Compensation,StockIssuedDuringPeriodValueShareBasedCompensation,cash_flow
Stock-Based Compensation,CompensationExpenseRelatedToStockOptionsAndNonvestedAwards,cash_flow
,,
,,
,,
,,
,,
,,
,,
,,
,,
Stock-Based Compensation,AmortizationDeferredStockBasedCompensation,cash_flow
Stock-Based Compensation,OtherAmortizationOfDeferredCharges,cash_flow
Stock-Based Compensation,OtherNoncashExpense,cash_flow
Stock-Based Compensation,PaymentsForRepurchaseOfCommonStock,cash_flow
Stock-Based Compensation,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,cash_flow
Stock-Based Compensation,IncreaseDecreaseInStockBasedCompensationExpense,cash_flow
Stock-Based Compensation,IncreaseDecreaseInSharebasedCompensation,cash_flow
Stock-Based Compensation,GainLossOnSaleOfSecuritiesNetIncludingGainsLossesInCorporateBankingRevenue,cash_flow
Stock-Based Compensation,DeferredIncomeTaxExpenseBenefitAndOtherNonCashItems,cash_flow
Stock-Based Compensation,DeferredIncomeTaxesAndOtherNoncashItems,cash_flow
Stock-Based Compensation,DeferredIncomeTaxExpenseBenefit,cash_flow
Stock-Based Compensation,Deferredincometaxesandothernoncashitems,cash_flow
Stock-Based Compensation,AmortizationStockBasedCompensation,cash_flow
Stock-Based Compensation,RestrictedStockExpense,cash_flow
Stock-Based Compensation,ProceedsFromSaleOfOilAndGasPropertyAndEquipment,cash_flow
Stock-Based Compensation,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,cash_flow
Stock-Based Compensation,ProceedsFromDivestitureOfBusinesses,cash_flow
Stock-Based Compensation,ProceedsFromDivestitureOfBusinessesAndInterestsInAffiliates,cash_flow
Stock-Based Compensation,ProceedsFromDivestituresSaleOfInvestmentAndRefundableEscrowedPurchasePrice,cash_flow
