standard,gaap_tag,statement
,None,
,,
,,
,,
,,
,,
,,
,,
Change in Other Net Operating Assets,IncreaseDecreaseInOtherOperatingCapitalNet,cash_flow
Change in Other Net Operating Assets,OtherNoncashIncomeExpense,cash_flow
Change in Other Net Operating Assets,PaymentsForProceedsFromOtherInvestingActivities,cash_flow
Change in Other Net Operating Assets,ProceedsFromPaymentsForOtherFinancingActivities,cash_flow
Change in Other Net Operating Assets,OtherOperatingActivitiesCashFlowStatement,cash_flow
Change in Other Net Operating Assets,OtherNoncashExpense,cash_flow
Change in Other Net Operating Assets,IncreaseDecreaseInOtherOperatingAssets,cash_flow
Change in Other Net Operating Assets,PaymentsOfDividendsCommonStock,cash_flow
Change in Other Net Operating Assets,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,cash_flow
Change in Other Net Operating Assets,IncreaseDecreaseInOtherOperatingLiabilities,cash_flow
Change in Other Net Operating Assets,PaymentsToAcquireOtherProductiveAssets,cash_flow
Change in Other Net Operating Assets,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,cash_flow
Change in Other Net Operating Assets,IncreaseDecreaseInOtherNoncurrentAssets,cash_flow
Change in Other Net Operating Assets,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,cash_flow
Change in Other Net Operating Assets,OtherNoncashIncome,cash_flow
Change in Other Net Operating Assets,GainLossOnDispositionOfAssets,cash_flow
Change in Other Net Operating Assets,PaymentsForProceedsFromFinanceReceivables,cash_flow
Change in Other Net Operating Assets,OtherOperatingActivities,cash_flow
Change in Other Net Operating Assets,Other,cash_flow
Change in Other Net Operating Assets,CashFlowsFromInvestingActivitiesOther,cash_flow
Change in Other Net Operating Assets,IncreaseDecreaseInOtherOperatingActivitiesFinancialServices,cash_flow
Change in Other Net Operating Assets,PaymentsForExerciseOfStockBasedAwards,cash_flow
Change in Other Net Operating Assets,OtherPaymentsProceedsFromToAcquireBusinesses,cash_flow
Change in Other Net Operating Assets,ChangesInNoncontrollingInterestNet,cash_flow
Change in Other Net Operating Assets,IncreaseDecreaseInAccumulatedOtherComprehensiveIncomeNet,cash_flow
Change in Other Net Operating Assets,OtherFinancingActivities,cash_flow
Change in Other Net Operating Assets,AllOtherFinancingActivitiesNet,cash_flow
Change in Other Net Operating Assets,IncreaseDecreaseInOtherOperatingLiabilitiesAndLongTermRoyaltyAdvances,cash_flow
Change in Other Net Operating Assets,PaymentForProceedFromOtherInvestingActivities,cash_flow
Change in Other Net Operating Assets,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,cash_flow
Change in Other Net Operating Assets,ProceedsFromSaleOfPropertyPlantAndEquipment,cash_flow
Change in Other Net Operating Assets,ProceedsFromSaleOfOtherPropertyPlantAndEquipment,cash_flow
Change in Other Net Operating Assets,ProceedsfromPaymentsforOtherFinancingActivitiesExcludingTreasuryTaxBenefitsfromNoncashCompCommonStockOptionsNonControllingInterest,cash_flow
Change in Other Net Operating Assets,ProceedsFromHedgeInvestingActivities,cash_flow
Change in Other Net Operating Assets,ProceedsFromSaleOfOtherAssetsInvestingActivities,cash_flow
