standard,gaap_tag,statement
Capital Expenditure,PaymentsToAcquireProductiveAssets,cash_flow
Capital Expenditure,PaymentsToAcquirePropertyPlantAndEquipment,cash_flow
Capital Expenditure,PaymentsToAcquireOtherPropertyPlantAndEquipment,cash_flow
Capital Expenditure,PaymentsForCapitalImprovements,cash_flow
Capital Expenditure,PaymentsForProceedsFromProductiveAssets,cash_flow
Capital Expenditure,PaymentsToExploreAndDevelopOilAndGasProperties,cash_flow
Capital Expenditure,PaymentsToAcquirePropertyPlantAndEquipmentOfContinuingOperations,cash_flow
Capital Expenditure,PaymentsToAcquirePropertyPlantEquipmentAndSoftware,cash_flow
Capital Expenditure,CapitalExpendituresIncurredButNotYetPaid,cash_flow
Capital Expenditure,PaymentsToDevelopRealEstateAssets,cash_flow
Capital Expenditure,PaymentsToAcquireOilAndGasPropertyAndEquipment,cash_flow
Capital Expenditure,CapitalExpendituresOfPublicUtility,cash_flow
Capital Expenditure,PaymentsToAcquireCapitalExpenditureOfContinuedOperations,cash_flow
Capital Expenditure,PaymentsForProceedsFromOtherInvestingActivities,cash_flow
Capital Expenditure,PaymentsToAcquireOtherInvestments,cash_flow
Capital Expenditure,PaymentsToAcquireOtherProductiveAssets,cash_flow
Capital Expenditure,PaymentsForPurchaseOfOtherAssets,cash_flow
Capital Expenditure,PaymentsToAcquireInvestments,cash_flow
Capital Expenditure,PaymentstoAcquirePropertyPlantandEquipmentIncludingDiscontinuedOperations,cash_flow
Capital Expenditure,CapitalExpendituresAndInvestments,cash_flow
Capital Expenditure,HealthCareOrganizationExpensesNet,cash_flow
Capital Expenditure,PaymentsToAcquireProjects,cash_flow
Capital Expenditure,Paymentstoacquireproductiveassetsincludingdiscontinuedoperations,cash_flow
Capital Expenditure,PaymentsToAcquirePropertyPlantAndEquipmentIncludingDiscontinuedOperations,cash_flow
Capital Expenditure,PaymentsToAcquireFurnitureAndFixtures,cash_flow
Capital Expenditure,CapitalExpendituresNonRealEstateAssets,cash_flow
Capital Expenditure,PaymentsToAcquireAvailableForSaleSecurities,cash_flow
Capital Expenditure,PaymentsToAcquireHeldToMaturitySecurities,cash_flow
Capital Expenditure,PaymentsToAcquireMarketableSecurities,cash_flow
Capital Expenditure,PaymentstoAcquireDebtSecuritiesCarriedatFairValue,cash_flow
Capital Expenditure,PaymentsToAcquireLoansAndLeasesHeldForInvestment,cash_flow
Capital Expenditure,PaymentsToAcquireNonmarketableEquityInvestments,cash_flow
Capital Expenditure,PaymentsToAcquireAvailableForSaleSecuritiesDebt,cash_flow
Capital Expenditure,PaymentstoAcquireNotHeldForTradingEquitySecurities,cash_flow
Capital Expenditure,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,cash_flow
Capital Expenditure,PaymentstoAcquireProductiveAssetsNetofCashProceeds,cash_flow
