standard,gaap_tag,statement
Cash Acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired,cash_flow
Cash Acquisitions,PaymentsToAcquireBusinessesGross,cash_flow
Cash Acquisitions,PaymentsForProceedsFromBusinessesAndInterestInAffiliates,cash_flow
Cash Acquisitions,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,cash_flow
Cash Acquisitions,PaymentsToAcquireBusinessesAndInterestInAffiliates,cash_flow
Cash Acquisitions,PaymentsToAcquireAssetAndBusinessesNetOfCashAcquired,cash_flow
Cash Acquisitions,OtherPaymentsToAcquireBusinesses,cash_flow
Cash Acquisitions,PaymentsToAcquireOilAndGasProperty,cash_flow
Cash Acquisitions,PaymentsToAcquireBusinessTwoNetOfCashAcquired,cash_flow
Cash Acquisitions,PaymentsToAcquireAssetsInvestingActivities,cash_flow
Cash Acquisitions,PaymentstoAcquireBusinessesIncludingContingentPaymentsNetofCashAcquired,cash_flow
Cash Acquisitions,PaymentsForProceedsFromPreviousAcquisition,cash_flow
Cash Acquisitions,PaymentstoAcquireOtherBusinessesNetofCashAcquired,cash_flow
Cash Acquisitions,PaymentForContingentConsiderationLiabilityInvestingActivities,cash_flow
Cash Acquisitions,PaymentstoAcquirebusinessandPropertyplantequipmentnetofcashacquired,cash_flow
Cash Acquisitions,PaymentsToAcquireBusinessesAndIntangibleAssetsNetOfCashAcquired,cash_flow
Cash Acquisitions,CashPaidForAcquisitionGross,cash_flow
Cash Acquisitions,CashPaidForAcquisitions,cash_flow
Cash Acquisitions,PaymentsToAcquireInvestments,cash_flow
Cash Acquisitions,PaymentsForProceedsFromOtherInvestingActivities,cash_flow
Cash Acquisitions,PaymentstoAcquireBusinessesNetofCashAcquiredandPurchasesofIntangibleAssets,cash_flow
Cash Acquisitions,CashPaidForAcquisitionsNetOfCashAcquired,cash_flow
Cash Acquisitions,PaymentsToAcquireRealEstateAndRealEstateJointVentures,cash_flow
Cash Acquisitions,PaymentsToAcquireRealEstateAndInterestsInRealEstatePartnerships,cash_flow
Cash Acquisitions,AcquisitionCosts,cash_flow
Cash Acquisitions,PaymentsToAcquireRealEstate,cash_flow
Cash Acquisitions,PaymentsToAcquireOtherPropertyPlantAndEquipment,cash_flow
Cash Acquisitions,Paymentstoacquirebusinessesandassets,cash_flow
Cash Acquisitions,PaymentsToAcquireProductiveAssets,cash_flow
Cash Acquisitions,PaymentsToAcquireCommercialRealEstate,cash_flow
Cash Acquisitions,CashPaidForAcquiredBusinessesNetOfCashAcquired,cash_flow
Cash Acquisitions,BusinessAcquisitionCostOfAcquiredEntityCashPaid,cash_flow
Cash Acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquired1,cash_flow
Cash Acquisitions,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,cash_flow
Cash Acquisitions,AcquisitionNetOfCashAcquired,cash_flow
Cash Acquisitions,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,cash_flow
Cash Acquisitions,ProceedsFromDivestitureOfBusinessesAndInterestsInAffiliates,cash_flow
Cash Acquisitions,CashAcquiredFromAcquisition,cash_flow
Cash Acquisitions,PaymentsToAcquireBusinessesNetOfCashAcquiredAndResearchAndDevelopmentInProcess,cash_flow
Cash Acquisitions,ProceedsFromDivestitureOfBusinesses,cash_flow
Cash Acquisitions,ProceedsFromPreviousAcquisition,cash_flow
Cash Acquisitions,PaymentsToAcquireIntangibleAssets,cash_flow
Cash Acquisitions,NoncashOrPartNoncashAcquisitionNetNonmonetaryAssetsAcquiredLiabilitiesAssumed1,cash_flow
Cash Acquisitions,NoncashOrPartNoncashAcquisitionNetNonmonetaryAssetsAcquiredLiabilitiesAssumed,cash_flow
