standard,gaap_tag,statement
Cash Interest Paid,InterestPaidNet,cash_flow
Cash Interest Paid,InterestPaid,cash_flow
Cash Interest Paid,IncomeTaxesPaidNet,cash_flow
Cash Interest Paid,InterestPaidCapitalized,cash_flow
Cash Interest Paid,Interestpaidcapitalizednet,cash_flow
Cash Interest Paid,Interestpaidsupplemental,cash_flow
Cash Interest Paid,CashPaidForCapitalizedInterest,cash_flow
Cash Interest Paid,CashPaidForInterestOnCapitalLeaseObligations,cash_flow
Cash Interest Paid,AmortizationOfFinancingCostsAndDiscounts,cash_flow
Cash Interest Paid,PaidInKindInterest,cash_flow
Cash Interest Paid,NetChangeInFundsPayable,cash_flow
Cash Interest Paid,IncreaseDecreaseInFundsPayableAndAmountsDueToCustomers,cash_flow
Cash Interest Paid,IncreaseDecreaseInPayablesToCustomers,cash_flow
Cash Interest Paid,IncomeTaxesPaid,cash_flow
Cash Interest Paid,CashAndCashEquivalentsAtCarryingValue,cash_flow
Cash Interest Paid,RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability,cash_flow
Cash Interest Paid,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,cash_flow
Cash Interest Paid,DepositTransfers,cash_flow
Cash Interest Paid,InterestPaidInterestRateHedges,cash_flow
Cash Interest Paid,NoncashOrPartNoncashAcquisitionNoncashFinancialorEquityInstrumentConsideration,cash_flow
Cash Interest Paid,EquityAwardsAssumedForAcquisition,cash_flow
Cash Interest Paid,RestrictedCashAndRestrictedCashEquivalentsIncludedInFundsHeldForClients,cash_flow
Cash Interest Paid,TransferOfPortfolioLoansAndLeasesToHeldForSale1,cash_flow
Cash Interest Paid,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsDisposalGroupIncludingDiscontinuedOperations,cash_flow
Cash Interest Paid,InterestPaidOnLongTermDebt,cash_flow
Cash Interest Paid,CashPaidDuringYearForExternalInterest,cash_flow
