standard,gaap_tag,statement
Change in Acc. Payable,IncreaseDecreaseInAccountsPayable,cash_flow
Change in Acc. Payable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,cash_flow
Change in Acc. Payable,IncreaseDecreaseInAccountsPayableTrade,cash_flow
Change in Acc. Payable,IncreaseDecreaseInEmployeeRelatedLiabilities,cash_flow
Change in Acc. Payable,IncreaseDecreaseInInventories,cash_flow
Change in Acc. Payable,Inventories,cash_flow
Change in Acc. Payable,IncreaseDecreaseInRetailRelatedInventories,cash_flow
Change in Acc. Payable,Noncashconsolidateddeconsolidatedinventories,cash_flow
Change in Acc. Payable,IncreaseDecreaseInInventoriesNetOfInventoriedCostsOnLongTermContracts,cash_flow
Change in Acc. Payable,NoncashConsolidationDeconsolidationInventory,cash_flow
Change in Acc. Payable,PaymentsToAcquireBusinessesInventory,cash_flow
Change in Acc. Payable,IncreaseDecreaseInInventoriesExcludingInventoryAcquiredInBusinessCombination,cash_flow
Change in Acc. Payable,IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,cash_flow
Change in Acc. Payable,IncreaseDecreaseInOperatingLiabilities,cash_flow
Change in Acc. Payable,IncreaseDecreaseInAccountsPayableAndOtherLiabilities,cash_flow
Change in Acc. Payable,IncreaseDecreaseInOtherCurrentAssets,cash_flow
Change in Acc. Payable,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,cash_flow
Change in Acc. Payable,IncreaseDecreaseInOtherOperatingAssets,cash_flow
Change in Acc. Payable,IncreaseDecreaseInPrepaidExpense,cash_flow
Change in Acc. Payable,IncreaseDecreaseInOtherAssetsCurrent,cash_flow
Change in Acc. Payable,IncreaseDecreaseOtherCurrentAssets,cash_flow
Change in Acc. Payable,IncreaseDecreaseInOtherCurrentOperatingAssets,cash_flow
Change in Acc. Payable,OtherCurrentAssets,cash_flow
Change in Acc. Payable,IncreaseDecreaseInOperatingAssetsCurrent,cash_flow
Change in Acc. Payable,NetChangeOtherCurrentAssets,cash_flow
Change in Acc. Payable,RestrictedCashandRestrictedCashEquivalentsIncludedinOtherAssetsCurrent,cash_flow
Change in Acc. Payable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,cash_flow
Change in Acc. Payable,IncreaseDecreaseInOtherAccruedLiabilities,cash_flow
Change in Acc. Payable,AccountsPayableAccruedExpensesIncomeTaxesPayableAndOtherLiabilities,cash_flow
Change in Acc. Payable,IncreaseDecreaseInAccruedLiabilitiesAndOther,cash_flow
