standard,gaap_tag,statement
Issuance of Common Stock,ProceedsFromIssuanceOfCommonStock,cash_flow
Issuance of Common Stock,StockIssuedDuringPeriodValueNewIssues,cash_flow
Issuance of Common Stock,ProceedsFromStockOptionsExercised,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceOrSaleOfEquity,cash_flow
Issuance of Common Stock,ProceedsFromStockPlans,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceOfCommonStockFromEsppAndStockOptionExercises,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlans,cash_flow
Issuance of Common Stock,AcquisitionOfArchstoneCommonSharesIssued,cash_flow
Issuance of Common Stock,PaymentsOfStockIssuanceCosts,cash_flow
Issuance of Common Stock,ProceedsFromPaymentsForIssuanceOfCommonStock,cash_flow
Issuance of Common Stock,StockIssued1,cash_flow
Issuance of Common Stock,IssuanceOfCommonStockIncludingStockOptionExercises,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceOfSharesUnderShareBasedCompensationPlans,cash_flow
Issuance of Common Stock,StockIssued,cash_flow
Issuance of Common Stock,ProceedsFromSaleOfTreasuryStock,cash_flow
Issuance of Common Stock,ProceedsFromReissuanceOfCommonSharesNet,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,cash_flow
Issuance of Common Stock,ProceedsFromCommonStockIssuance,cash_flow
Issuance of Common Stock,NetProceedsFromIssuanceOfCommonStock,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceOfPrivatePlacement,cash_flow
Issuance of Common Stock,ProceedsFromStockOptionsExercisedIncludingTaxBenefit,cash_flow
Issuance of Common Stock,StockIssuedDuringPeriodValueAcquisitions,cash_flow
Issuance of Common Stock,ConversionOfStockAmountIssued1,cash_flow
Issuance of Common Stock,ConversionOfStockAmountIssued,cash_flow
Issuance of Common Stock,ProceedsFromRepurchaseOfEquity,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceOfLongTermDebt,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceOfWarrants,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceOfCommonStockNetOfIssuanceCosts,cash_flow
Issuance of Common Stock,NetProceedsFromIssuanceOfCommonShares,cash_flow
Issuance of Common Stock,ProceedsfromPublicOfferingofCommonStock,cash_flow
Issuance of Common Stock,ProceedsfromIssuancePaymentsforRepurchasePublicOfferingofCommonStock,cash_flow
Issuance of Common Stock,CommonStockTransactionsAndOther,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceOfCommonLimitedPartnersUnits,cash_flow
Issuance of Common Stock,ProceedsfromIssuanceofCommonStockandOtherIssuancesNet,cash_flow
Issuance of Common Stock,PaymentsOfDividendsCommonStock,cash_flow
Issuance of Common Stock,PaymentsForRepurchaseOfCommonStock,cash_flow
Issuance of Common Stock,SaleOfStockConsiderationReceivedOnTransaction,cash_flow
Issuance of Common Stock,StockIssuedDuringPeriodValueStockOptionsExercised,cash_flow
Issuance of Common Stock,ProceedsfromPaymentsforRepurchaseofCommonStock,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceOfCommonStockFromStockOptionExercisesAndEspp,cash_flow
Issuance of Common Stock,ProceedsfromRepurchaseofCommonStock,cash_flow
Issuance of Common Stock,ProceedsAndExcessTaxBenefitFromSharebasedCompensation,cash_flow
Issuance of Common Stock,EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,cash_flow
Issuance of Common Stock,PaymentsOfDividends,cash_flow
Issuance of Common Stock,PaymentsOfOrdinaryDividends,cash_flow
Issuance of Common Stock,PaymentsOfDistributionsToAffiliates,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceInitialPublicOffering,cash_flow
Issuance of Common Stock,IssuancesOfCommonStockNet,cash_flow
Issuance of Common Stock,ProceedsFromIssuanceofCommonStockNetofStockIssuanceCosts,cash_flow
Issuance of Common Stock,ProceedsFromPaymentsForShareBasedCompensationPlans,cash_flow
Issuance of Common Stock,PaymentsForShareBasedAwardsExercisedNetOfTaxesPaid,cash_flow
Issuance of Common Stock,ProceedsFromStockOptionsExercisedAndOtherFinancingActivities,cash_flow
Issuance of Common Stock,IssuanceOfCommonStockForEmployeeStockPlansAndOther,cash_flow
