standard,gaap_tag,statement
Long-Term Debt Repaid,RepaymentsOfLongTermDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfDebtMaturingInMoreThanThreeMonths,cash_flow
Long-Term Debt Repaid,RepaymentsOfDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfOtherLongTermDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfLongTermDebtAndCapitalSecurities,cash_flow
Long-Term Debt Repaid,RepaymentsOfDebtAndCapitalLeaseObligations,cash_flow
Long-Term Debt Repaid,RepaymentsOfLongTermDebtFinancialServices,cash_flow
Long-Term Debt Repaid,RepaymentOfLongTermDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfRelatedPartyDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfLongTermDebtNonCurrent,cash_flow
Long-Term Debt Repaid,RepaymentsOfShortTermDebt,cash_flow
Long-Term Debt Repaid,ProceedsFromRepaymentsOfDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfSecuredDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfLinesOfCredit,cash_flow
Long-Term Debt Repaid,RepaymentsOfNotesPayable,cash_flow
Long-Term Debt Repaid,PaymentsOnRevolvingLineOfCreditAndLongTermDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfOtherDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfLongTermLinesOfCredit,cash_flow
Long-Term Debt Repaid,PaymentOnTermLoan,cash_flow
Long-Term Debt Repaid,RepaymentOfTermLoanDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfBankDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfLongTermDebtAndLongTermCapitalLeaseObligations,cash_flow
Long-Term Debt Repaid,EarlyRepaymentOfSeniorDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfSeniorDebt,cash_flow
Long-Term Debt Repaid,RepaymentOfDebt,cash_flow
Long-Term Debt Repaid,PaymentOfDebt,cash_flow
Long-Term Debt Repaid,PaymentsForProceedsFromOtherInvestingActivities,cash_flow
Long-Term Debt Repaid,RepaymentsOfAssumedDebt,cash_flow
Long-Term Debt Repaid,ProceedsFromRepaymentsOfLongTermDebtAndCapitalSecurities,cash_flow
Long-Term Debt Repaid,ProceedsFromRepaymentsOfShortTermDebt,cash_flow
Long-Term Debt Repaid,ProceedsFromRepaymentsOfOtherDebt,cash_flow
Long-Term Debt Repaid,ProceedsFromRepaymentsOfSecuredDebt,cash_flow
Long-Term Debt Repaid,PaymentOfContingentConsideration,cash_flow
Long-Term Debt Repaid,PaymentsOfDebt,cash_flow
Long-Term Debt Repaid,ProceedsFromRepaymentsOfOtherLongTermDebt,cash_flow
Long-Term Debt Repaid,ProceedsFromRepaymentsOfNotesPayable,cash_flow
Long-Term Debt Repaid,RepaymentsOfShortTermAndLongTermBorrowings,cash_flow
Long-Term Debt Repaid,NotesReduction,cash_flow
Long-Term Debt Repaid,NotesReduction1,cash_flow
Long-Term Debt Repaid,ProceedsFromIssuanceOfLongTermDebt,cash_flow
Long-Term Debt Repaid,NotesIssued1,cash_flow
Long-Term Debt Repaid,ProceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,cash_flow
Long-Term Debt Repaid,RepaymentsOfConvertibleDebt,cash_flow
Long-Term Debt Repaid,RepaymentOfBorrowings,cash_flow
Long-Term Debt Repaid,RepaymentsOfBorrowings,cash_flow
Long-Term Debt Repaid,RepaymentsOfUnsecuredDebt,cash_flow
Long-Term Debt Repaid,PaymentsToExtinguishLongTermDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfLoansPayable,cash_flow
Long-Term Debt Repaid,RepaymentsOfMortgageAndLoansPayable,cash_flow
Long-Term Debt Repaid,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,cash_flow
Long-Term Debt Repaid,ConsolidationSecuritizedTrustsIncreaseDecreaseLongTermBorrowings,cash_flow
Long-Term Debt Repaid,ProceedsFromNotesPayable,cash_flow
Long-Term Debt Repaid,TermLoanRepayments,cash_flow
Long-Term Debt Repaid,RepaymentsOfLongtermDebtAndPaymentsOfFinancingCosts,cash_flow
Long-Term Debt Repaid,RepaymentsOfShortTermDebtMaturingInMoreThanThreeMonths,cash_flow
Long-Term Debt Repaid,PaymentsOnDebt,cash_flow
Long-Term Debt Repaid,PaymentsOfDebtRestructuringCosts,cash_flow
Long-Term Debt Repaid,PaymentsOfDebtIssuanceCosts,cash_flow
Long-Term Debt Repaid,PrincipalPaymentsOnDebt,cash_flow
Long-Term Debt Repaid,ExtinguishmentOfDebtAmount,cash_flow
Long-Term Debt Repaid,RepaymentsOfMortgageNotesPayable,cash_flow
Long-Term Debt Repaid,ScheduledPrincipalRepayments,cash_flow
Long-Term Debt Repaid,ScheduledPrincipalRepaymentsOfMortgageNotesPayable,cash_flow
Long-Term Debt Repaid,RepaymentofAcquiredDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfLongTermCapitalLeaseObligations,cash_flow
Long-Term Debt Repaid,PaymentsToAcquireLongTermDebt,cash_flow
Long-Term Debt Repaid,RepaymentsOfLongTermDebtAndCapitalLeaseObligations,cash_flow
Long-Term Debt Repaid,ProceedsFromLongTermLinesOfCredit,cash_flow
Long-Term Debt Repaid,RepaymentsOfTermLoan,cash_flow
Long-Term Debt Repaid,ProceedsFromIssuanceOfOtherLongTermDebt,cash_flow
Long-Term Debt Repaid,ProceedsFromIssuanceOfDebt,cash_flow
Long-Term Debt Repaid,ProceedsFromIssuanceOfSeniorLongTermDebt,cash_flow
Long-Term Debt Repaid,ProceedsFromIssuanceOfUnsecuredDebt,cash_flow
Long-Term Debt Repaid,ProceedsFromRevolvingLineOfCreditAndLongTermDebt,cash_flow
Long-Term Debt Repaid,ProceedsFromDebtNetOfIssuanceCosts,cash_flow
Long-Term Debt Repaid,ProceedsFromOtherDebt,cash_flow
Long-Term Debt Repaid,PaymentsOfDebtExtinguishmentCosts,cash_flow
Long-Term Debt Repaid,RepaymentsOfLongTermDebtExcludingRelatedPartyDebt,cash_flow
Long-Term Debt Repaid,RepaymentsAndOtherReductionsMaturitiesLongerThan90Days,cash_flow
Long-Term Debt Repaid,PaymentsOfNotesPayableAndLinesOfCredit,cash_flow
Long-Term Debt Repaid,RepaymentofTermLoans,cash_flow
