standard,gaap_tag,statement
Other Operating Activities,OtherOperatingActivitiesCashFlowStatement,cash_flow
Other Operating Activities,OtherNoncashIncomeExpense,cash_flow
Other Operating Activities,AssetImpairmentCharges,cash_flow
Other Operating Activities,ValuationAdjustmentsandWriteoffsofOptionDepositsPreacquisitionsCostsandOtherAssets,cash_flow
Other Operating Activities,ProceedsFromPaymentsForOtherFinancingActivities,cash_flow
Other Operating Activities,IncreaseDecreaseInOtherOperatingCapitalNet,cash_flow
Other Operating Activities,PaymentsForProceedsFromOtherInvestingActivities,cash_flow
Other Operating Activities,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,cash_flow
Other Operating Activities,OtherNetExcludingGainsLosses,cash_flow
Other Operating Activities,IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,cash_flow
Other Operating Activities,PaymentsForOtherOperatingActivities,cash_flow
Other Operating Activities,IncreaseDecreaseInOtherOperatingLiabilities,cash_flow
Other Operating Activities,OtherNonoperatingIncomeExpense,cash_flow
Other Operating Activities,OtherNoncashExpense,cash_flow
Other Operating Activities,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,cash_flow
Other Operating Activities,OtherNet,cash_flow
Other Operating Activities,PaymentsForProceedsFromOtherOperatingActivities,cash_flow
Other Operating Activities,ChangesInOtherOperatingActivities,cash_flow
Other Operating Activities,OtherNonCashChargesAndCreditsNet,cash_flow
Other Operating Activities,ChangesInNoncontrollingInterestNet,cash_flow
Other Operating Activities,OtherCashAndNoncashChangesInOperatingActivities,cash_flow
Other Operating Activities,IncreaseDecreaseInOtherOperatingAssets,cash_flow
Other Operating Activities,OtherAdjustmentsForCashAndNoncashItemsIncludedInIncomeLossFromContinuingOperations,cash_flow
Other Operating Activities,OtherNetInFinancingActivities,cash_flow
Other Operating Activities,ProceedsFromPaymentsForOtherOperatingActivities,cash_flow
Other Operating Activities,ProceedsFromOtherOperatingActivities,cash_flow
Other Operating Activities,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,cash_flow
Other Operating Activities,PaymentsForProceedsFromHedgeFinancingActivities,cash_flow
Other Operating Activities,OtherNonoperatingIncomeExpenseIncludingImpairmentLosses,cash_flow
Other Operating Activities,OtherPaymentsToAcquireBusinesses,cash_flow
Other Operating Activities,PaymentsForProceedsFromFinanceReceivables,cash_flow
Other Operating Activities,IncreaseDecreaseInNoncurrentAssetsAndOtherNet,cash_flow
Other Operating Activities,PaymentsForProceedsFromInvestments,cash_flow
Other Operating Activities,PaymentsToAcquireOtherInvestments,cash_flow
Other Operating Activities,PaymentsOfDividendsCommonStock,cash_flow
Other Operating Activities,PaymentsToAcquireOtherProductiveAssets,cash_flow
Other Operating Activities,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,cash_flow
Other Operating Activities,IncreaseDecreaseInOtherNoncurrentAssets,cash_flow
Other Operating Activities,OtherNoncashIncome,cash_flow
Other Operating Activities,GainLossOnDispositionOfAssets,cash_flow
Other Operating Activities,OtherOperatingActivities,cash_flow
Other Operating Activities,Other,cash_flow
Other Operating Activities,CashFlowsFromInvestingActivitiesOther,cash_flow
Other Operating Activities,IncreaseDecreaseInOtherOperatingActivitiesFinancialServices,cash_flow
Other Operating Activities,PaymentsForExerciseOfStockBasedAwards,cash_flow
Other Operating Activities,OtherPaymentsProceedsFromToAcquireBusinesses,cash_flow
Other Operating Activities,IncreaseDecreaseInAccumulatedOtherComprehensiveIncomeNet,cash_flow
Other Operating Activities,OtherFinancingActivities,cash_flow
Other Operating Activities,AllOtherFinancingActivitiesNet,cash_flow
Other Operating Activities,IncreaseDecreaseInOtherOperatingLiabilitiesAndLongTermRoyaltyAdvances,cash_flow
Other Operating Activities,PaymentForProceedFromOtherInvestingActivities,cash_flow
Other Operating Activities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,cash_flow
Other Operating Activities,ProceedsFromSaleOfPropertyPlantAndEquipment,cash_flow
Other Operating Activities,ProceedsFromSaleOfOtherPropertyPlantAndEquipment,cash_flow
Other Operating Activities,ProceedsfromPaymentsforOtherFinancingActivitiesExcludingTreasuryTaxBenefitsfromNoncashCompCommonStockOptionsNonControllingInterest,cash_flow
Other Operating Activities,ProceedsFromHedgeInvestingActivities,cash_flow
Other Operating Activities,ProceedsFromSaleOfOtherAssetsInvestingActivities,cash_flow
Other Operating Activities,PaymentsToAcquireEquityMethodInvestments,cash_flow
Other Operating Activities,ProceedsFromOtherShortTermDebt,cash_flow
Other Operating Activities,IncreaseDecreaseInOtherCurrentAssetsAndLiabilitiesNet,cash_flow
Other Operating Activities,PaymentsToAcquireAvailableForSaleSecuritiesEquity,cash_flow
Other Operating Activities,EffectOfExchangeRateOnCashAndCashEquivalentsOther,cash_flow
Other Operating Activities,OtherGainLoss,cash_flow
Other Operating Activities,PaymentForContingentConsiderationLiabilityFinancingActivities,cash_flow
Other Operating Activities,NoncashActivitiesOther,cash_flow
Other Operating Activities,AllOtherOperatingActivities,cash_flow
Other Operating Activities,IncreaseDecreaseInOtherOperatingItems,cash_flow
Other Operating Activities,OtherItems,cash_flow
Other Operating Activities,ImpairedAssetsToBeDisposedOfByMethodOtherThanSaleAmountOfImpairmentLoss,cash_flow
Other Operating Activities,WorkingCapitalChangesAndOther,cash_flow
Other Operating Activities,GainsLossesOnExtinguishmentOfDebt,cash_flow
Other Operating Activities,LossesOnExtinguishmentOfDebt,cash_flow
Other Operating Activities,LossOnExtinguishmentOfDebt,cash_flow
Other Operating Activities,DebtExtinguishmentCosts,cash_flow
Other Operating Activities,GainsLossesOnExtinguishmentOfDebtBeforeWriteOffOfDeferredDebtIssuanceCost,cash_flow
Other Operating Activities,ExtinguishmentOfDebtGainLossNetOfTax,cash_flow
Other Operating Activities,GainsLossesOnExtinguishmentsOfDebt,cash_flow
Other Operating Activities,LossOnWriteOffOfDebtFinancingCosts,cash_flow
Other Operating Activities,LossOnRetirementOfUnsecuredNotes,cash_flow
Other Operating Activities,LossOnWriteOffOfFinancingCosts,cash_flow
Other Operating Activities,NoncashGainsLossesOnExtinguishmentsOfDebt,cash_flow
