accounting,standard,statement
us-gaap:NetIncomeLoss,Net Income,CS
us-gaap:DepreciationDepletionAndAmortization,Depreciation & Amort.,CS
us-gaap:DepreciationAmortizationAndAccretionNet,Depreciation & Amort.,CS
us-gaap:DepreciationAndAmortization,Depreciation & Amort.,CS
us-gaap:ShareBasedCompensation,Stock-Based Compensation,CS
us-gaap:ShareBasedCompensation,Stock-Based Compensation,CS
us-gaap:IncreaseDecreaseInAccountsReceivable,Change in Acc. Receivable,CS
us-gaap:IncreaseDecreaseInAccountsReceivable,Change in Acc. Receivable,CS
us-gaap:IncreaseDecreaseInInventories,Change In Inventories,CS
us-gaap:IncreaseDecreaseInAccountsPayable,Change in Acc. Payable,CS
us-gaap:IncreaseDecreaseInAccountsPayable,Change in Acc. Payable,CS
us-gaap:IncreaseDecreaseInDeferredRevenue,Change in Unearned Rev.,CS
us-gaap:IncreaseDecreaseInDeferredRevenue,Change in Unearned Rev.,CS
us-gaap:NetCashProvidedByUsedInOperatingActivities,Cash from Ops.,CS
us-gaap:NetCashProvidedByUsedInOperatingActivities,Cash from Ops.,CS
us-gaap:PaymentsToAcquireProductiveAssets,Capital Expenditure,CS
us-gaap:PaymentsToAcquireAvailableForSaleSecuritiesDebt,Purchase of Marketable Equity Securities,CS
us-gaap:ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,Sale of Marketable Equity Securities,CS
us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,Cash Acquisitions,CS
,,
us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Other Investing Activities,CS
us-gaap:NetCashProvidedByUsedInInvestingActivities,Cash from Investing,CS
us-gaap:ProceedsFromRepaymentsOfCommercialPaper,Short Term Debt Issued,CS
us-gaap:ProceedsFromIssuanceOfLongTermDebt,Long-Term Debt Issued,CS
us-gaap:ProceedsFromRepaymentsOfCommercialPaper,Short Term Debt Repaid,CS
us-gaap:RepaymentsOfLongTermDebt,Long-Term Debt Repaid,CS
