Title,June 30 2002,June 30 2001,June 30 2000,Value
Cost of products sold,"2,308","2,319","2,250",In thousands
Gross profit,"1,753","1,584","1,739",In thousands
Selling and administrative expenses,537,495,525,In thousands
Advertising costs,397,352,371,In thousands
Research and development costs,67,67,63,In thousands
"Merger, restructuring and asset impairment costs",241,59,36,In thousands
Interest expense,39,88,98,In thousands
Total,(26),47,36,In thousands
Earnings before income taxes and cumulative effect of change in accounting principle,498,476,610,In thousands
Income taxes,176,151,216,In thousands
Earnings before cumulative effect of change in accounting principle,322,325,394,In thousands
Cumulative effect of change in accounting principle (net of tax benefit of $1),--,(2),--,In thousands
Net earnings,322,323,394,In thousands
Earnings per common share,,,,In thousands
Basic,,,,In thousands
Earnings before cumulative effect of change in accounting principle,1.39,1.38,1.67,In thousands
Cumulative effect of change in accounting principle,--,(0.01),--,In thousands
Basic net earnings per common share,1.39,1.37,1.67,In thousands
Diluted,,,,In thousands
Earnings before cumulative effect of change in accounting principle,1.37,1.36,1.64,In thousands
Cumulative effect of change in accounting principle,--,(0.01),--,In thousands
Diluted net earnings per common share,1.37,1.35,1.64,In thousands
Weighted average common shares outstanding (in thousands),,,,In thousands
Basic,"231,849","236,149","236,108",In thousands
Diluted,"234,704","239,483","239,614",In thousands
