standard,gaap_tag,statement
Cost Of Goods Sold,CostOfGoodsAndServicesSold,income
Cost Of Goods Sold,CostsAndExpenses,income
Cost Of Goods Sold,CostOfRevenue,income
Cost Of Goods Sold,CostOfGoodsSold,income
Cost Of Goods Sold,CostofServicesandOther,income
Cost Of Goods Sold,CostOfServices,income
Cost Of Goods Sold,CostsAndExpensesIncludingInterest,income
Cost Of Goods Sold,CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,income
Cost Of Goods Sold,CostOfGoodsAndServicesSoldPercent,income
Cost Of Goods Sold,CostOfSales,income
Cost Of Goods Sold,CostOfOtherSales,income
Cost Of Goods Sold,CostOfProductsSoldAndOtherNonoperatingIncomeExpense,income
Cost Of Goods Sold,CostOfProductsSold,income
Cost Of Goods Sold,CostofProductsSold,income
Cost Of Goods Sold,CostOfGoodsSoldElectric,income
Cost Of Goods Sold,CostOfRealEstateRevenue,income
Cost Of Goods Sold,CostOfRevenueExcludingDepreciationandAmortization,income
Cost Of Goods Sold,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,income
Cost Of Goods Sold,CostOfPurchasedPower,income
Cost Of Goods Sold,CostOfSalesIncludingBuyingAndOccupancyCosts,income
Cost Of Goods Sold,CostOfServicesEnergyServices,income
Cost Of Goods Sold,ContractRevenueCost,income
Cost Of Goods Sold,CostOfRevenueProduct,income
Cost Of Goods Sold,CostofProductRevenue,income
Cost Of Goods Sold,CostOfMerchandiseSalesBuyingAndOccupancyCosts,income
Cost Of Goods Sold,CostOfGoodsSoldAndOccupancyExpenses,income
Cost Of Goods Sold,CostAndExpenses,income
Cost Of Goods Sold,TotalCostsAndExpenses,income
Cost Of Goods Sold,CostsAndExpensesIncludingNonoperatingExpenses,income
Cost Of Goods Sold,CostAndExpensesAll,income
Cost Of Goods Sold,CostsAndExpense,income
Cost Of Goods Sold,CostAndExpensesExcludingGainOnDispositionOfRealEstateAssets,income
Cost Of Goods Sold,CostsAndOtherDeductions,income
Cost Of Goods Sold,TotalCostsAndExpensesIncludingNonoperatingIncomeExpense,income
Cost Of Goods Sold,TotalCostAndExpenses,income
Cost Of Goods Sold,CostOfServicesLicensesAndMaintenanceAgreements,income
Cost Of Goods Sold,CostOfTangibleProducts,income
Cost Of Goods Sold,CostofGoodsSoldSuppliesSales,income
Cost Of Goods Sold,CostofRevenuesProductSalesProductCosts,income
Cost Of Goods Sold,CostsExpensesAndOther,income
Cost Of Goods Sold,TotalCostsExpensesAndOther,income
Cost Of Goods Sold,CostOfServicesExcludingDepreciationDepletionAndAmortization,income
Cost Of Goods Sold,CostOfSalesExcludingDepreciationAndAmortization,income
Cost Of Goods Sold,TotalSegmentCostsExpenses,income
Cost Of Goods Sold,CostOfCoalProductsAndServices,income
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Cost Of Goods Sold,CostAndExpensesOther,income
Cost Of Goods Sold,CostOfDomesticRegulatedElectric,income
Cost Of Goods Sold,FuelAndPurchasedPower,income
Cost Of Goods Sold,ShippingHandlingAndTransportationCosts,income
Cost Of Goods Sold,PurchasedTransportation,income
Cost Of Goods Sold,Purchasedtransportation,income
Cost Of Goods Sold,PurchasedTransportationCosts,income
Cost Of Goods Sold,PurchasedCommodities,income
Cost Of Goods Sold,OtherCostOfOperatingRevenue,income
Cost Of Goods Sold,OtherCostOfServices,income
Cost Of Goods Sold,CostsAndOperatingExpenses,income
Cost Of Goods Sold,OperatingCostsAndExpenses,income
Cost Of Goods Sold,ProfitLoss,income
Cost Of Goods Sold,NetIncomeLoss,income
Cost Of Goods Sold,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,income
Cost Of Goods Sold,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,income
Cost Of Goods Sold,IncomeTaxExpenseBenefit,income
Cost Of Goods Sold,OperatingExpensesWithWriteOffOfInProcessResearchAndDevelopment,income
Cost Of Goods Sold,RealizedInvestmentGainsLosses,income
Cost Of Goods Sold,StockBasedCompensationCostOfGoodsSold,income
Cost Of Goods Sold,RefiningAndMarketingCosts,income
Cost Of Goods Sold,HomeBuildingCosts,income
Cost Of Goods Sold,WeightedAverageNumberOfDilutedSharesOutstanding,income
Cost Of Goods Sold,DirectOperatingCosts,income
Cost Of Goods Sold,Operating,income
Cost Of Goods Sold,TechnologyServicesCosts,income
Cost Of Goods Sold,CostOfPurchasedOilAndGas,income
Cost Of Goods Sold,Costofservice,income
Cost Of Goods Sold,GasGatheringTransportationMarketingAndProcessingCosts,income
Cost Of Goods Sold,ElectricFuelandPurchasedPower,income
Cost Of Goods Sold,CostOfNaturalGasPurchases,income
Cost Of Goods Sold,OwnedPropertyManagementCosts,income
Cost Of Goods Sold,DirectCostsOfLeasedAndRentedPropertyOrEquipment,income
Cost Of Goods Sold,TechnologyServicesRevenue,income
Cost Of Goods Sold,RevenueFromContractWithCustomerIncludingAssessedTax,income
Cost Of Goods Sold,SalesRevenuesServicesNet,income
Cost Of Goods Sold,SalesRevenueServicesNet1,income
Cost Of Goods Sold,ServicesExpense,income
Cost Of Goods Sold,CostOfSiteDevelopment,income
Cost Of Goods Sold,Productrevenue,income
Cost Of Goods Sold,ProductRevenue,income
Cost Of Goods Sold,CostOfTransmission,income
Cost Of Goods Sold,ComprehensiveIncomeNetOfTax,income
Cost Of Goods Sold,RevenueFromRelatedParties,income
Cost Of Goods Sold,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,income
Cost Of Goods Sold,CommonStockDividendsPerShareCashPaid,income
Cost Of Goods Sold,EffectiveIncomeTaxRateContinuingOperations,income
Cost Of Goods Sold,NoninterestIncome,income
Cost Of Goods Sold,RetainedEarningsAccumulatedDeficit,income
Cost Of Goods Sold,CommonStockDividendsPerShareDeclaredAndPaid,income
Cost Of Goods Sold,CommonStockDividendsPerShareDeclared,income
Cost Of Goods Sold,IncomeLossFromContinuingOperationsPerDilutedShare,income
