standard,gaap_tag,statement
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuedOperationsNetOfTax,income
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,income
Earnings of Discontinued Ops.,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,income
Earnings of Discontinued Ops.,IncomeLossfromDiscontinuedOperationsNetofTaxandGainLossonDisposal,income
Earnings of Discontinued Ops.,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTaxAttributableToParent,income
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToParentCompanyCommonStock,income
Earnings of Discontinued Ops.,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,income
Earnings of Discontinued Ops.,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,income
Earnings of Discontinued Ops.,DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationNetOfTax,income
Earnings of Discontinued Ops.,DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,income
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,income
Earnings of Discontinued Ops.,DiscontinuedOperations,income
Earnings of Discontinued Ops.,DiscontinuedOperationsDiscontinuedOperations,income
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnit,income
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,income
Earnings of Discontinued Ops.,DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,income
Earnings of Discontinued Ops.,IncomeLossfromDiscontinuedOperationsNetofTaxIncludingPortionAttributabletoNoncontrollingInterestAssociatedwithAlkali,income
Earnings of Discontinued Ops.,DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,income
Earnings of Discontinued Ops.,IncomeLossesFromDiscontinuedOperationsNetOfTax,income
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuedOperations,income
Earnings of Discontinued Ops.,NetIncomeLossFromDiscontinuedOperationsAndDispositions,income
Earnings of Discontinued Ops.,IncomelossFromDiscontinuedOperationsNetOfTax,income
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Earnings of Discontinued Ops.,DiscontinuedOperationsDiluted,income
Earnings of Discontinued Ops.,DiscontinuedOperationsBasic,income
Earnings of Discontinued Ops.,EarningsPerShareDiscontinuedOperationsBasicAndDiluted,income
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuingOperationsPerBasicShare,income
Earnings of Discontinued Ops.,DilutedEarningsPerShareFromDiscontinuedOperationsProForma,income
Earnings of Discontinued Ops.,IncomeLossFromContinuingOperationsPerDilutedShare,income
Earnings of Discontinued Ops.,NetIncomeLossAttributableToNoncontrollingInterest,income
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,income
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,income
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,income
Earnings of Discontinued Ops.,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,income
Earnings of Discontinued Ops.,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,income
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuedOperationsNetTaxPerDilutedShare,income
Earnings of Discontinued Ops.,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,income
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingUnitBasic,income
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingUnitDiluted,income
Earnings of Discontinued Ops.,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedClassBShare,income
