standard,gaap_tag,statement,,,,
Interest and Invest. Income,InvestmentIncomeInterestAndDividend,income,,,,
Interest and Invest. Income,InvestmentIncomeNet,income,,,,
Interest and Invest. Income,IncomeLossfromInvestments,income,,,,
Interest and Invest. Income,InvestmentIncomeNonoperating,income,,,,
Interest and Invest. Income,InvestmentAndOtherIncome,income,,,,
Interest and Invest. Income,InvestmentIncomeInterest,income,,,,
Interest and Invest. Income,NetInvestmentIncome,income,,,,
Interest and Invest. Income,InvestmentIncome,income,,,,
Interest and Invest. Income,GainLossOnInvestments,income,,,,
Interest and Invest. Income,InvestmentInterestandDividendAndEquityMethodInvestmentIncomeLoss,income,,,,
Interest and Invest. Income,InterestDividendAndInvestmentIncome,income,,,,
Interest and Invest. Income,InterestAndOtherInvestmentLossIncomeNet,income,,,,
Interest and Invest. Income,InvestmentIncomeInterestDividendAndOther,income,,,,
Interest and Invest. Income,InvestmentIncomeNetAndOtherNonoperatingIncomeExpense,income,,,,
Interest and Invest. Income,RealizedInvestmentGainsLosses,income,,,,
Interest and Invest. Income,InvestmentIncomeAndOtherNet,income,,,,
Interest and Invest. Income,InvestmentIncomeAndRealizedGainLossOnSecuritiesNet,income,,,,
Interest and Invest. Income,InvestmentIncomeLossNet,income,,,,
Interest and Invest. Income,NetInvestmentIncomeAndGainsLossesOnTradingSecurities,income,,,,
Interest and Invest. Income,NetIncomeFromInvestment,income,,,,
Interest and Invest. Income,NetInvestmentIncomeIncludingRealizedGainsLossesOnInvestments,income,,,,
Interest and Invest. Income,InterestIncomeExpensesNet,income,,,,
Interest and Invest. Income,InvestmentLossIncome,income,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Interest and Invest. Income,TotalNonoperatingInterestAndOtherIncomeExpense,income
,,,,Interest and Invest. Income,NonoperatingIncomeExpense,income
,,,,Interest and Invest. Income,InterestIncomeOperating,income
,,,,Interest and Invest. Income,InterestIncomeDepositsWithFinancialInstitutions,income
,,,,Interest and Invest. Income,InterestIncome,income
,,,,Interest and Invest. Income,InterestAndOtherIncome,income
,,,,Interest and Invest. Income,InterestAndDividendIncomeOperating,income
,,,,Interest and Invest. Income,InterestAndFeeIncomeLoansHeldForSaleMortgages,income
,,,,Interest and Invest. Income,InterestIncomeExcludingSeparatelyDisclosedInterestIncome,income
,,,,Interest and Invest. Income,InterestIncomeExpenseNet,income
,,,,Interest and Invest. Income,InterestExpense,income
,,,,Interest and Invest. Income,InterestIncomeExpenseNonoperatingNet,income
,,,,Interest and Invest. Income,InterestExpenseandNonoperatingIncomeExpense,income
,,,,Interest and Invest. Income,NonoperatingIncomeExpenseIncludingInterestExpense,income
,,,,Interest and Invest. Income,InterestExpenseandNonoperatingIncomeExpenseInterestExpense,income
,,,,Interest and Invest. Income,InterestAndOtherIncomeExpense,income
,,,,Interest and Invest. Income,InterestAndOtherIncomeExpenseTotal,income
,,,,Interest and Invest. Income,InterestAndOtherIncomeExpenseNet,income
,,,,Interest and Invest. Income,InterestAndOtherIncomeNet,income
,,,,Interest and Invest. Income,InterestIncomeAndOther,income
,,,,Interest and Invest. Income,NonoperatingIncomeExpenseAndInterestExpense,income
,,,,Interest and Invest. Income,NonoperatingIncomeExpenseExcludingInterestIncomeExpenseNonoperatingNet,income
,,,,Interest and Invest. Income,NoninterestExpense,income
,,,,Interest and Invest. Income,NoninterestIncome,income
,,,,Interest and Invest. Income,InterestAndOtherExpenseNet,income
,,,,Interest and Invest. Income,InterestAndDebtExpense,income
,,,,Interest and Invest. Income,InterestandOtherIncomeLoss,income
Interest and Invest. Income,EquitySecuritiesFvNiGainLoss,income,,Interest and Invest. Income,InterestAndOtherNet,income
Interest and Invest. Income,OtherInterestAndDividendIncome,income,,Interest and Invest. Income,NonoperatingIncomeAndExpense,income
Interest and Invest. Income,OtherExpenseNet,income,,Interest and Invest. Income,NonoperatingIncomeExpenseIncludingEliminationOfNetIncomeLossAttributableToNoncontrollingInterests,income
Interest and Invest. Income,OtherExpenseIncomeNet,income,,Interest and Invest. Income,InterestIncomeExpenseAndOther,income
Interest and Invest. Income,DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,income,,Interest and Invest. Income,InterestandOtherIncomeExpense,income
Interest and Invest. Income,InterestExpenseOther,income,,,,
Interest and Invest. Income,InterestIncomeOther,income,,,,
Interest and Invest. Income,OtherGeneralExpense,income,,,,
Interest and Invest. Income,OtherCostOfOperatingRevenue,income,,,,
Interest and Invest. Income,OtherNoninterestExpense,income,,,,
Interest and Invest. Income,TotalOtherNet,income,,,,
Interest and Invest. Income,IncomeLossFromEquityMethodInvestments,income,,,,
Interest and Invest. Income,MarketableSecuritiesGainLossExcludingOtherThanTemporaryImpairments,income,,,,
Interest and Invest. Income,NoninterestIncomeOtherOperatingIncome,income,,,,
Interest and Invest. Income,NoninterestIncomeOther,income,,,,
Interest and Invest. Income,OtherIncomeExpense,income,,,,
Interest and Invest. Income,OtherOperatingIncome,income,,,,
